"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44"
"Germany";-229995,938976842;-499951,342472608;179108,281169748;-117327,436291049;-475758,878313705;-160569,595129149;-291955,463312192;-4863228,67441104;-21682,3868291569;-126285,571763041;0;-187676,870529904;-841648,331771494;-37787,8035028157;-54910,7646974903;-944633,849815811;-374059,174637611;-222665,76822869;-73340,4107838693;-175753,528453918;-483656,419742961;-1157588,88724393;149959,164689064;-562417,567936086;6582,48079093813;-157341,993124547;-55255,0631900782;-59402,2403474724;-37116,2531172706;-276898,602087495;-1602,47713434425;596820,611636658;714470,509205979;-737186,89263604;-236739,708477293;-277882,1832848;-544386,624468315;-84123,1930887566;-27574,33088181;-233660,770797785;-450138,271743259;-153509,200234373;-1326535,37053378;-13626437,0642603
"Denmark";-18476,0746211013;13521,5703391691;38150,2890334018;-6280,57641057804;-12953,2628605399;-12269,8589657277;13312,2768885603;-363275,302826852;-952,350748677534;7196,15957125236;187676,870529904;0;-7445,72797433054;-2736,63304959592;10406,4412821121;14168,3468246003;-16309,7945213726;-4860,51085383005;-3230,15737553512;-1264,45608240081;-29644,8821463639;-104332,072668386;-24921,5137297163;43062,6856958726;-64126,0810967626;-6715,09555566568;14803,6862912341;1904,0356794135;-7668,70813042439;-6071,68069586849;-255,30657787131;54524,8661686766;36335,878284572;8611,5620562914;-6498,07357242096;-5329,38015851894;2675,99782000689;3377,06767108946;2441,91610056715;-41527,4265554907;-28675,0964972773;-1476,48199321406;-38269,8721023543;-2426460,18706462
"Spain";-20750,410729759;42550,1494730185;47915,5093671306;-22679,2395506184;-175323,273969553;2104,93576398444;57858,800464977;-1223409,41188147;-9777,12569293305;8449,00941215878;841648,331771494;7445,72797433054;0;-1898,48147272719;52287,8729863875;-4011,10459603183;-7269,19948217575;-64859,6389748791;-6460,48406786514;18213,0354392974;-130293,868955039;-347174,585346847;111921,034869485;334285,386652543;61304,2153873748;37869,2658424012;619,226875140444;2122,49481417341;-4035,24927163897;-5707,89939459934;-2068,29749795492;98995,7022562491;62839,6317621271;-22528,2061692987;-393857,03020697;-31724,939634169;-34506,9952807719;6622,6418843432;-8522,54620129065;47843,9814740897;-53281,3399675319;9208,32444445761;15241,8985459281;-7074919,20381959
"Estonia";-68,0763390062795;3082,58110025147;3331,0009834645;-107,618085390813;-844,668944177712;462,9218404041;1150,56604379316;-29473,6130900751;4237,04221439063;2587,79160405542;37787,8035028157;2736,63304959592;1898,48147272719;0;17285,8549546738;5767,81751626402;6130,44747690406;228,669703632167;81,7228016397933;1871,66269110989;-3772,6945153832;-4649,48093457896;2552,53191272811;8264,12997956987;1916,24352208714;1619,3536166332;10054,4528022105;231,367329628087;-2436,94117179138;-473,347119468078;-36,6807961623116;3489,91351185238;-1406,0304486364;8764,89026859659;72,8317668145004;-164,832945105596;4219,14099667936;575,639791375854;515,998081284281;13304,8477720517;1088,48502173987;828,577143822553;-1427,64526499885;-194186,257569038
"Finland";-3059,12124328748;1393,23201738399;12055,8838155235;-5503,52690317788;-30600,9902721354;5742,45720147151;-7831,00578936773;-343261,004363701;394,637565296428;-1158,09914962542;54910,7646974903;-10406,4412821121;-52287,8729863875;-17285,8549546738;0;-23178,5002615367;-30386,6621556343;-18992,6955749364;-2503,8727409819;-9258,32320193166;-19984,179207596;-55938,1815188052;-2208,5268922291;-37150,5144599966;178,45523097663;19248,8281229086;-12145,6316677699;231,977662055133;-14310,9858844752;-5306,5967379636;-619,496654210003;-8683,32034679825;-20873,8860299724;-55790,1081748368;-10602,8028386332;-9419,13391098037;-90412,0948877333;9548,92037461697;-2775,66242506736;-23401,2474420728;-22361,5550512704;-6253,73510587528;-107049,726871255;-1177380,82716447
"France";-78777,9883424004;29311,7595514809;282730,532790049;-46090,0272232725;-224255,728137759;-40766,6752946023;39407,9155682484;-2220940,12498561;-9902,69464391892;19083,6202554889;944633,849815811;-14168,3468246004;4011,10459603206;-5767,81751626403;23178,5002615367;0;-76770,2108906594;-146067,908495135;-10795,1968036251;-23664,4727965266;-215867,785962885;-935765,366069977;156973,260047962;354255,807957225;-32369,1951685422;-53279,1662119413;8686,410162182;-6249,39800923005;-9379,11752626689;-103677,93590377;-10013,3257831063;137048,697272159;629472,152789735;-81007,8555835911;-124715,636802441;-112398,741676159;36345,2074264569;-1921,8128552361;-7243,80392169959;38579,134239403;-151741,049240673;-28598,3855634436;-171966,179229991;-9667710,99337957
"United Kingdom of Great Britain and Northern Ireland";-87933,3919667671;45737,3796979082;9097,77900577185;-24303,071208793;-169061,584002614;-99946,1259145585;26303,2961607312;-2693117,50694902;-20097,6666191264;40634,5051318981;374059,174637611;16309,7945213726;7269,19948217564;-6130,44747690406;30386,6621556343;76770,2108906594;0;-39334,4403846093;-3615,13123638217;39470,3880472512;-242628,111993489;-1090329,90833107;-144916,969127238;215346,472101445;113650,584042347;18148,9552509707;-3601,63193174285;1239,16508242331;-3212,7557192299;-29917,2522494709;-12334,1236365362;33824,8971855897;1444883,11447535;-13564,9621246168;-34825,3433696098;-40703,0464843786;-116759,004723577;33250,2061974305;786,804341724754;15677,2520618282;-13091,383542315;8466,24502975138;-666935,752263626;-9956130,79707789
"Greece";88,3505705023758;26042,2588493134;45565,6322476825;-69164,1639984215;-19291,3825017866;4760,23068216795;44422,9061076966;-248325,381728421;-17115,117453651;6351,87031248892;222665,76822869;4860,51085383005;64859,6389748791;-228,669703632167;18992,6955749364;146067,908495135;39334,4403846093;0;-4306,37292636824;7077,84165669652;-29831,9077751502;-114990,588633434;24126,1837576109;244813,076802719;6226,31563942243;69825,5196083775;-584,238801493504;500,976555619613;-87,2536502807686;-5732,39404146466;-1255,18135749559;27187,9497453873;12574,5441901894;8346,40388008103;-5,60412786008874;-29710,1391883368;154478,275198783;4689,07993199858;-9145,87308027683;16505,1072637156;-24853,5052547867;2865,85688971363;24658,2943060414;-1677250,19760494
"Croatia";-166,48118587137;21501,7462287907;1855,54256729504;-1560,69719777718;-9668,00438248846;2929,53057650811;5893,25624641381;-99586,068244061;-166,711253241709;9599,65029850722;73340,4107838693;3230,15737553512;6460,48406786514;-81,7228016397933;2503,8727409819;10795,1968036251;3615,13123638217;4306,37292636824;0;13493,4039763318;-2093,48163200506;-20415,6440020202;356,11939084795;74850,5690759281;1586,35170909438;2341,89636401223;-206,346650090563;33,1637301018341;-300,478743656701;212,830310149514;78,9879256751528;2588,43295767073;-2686,18435421655;2176,26743564439;-156,754888478999;-6075,72841545414;36897,2796998701;3478,42736780655;18489,899960043;4668,22183985435;1607,52612011936;1088,38011542607;3846,32679935654;-333740,014685315
"Hungary";-4899,91082891322;89735,9758311852;9758,39191314419;-17668,6487363696;-3468,05122754189;1200,90956848968;8421,8073305109;-140243,121193016;6415,75307961699;6044,64745216581;175753,528453919;1264,45608240081;-18213,0354392974;-1871,66269110989;9258,32320193166;23664,4727965266;-39470,3880472512;-7077,84165669652;-13493,4039763318;0;-3368,69316653047;-22328,1486646761;253,896848936258;35338,5000326732;41882,4929036316;27155,6000516356;-3691,51978939548;903,176194574197;-3190,25840441727;-4059,08897162538;42,5821848517953;30166,1914785347;-4133,79071157526;-5770,54936260765;-5298,49305836631;-91222,1689427297;119772,012023039;-9936,81647313954;3138,68422223119;1672,94867702272;-18988,2897488563;20640,0706026336;-12444,6914215109;-425151,263490542
