"";"";"ExpoTTotalPais";"ExpoMTotalPais";"ImpoTTotalPais";"ImpoMTotalPais";"TransfTotalPais";"ProdutoTotalTPais";"ProdutoTotalMPais";"FatorDINN";"FatorDemanda";"PIBTPais";"PIBMPais";"TrabalhadoresPais";"RemuneracaoTPais";"RemuneracaoMPais";"RemuneracaoRealPais";"JornadaTotalPais";"AssalariadosPais";"SalarioTPais";"SalarioMPais";"SalarioRealPais";"LucroMPais";"CapitalMPais";"ConsumoIntermediarioPPais";"COXK";"COXT";"COIK";"COIT"
"Australia";0;1578839,26243095;165673,500144126;9144715,35477963;167846,90950441;7474480,39011256;11855384,1892904;991998,331315319;11,9510122295982;6,82819144147731;5025066;429368,361973195;5025066;1714125,49290408;251036,531063228;338585,459184825;7953333000;4355800;1509316,6244991;221041,931444815;298592,633876866;166812,580466101;978996,662523074;562629,969342124;204996,576236771;0;325092,639644243;0
"Austria";0;1276318,34269045;127075,766135484;2595739,83078616;121989,271610523;1533317,56654468;4208609,07097943;393157,71572;10,7046330332653;5,25367992829393;1948140;171332,003532104;1948140;556043,351242225;105838,832748;76576,0705835731;2616796000;1662910;501096,989549714;95380,18996;68324,0110156255;56601,667452;441484,46716;221825,712187896;19899,8107719005;0;153819,889176735;0
"Belgium";0;2728877,25787003;215335,38586934;6586232,92462769;194540,869609568;4731801,80237854;6065616,47509125;488085,71152;12,4273592361507;7,09138103619109;1940700;195453,486533929;1940700;890118,09398064;125521,12056;91959,2193076392;2371320000;1731000;835562,972990603;117827,96168;86239,233655431;49701,46632;397413,1919384;292632,224986071;30093,6926056188;0;177999,082741018;0
"Bulgaria";0;742070,236797139;13235,5761699778;660272,247776559;20499,9686590584;-387278,523424676;3748258,27856145;65493,81036;57,2307254373869;35,1905009970975;2300380;23318,3586551406;2300380;437836,867228994;12441,9049124963;17971,7389356413;2515160000;1519860;319734,446237643;9085,8168306275;12880,4167809023;8389,47585999338;59939,8489197279;42175,4517048594;5443,62228091126;0;189303,16715546;0
"Brazil";0;8020530,30234083;159261,834009176;7956660,17248391;141496,963722107;683174,041706005;77774771,9956881;1642730,48114782;47,344815773641;26,1861148366956;48387987;726186,086875593;48387987;9345670,23625253;356894,113332004;768109,649871505;84111264000;40937816;8716979,76036544;332885,569880339;717258,864458094;273765,272002027;1461378,10954116;916544,394272225;171619,143486072;0;327439,343799258;0
"Canada";0;2961897,87702556;305972,580959357;10457143,8936874;328039,386367364;6567297,87526363;13531984,242484;1213987,777326;11,1467219812463;6,80640642998053;7125180;588113,689245163;7125180;2678097,79284243;393467,216569095;459258,347243417;11028489000;6387982;2298386,51258182;337679,880892507;394121,150843852;182142,25004491;957426,038618053;625874,088080837;120298,734724891;0;375903,73022863;0
"Switzerland";0;1205882,83019075;150893,960107201;3089897,55128007;133844,903913553;2600957,64576605;4909749,56131423;533378,191133704;9,20500620934365;5,29618606125566;2113695;225371,762545449;2113695;800953,601872196;151232,14943893;162744,316157883;3064196000;1792390;729878,563625853;137812,107653334;148215,898587613;64895,2802050082;458686,860948395;308006,428588255;49418,0063591182;0;160770,998736864;0
"China, People's Republic of";0;98619098,9238151;1119367,83654222;41606691,2705811;891814,36478841;-47443382,2651717;1274779617,25309;11909752,1780989;107,03661992206;119,200069980666;551518133;3309581,43166247;551518133;203667262,338166;1708616,9695303;12289305,9119932;0;0;203667262,163677;1708616,96806647;12289305,9012203;1539228,12050474;7559018,54217072;8600170,7464364;696924,309151475;0;289153,731194238;0
"Cyprus";0;27615,8466132978;3637,4444010203;295667,127207591;8382,99774833895;68492,3808292934;307669,185333086;18931,5750427424;16,2516422769079;10,8755883344114;148800;8419,72373864912;148800;53579,0013588042;4926,53819833132;3581,10712327419;194364000;114590;42772,8150983097;3932,91965299683;2892,0594895509;2967,95655085838;15596,8739308917;10511,8513040933;3422,96592383549;0;139338,630715608;0
"Czech Republic";0;1926856,05970011;103665,886529824;1993087,77845544;88202,5362965101;716492,907154901;5395942,22531212;279144,4962722;19,3302834101032;8,47266713383255;2859150;101932,812965303;2859150;442075,955195828;52176,716990398;972668,610928239;4228033000;2501110;391581,093772119;46216,9807437;860629,883554692;42255,131461933;322176,5040234;177211,683306897;21885,7750097955;0;176086,145570432;0
