"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44"
"Australia";0;23479,1351674905;27148,1259864425;-8143,1981278253;-25736,5143493265;17856,1843867718;62362,596861209;-3114588,49882804;-63,9782819839012;8038,5376257688;283499,896290456;24764,8356582175;44939,4866642466;2400,57535209026;20044,1469023778;77990,4238006256;97600,2629030472;1736,19940606918;336,048426630726;4024,00179159763;-423018,545944134;-680734,420315212;36667,0122874636;120279,025512517;-825907,76676614;-263566,057882232;483,747424150632;942,349836910149;-82,7434204940883;14057,584252269;17,0764200919756;21887,3290056146;12638,4347196726;271,597756116274;1976,48599635817;-6,34767128166948;-5754,60125485626;4325,19170536449;1169,67354339362;47152,2334893864;-47129,6147089766;-476055,181526771;394659,976037708;-5190375,06724567
"Austria";-23479,1351674905;0;10222,5254327035;-24517,4632445056;-31870,9918462574;-15000,9986166765;-44902,7177963073;-174228,716350309;-961,81707723354;-2436,64543688865;391777,463548605;-3898,19124451204;-8248,19964541489;-2031,76738697815;-1381,12058261327;-62139,6669620757;-48785,3989692111;-9281,61565846093;-21546,8584557675;-43208,858325562;-18107,0055468513;-84257,3621357748;5991,52282878437;-11109,3724591241;-10805,4488360746;-19984,7011280211;-1461,75208652209;-438,712441039009;-2474,01212135651;-18261,1674643246;-648,194569356692;-74,317241539844;-12022,1027951295;-49146,6500817059;1306,38668027707;-38287,0111529453;-102804,20036813;7150,01550709378;-18316,3064442653;-14043,1620220742;-44293,0961062445;-6926,32428460939;-120803,849921325;-1065667,46671785
"Belgium";-27148,1259864425;-10222,5254327035;0;-6253,88409837354;-57590,0080051628;7416,6313450808;48076,699097598;-306055,634275311;-1141,00555621964;22013,1129906978;-243654,910486931;-8646,67066622198;-4699,83468211972;-1817,39839448298;14314,5318989089;-38173,262402083;-125637,236275944;-14880,0207809655;611,396610115324;-10692,3263130406;-81536,0720996035;-413863,957553135;108093,484420897;-72128,1774855005;43419,9900087001;7526,49988134751;-10758,9300831142;-68247,0534327897;-2100,61535466826;-8367,83784899638;-942,914666848103;54943,4430832356;84618,7360121991;-25024,5452011197;1600,41396718323;-9929,56863691647;19621,3642954041;471,297065735533;2386,63956007102;34102,5786708507;-66748,2192632811;-3368,73055617598;171661,012279822;-2868851,29861749
"Bulgaria";8143,1981278253;24517,4632445056;6253,88409837355;0;1554,68110738826;3428,2370116334;9198,53010425158;-24252,7350221069;3058,07401637521;11136,53339004;90073,6613454279;4980,91986007728;70001,8649699648;426,959596673359;2725,83727921517;44820,8825637469;14904,4577328318;57135,9711732367;1134,46575167739;14799,8985997521;-2358,0754757833;-27193,770053023;6711,24542167382;73321,2324605879;2571,27667226565;7860,73948857392;1643,25695662535;614,348853267752;102,412315213988;970,616080027761;1730,32408254469;21142,5269018755;1909,49936019656;10601,6727533089;16281,855979201;22301,7101599773;54392,4188410724;4965,44072790289;4460,14309752053;6405,51237932301;16068,3990708479;761,147153744232;10672,0346148132;-109528,167990435
"Brazil";25736,5143493265;31870,9918462573;57590,0080051628;-1554,68110738826;0;13756,4024216074;57156,6072075641;-225585,295380521;228,352527902936;7981,82376107647;456614,754913588;25815,2689049384;141902,120245572;937,768985026688;18526,1986776096;180786,944055361;98515,1287668179;5692,15274834101;1773,43537093655;9173,61564420277;-147493,47729588;-341879,460117694;12772,1382408488;179343,483372123;135258,037902618;277145,289041357;1783,05708500258;-99,5874224129391;185,320071208279;55644,5271427966;367,010169722006;47316,7479217697;60082,7124544722;10594,7283585657;38917,0901402088;3691,8620454442;57162,2193100553;2194,76469724264;6777,08963742011;49546,615630107;22810,0625535705;729,823410649013;683325,243831362;-4668613,16922912
"Canada";-17856,1843867718;15000,9986166765;-7416,63134508081;-3428,2370116334;-13756,4024216074;0;84803,6927719483;-1432005,79238836;-46,7793058954146;1952,6451291917;291140,045909351;25773,7081926994;8764,16035511107;-297,070252168684;22820,2831616209;-6037,15635589164;22983,5720156255;-2036,92301876453;1072,20269143103;-7152,91144298124;-162844,869658014;-549310,291509278;18349,2224511236;75558,1836573667;-55936,1211447259;78006,6302684085;963,881168230059;-1389,9635523904;-4293,14174928719;161117,295468248;-1178,93960311266;-26951,5010251657;71112,1142173675;-480,479303821081;-2874,60106859721;-6035,40472552799;-41491,1472096421;350,841153388505;2103,59505254083;29449,7128739667;-22902,9784692682;-31757,2696448464;-1512758,15836387;-4006837,66074867
"Switzerland";-62362,596861209;44902,7177963073;-48076,699097598;-9198,53010425158;-57156,6072075641;-84803,6927719483;0;-331966,204976322;-1700,44544159601;2097,75300859992;310334,198784173;-9847,41398375103;-47088,0991037537;-1676,13563056015;-2003,94546883013;-51108,72739825;5647,95708654367;-26104,7896409637;-4606,17174676651;-2796,75428929048;-23360,0223235476;-197380,846692948;189267,737955312;38978,9359403111;-97430,7897043829;-52870,2598094057;-1988,27321316851;-2192,77419857366;513,56905961304;-15208,9376156835;-770,998450030189;12503,3099802225;-22229,5262072746;-23664,7105970051;-12653,0518392452;-14507,593086671;-38395,5787789519;1809,22214481829;92,7978394999973;8962,50361699569;-51567,9091410484;-25661,5595408652;-257265,934127406;-2159213,90798182
"China, People's Republic of";3114588,49882804;174228,716350309;306055,63427531;24252,7350221069;225585,295380521;1432005,79238836;331966,204976322;0;8898,95949584331;82673,9364859021;3641952,96331763;234064,489385832;574570,277441758;14083,0584190395;178484,830733425;1145813,62552989;1654253,03464527;73159,2093895242;18955,452496041;53469,2025789141;-415771,687220723;-2779843,27245157;120233,2988921;929103,135492255;6230357,73333146;4360847,41337898;19203,3714701627;11113,1512300883;15231,497048817;553381,76129032;12405,4022795567;546275,643297414;177819,109509956;208523,231152568;55669,1095971477;34648,4223266618;3445754,35938352;76722,9313775733;31187,2521465966;295636,497705988;315699,227811638;1835504,59195493;8319309,22398841;-13083011,2151192
"Cyprus";63,9782819839012;961,817077233539;1141,00555621964;-3058,07401637521;-228,352527902936;46,7793058954146;1700,44544159601;-8898,95949584331;0;530,147959922845;18958,4553748562;-1267,68733822968;4672,1615911877;-3530,97894581895;1442,66870646514;7190,80722656852;6111,06351300886;11981,7962296308;114,582752165893;-1952,83330508418;-745,536892645201;-9752,90302109492;344,843091165347;7274,80695485932;2764,83274599394;684,340207931742;9,15143103655939;-296,656816476881;546,083369695816;77,9483501034586;-28820,7145316291;832,691422191655;610,568357145592;-848,402506379484;422,848272328603;-3656,68953505824;3150,13674282248;701,236924961523;42,8091978307127;-155,769366048216;3849,11850762679;111,727578718136;-2311,25672681712;-69285,1049942245
"Czech Republic";-8038,53762576879;2436,64543688865;-22013,1129906978;-11136,53339004;-7981,82376107647;-1952,6451291917;-2097,75300859992;-82673,9364859021;-530,147959922846;0;111293,694270062;-5383,90979642345;-18627,8101389813;-2704,95319026778;-4732,7828442203;-24283,4603691793;-53970,0589853467;-2726,3763251228;-4490,98131737709;-16888,7769668196;-11767,5350555122;-48596,8953666732;6078,50951711149;27722,7540311536;23384,7546710121;35405,672114778;-4742,99731290705;1567,66570835101;-2984,06153758993;-5527,42181586518;-116,150950793724;-3999,62463362538;-8030,37277275513;-17622,2525331049;-3507,20630662442;-18646,9554535281;4839,64519269179;-41979,4353294184;1536,91125796667;-7008,61271138719;-39953,0982957209;7810,0337190168;-16759,5032019557;-554345,990004002
