"";"";"ExpoTTotalPais";"ExpoMTotalPais";"ImpoTTotalPais";"ImpoMTotalPais";"TransfTotalPais";"ProdutoTotalTPais";"ProdutoTotalMPais";"FatorDINN";"FatorDemanda";"PIBTPais";"PIBMPais";"TrabalhadoresPais";"RemuneracaoTPais";"RemuneracaoMPais";"RemuneracaoRealPais";"JornadaTotalPais";"AssalariadosPais";"SalarioTPais";"SalarioMPais";"SalarioRealPais";"LucroMPais";"CapitalMPais";"ConsumoIntermediarioPPais";"COXK";"COXT";"COIK";"COIT"
"Australia";0;1584172,80456364;133884,124210134;9085924,03513151;144746,702658475;6954331,88122834;11084426,5371768;792730,052637342;13,9825991209743;8,91653203868029;4706192;339216,299413094;4706192;1748514,63733164;196098,060293679;302227,097692206;7447757000;4064217;1526084,1765356;171152,211410825;264446,038914982;133205,961897899;734609,344377696;453513,753224248;122935,359954832;0;252102,898452333;0
"Austria";0;1417751,47859909;123352,21076052;2850952,46088732;117489,750292479;1728639,52021968;4142245,75676921;332414,19868;12,461097550038;6,67086451395891;1893830;146168,486355871;1893830;573634,705788639;85991,059268;76089,5491687608;2616980000;1605530;516200,6511846;77381,3724;68674,4081138971;52998,084972;349894,78744;186245,712324129;16985,2659868884;0;140101,785522438;0
"Belgium";0;2829707,63202454;213978,133471593;7429636,47715047;190413,496509986;5787468,09230307;5911886,27699461;439308,82576;13,4572444948428;10,0887827529963;1891100;174124,514758484;1891100;1032798,28889214;102370,9514;87743,1605895429;2363060000;1678800;970913,870222982;96236,96872;82399,2696447009;49156,48888;341286,0121376;265184,311001516;27463,1588734367;0;148410,517596961;0
"Bulgaria";0;613655,110296143;9559,17734791319;727771,33976246;17809,5945902832;-301663,326011842;3730097,23954623;47646,6256584223;78,2867031610427;56,6767247428865;2296390;15577,4507838934;2296390;448733,952157659;7917,42914209206;16051,1465301058;2550931000;1527730;341266,647607523;6021,28385427487;12400,9124450021;6028,0429605383;33447,626392654;32069,1748745289;3416,14397726542;0;155070,504642892;0
"Brazil";0;9507662,0757993;145862,583949;7246715,06059935;103435,732754805;-122846,988055994;78929571,5852314;1179035,6060692;66,9441797846767;39,1349075827996;47079338;489023,344375713;47079338;8490092,4380107;216944,231184085;682705,507169716;81684274000;39901972;7876537,8188552;201266,294092823;636264,916098224;200542,951867769;862149,282582126;690012,261693482;96055,5077042397;0;270823,458083134;0
"Canada";0;4090378,16070734;370066,729381402;12635148,4199572;348824,053855984;9615294,3221745;14331110,5129321;1183653,28820102;12,1075239310265;8,95301724869619;7049904;572094,933137365;7049904;3272608,80571458;365531,38621409;460195,503706495;11093597000;6284866;2783882,26131019;310943,47123207;389998,684929916;193049,974160046;773917,53905724;611558,355063659;91457,1663267404;0;356075,495382876;0
"Switzerland";0;1266049,95585581;129049,824408765;3463495,78624884;123439,9950783;2480153,02892726;4950881,72516329;421775,47924315;11,738192400486;7,01134093801517;1995722;180560,471564646;1995722;797541,357891572;113750,189149602;150518,307409588;2971232000;1670220;725134,61755769;103423,10036958;136947,04059287;58646,809562652;342183,683333733;241215,007678504;34682,4461277382;0;142288,986913598;0
"China, People's Republic of";0;128379130,619613;928654,459846396;42554721,4444589;714237,874087806;-75018891,0910483;1157108591,4239;6570686,46520906;176,101629190594;221,750286775062;543428923;1894459,81792646;543428923;201317693,879161;907857,64837983;9709201,06432725;0;0;201317693,906974;907857,648505258;9709201,0651505;943499,943465406;4098490,81085276;4676226,64728261;420880,700306533;0;241954,566339987;0
"Cyprus";0;29477,0447978962;3127,55840507859;298355,888823187;6852,98999221228;81135,819186732;286754,972944653;14757,7792355131;19,4307672156124;13,6285807367395;143040;6822,84730550685;143040;52702,5219902272;3867,05872080672;3491,57659819097;181115000;107860;40151,1963837788;2946,10254430532;2672,68894791621;2599,29171090242;11564,8973557933;7934,93193000622;2560,16565917787;0;112866,434658245;0
"Czech Republic";0;1928547,26351506;86094,96161951;1986529,22864652;75671,1917261438;583287,569121189;5765480,71005953;235680,271232;24,4631452599784;11,9650864737686;2900420;81374,0801428576;2900420;482342,770020485;40312,518516096;990959,203868308;4340396000;2555380;429071,236031133;35860,2703768;878913,219299488;34074,353012264;238602,9133448;154306,191089142;17455,7188302675;0;144038,76167007;0
"Germany";0;11484116,11678;1016407,36431699;29627285,0308228;786550,979440358;29726775,26028;40165795,0328298;2985453,9316;13,453831796796;9,11936555385855;18155000;1256599,40201708;18155000;7498533,44647573;822264,8168;702610,285088715;2,3099e+10;16338000;6884294,87348543;754909,4104;645385,911270713;371710,3352;2451788,7748;1728854,52958292;189975,528857002;0;130998,709748688;0
"Denmark";0;1199103,50924141;104862,452018141;2979571,715342;83102,030693207;2877084,05469488;3379155,34348555;268526,889645;12,5840482789373;6,44968632574802;1432000;123208,887411111;1432000;499173,08574861;77394,93993;507610,947228917;1977979000;1336000;470790,623998417;72994,344255;479026,443993632;38624,25294;277729,007325;145318,002233889;21725,3430791038;0;123842,229526101;0
"Spain";0;2914096,87776724;205588,241125887;13363711,9251503;283447,405106355;6525904,56842052;23206015,0066365;1541969,7144;15,0495919536696;8,70550035133458;9468200;576018,803791459;9468200;2901007,87952465;333238,50008;286674,708724602;14442362000;8322200;2646971,38117966;304057,3516;261768,629873673;186951,55752;1213906,2601232;965950,910608541;62032,6194362783;0;167485,56983747;0
"Estonia";0;241131,005675978;6543,76585169512;460533,807562563;9370,92128940311;76928,3794875273;769638,28620621;19103,1009602856;40,2886572083899;23,7025025359514;374000;7362,11820611534;374000;94937,8262897345;4005,39251691821;3651,44174087834;680741000;344600;90852,1856882392;3833,02081923362;3519,27723829358;2792,82828466952;13202,3064993184;11740,9827541703;973,830565190127;0;100499,349257685;0
"Finland";0;921387,163494306;78437,8809532643;2093020,56452166;61033,9413356196;2048704,47091599;3571068,98531592;253268,3316;14,0999427869881;7,84345691108297;1350100;107921,404276752;1350100;504554,125518826;64328,02924;57511,5352369224;1889900000;1178400;454545,724784687;57952,218;51738,9966827718;38019,69356;179823,2652;145346,927323248;16987,5689451799;0;153119,172616141;0
"France";0;5689977,1654278;475584,933212674;20244375,8368363;516365,442244392;12499266,0133528;26621040,1433303;1958625,5072;13,5916948112184;7,6807702626985;12102000;856161,323560929;12102000;4346159,62380861;565849,44936;493281,077820783;14967175000;10806000;3964054,72031608;516101,1962;449405,201588242;244553,71424;1063650,0043504;1102464,18363907;73711,6698900097;0;151848,811548505;0
"United Kingdom of Great Britain and Northern Ireland";0;3853020,55510898;407323,695294285;24272603,9979534;494008,505151475;16051104,7768154;23834167,2966206;2075693,21292;11,4825096253466;7,34501088268317;12174000;1003349,24272799;12174000;5071363,09205023;690450,04467;412866,904897578;17145013000;10444000;4371905,33693827;595221,08364;358130,879299339;238561,62084;1995829,94346;1072343,97019201;71539,2774135487;0;157474,533731975;0
"Greece";0;396762,220178114;33797,9045326012;2672231,95028263;62661,1703396046;820906,224485184;3855966,22166257;220364,935557322;17,4980933872737;12,9778507413515;2159350;110487,778179999;2159350;760569,875774731;58605,2260064387;51036,2026720621;2621286200;1315070;512735,478262695;39508,5047964807;35297,1470778736;46384,3457239775;122421,22577858;109877,157377323;18330,8346180402;0;168034,305250407;0
"Croatia";0;406105,256160965;14492,3382065249;689094,811362161;17928,2074097536;109839,018927326;1500661,544693;50574,782710474;29,6721303437694;21,7689670247152;991060;21362,643938686;991060;344781,786931375;15838,2245027947;107074,126854841;1417239000;731600;251783,701871892;11566,1759047194;78710,1102589673;3604,26991393163;42110,8322730689;29212,138771788;3055,08449526614;0;128555,251308065;0
"Hungary";0;1732029,91613964;69894,9175720566;1771511,27827633;68269,0292553464;121417,960216513;4445270,69424646;148071,73362827;30,0210619901715;14,0237010011971;2404840;53022,7943221201;2404840;398396,902584824;28408,8274950254;6899046,67437371;4123498000;2084360;358708,471904998;25578,73074122;6210676,23113124;19809,6832947443;150184,768127083;95048,9393061499;13792,4587837542;0;157893,036551555;0
"Indonesia";0;14536398,2862028;111575,819203724;6788804,42050991;81962,6484240733;-6255238,91910538;115147656,533632;537775,910748975;214,118286505736;177,541855423653;73841016;250824,598362092;73841016;17232412,3697992;97061,1258324353;1474508232,68972;48093189000;32074905;12622672,5345232;71096,8830668283;1063739150,85992;150171,114483348;482279,567405652;286951,312386882;27877,8430661511;0;239877,974904356;0
"India";0;35408831,5884491;131918,327862368;10400055,3725863;194609,514036003;-28168096,8603767;578795888,847581;1374399,56179421;421,126363058493;465,445120695454;367226074;555351,908922318;367226074;115138331,372917;247372,517732875;15828363,1237698;392719297000;168875617;52787995,7989087;113414,006188387;7199862,97323049;264414,500156172;1416539,0926283;819047,65287189;107866,753490565;0;253035,037488591;0
"Ireland";0;1008496,97246;108409,911579201;2184557,14097599;75672,2980855002;2825871,32181433;2839656,7369285;266737,27836;10,6458937962769;7,14949618546445;1070890;109907,292012746;1070890;425559,653352273;59523,0268417336;45442,1000260823;1584036000;866950;353138,975361364;49393,5469298279;38313,3958153001;39987,1534100727;116092,200419604;156829,986347254;26792,4049384485;0;149391,83960013;0
"Italy";0;5345326,32676017;396625,327784639;18207019,2838781;389262,032086589;13232766,0461815;29656161,4162641;2106689,12376;14,0771417490085;9,15548352036191;11748100;795792,256484378;11748100;4380394,15271668;478444,87328;411257,118914495;15290556000;9292600;3582280,49095695;391271,57872;335829,810201019;245949,18808;1519848,4795196;1310896,86727562;96578,4126360185;0;174951,701136049;0
"Japan";0;8400335,63385687;606389,801753201;44809985,1359572;538240,816646042;39844015,7773753;79915198,195242;4593675,07478281;17,3967894755857;11,4297873801442;31604476;1888848,95330846;31604476;15441909,3799433;1351023,32758779;156037534,126147;50265223000;26556813;13899767,7559159;1216100,29072479;140361960,744509;511560,716663294;5710636,51270318;2704826,12147435;363806,49089661;0;282975,938400662;0
