"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41"
"Dinamarca";-80468385,4185111;14400054,5520046;92566075,1926992;-8363976,3932745;-62243070,6334933;-41218692,4598285;-727602661,027741;-5516985,07727708;-19425583,1737546;393699992,772232;0;-63400646,5797222;-11583073,0141313;-51950801,2867476;-34658014,7513839;-155623713,91628;-11670330,9881779;-17483756,0091234;-80482683,4959303;-318072635,576819;6748608,78253359;19789063,5723197;-135961225,779737;-38026467,3489882;-27647952,908073;13682087,9408792;-13354175,2958197;-4955273,44666373;-1290214,28394797;34967240,8816428;-50884117,8366986;-17305181,5650091;-14877633,2769986;-45665426,5068088;-1906152,01273138;8513478,06365236;-134953635,063229;-35984743,2573121;2363248,88625177;-289206601,526181;-5041024840,90971
"Espanha";22539268,0874638;93976517,9751782;302509963,718596;-70254474,4530947;-363662984,938854;-57999326,4043052;-3121726220,07371;-13769892,3401246;-1639701,36328807;2180810155,41368;63400646,5797222;0;-8319696,66133522;84774529,4755502;816491521,578762;-190880739,34653;-149753049,214798;50485440,6694752;-52219158,2462214;-1816937505,76845;187366054,198343;718242861,996871;330660743,512811;176827504,94883;-6927516,95461863;15415535,1838546;-5666811,20974621;-21393294,249454;-8702684,85987291;332125599,351747;-29188504,261795;-771339973,255721;-103977233,997408;74900689,8659051;8612745,15881085;-22783977,8907023;157703750,870933;-117500632,011444;26299376,4879731;-137914616,965327;-13657604422,3165
"Estônia";24207,1912064219;6367038,47887233;12792492,1835418;-378881,488164802;-2059092,36982669;1844131,67406658;-115228202,813611;-1589000,3587411;6269611,73209173;111588893,818924;11583073,0141313;8319696,66133522;0;48050057,3359975;18057722,2057856;21001121,7682231;523341,249838986;-1005568,57367201;-1636134,41915842;-21223351,3439606;2868321,74532798;23655539,0145133;27008308,796839;4012413,82995801;11724780,7058923;707459,239318476;-8609132,23917073;-375686,030759844;235931,911025912;9924621,0505982;12725230,9178047;768220,37939652;-728582,313216305;-44084525,676247;2005946,96558455;1095498,27852503;28509416,8634359;4047491,14915;4504279,7827306;5828110,91486675;-376777696,707628
"Finlândia";41864573,7236536;-21692526,5987507;-684257,580717713;-7217883,91748259;-78199021,9402467;-53814622,5696096;-720266228,994339;-1443232,58308441;-12819636,3066753;-56894558,9058456;51950801,2867476;-84774529,4755502;-48050057,3359975;0;-102091146,416146;-97685717,8923337;-33591642,4587018;-12092906,7501811;-42117058,925953;-201405197,65002;18061106,5878315;-19774160,1903645;-28330112,1753877;8105742,16610993;-37277259,9805817;348374,581859653;-45674190,2760222;-18886489,0994086;365547,992155878;-48293076,2473381;-90925101,5660833;-7379117,64040112;-18181119,2526926;-201541676,557034;9160562,2195061;14048,9412789699;-80020251,5755063;-67014315,9150199;-12327710,6628117;-314772147,749602;-2173180584,57157
"França";-136879208,059463;7231779,30479592;145986537,763152;-100004468,411215;-391767915,228626;-248519107,634481;-4971413270,75493;-34371140,8885918;-50421090,2645738;1179638320,39602;34658014,7513839;-816491521,578762;-18057722,2057856;102091146,416146;0;-198332768,074794;-287438927,611889;-143378572,303156;-307311032,242938;-2682610130,87259;311957517,738096;-597103,049334526;-69344202,4995795;-43484681,7724499;-9664923,95002106;-1793571,49597821;-18965682,0086796;-216513680,680476;-21816138,1522743;229704630,101588;-245047026,701215;-187008685,308398;-336745530,855717;-138964911,226311;-6602584,31656201;-11261122,3966937;43182547,2205809;-413456671,232835;-115687641,597062;-1141986700,20318;-20563387149,0137
"Reino Unido";-156529872,7661;154821478,990434;567928217,68835;-44164075,6513252;-324081896,015243;370290833,48075;-6675237239,86002;-40085475,9548696;31369074,4206001;1629736811,11575;155623713,91628;190880739,34653;-21001121,7682231;97685717,8923337;198332768,074794;0;-75791988,8035534;11642425,6270334;-326978893,660442;-5000423037,38203;-592509412,988616;434076977,919408;344056259,754447;-57396340,2626941;-41626534,4826479;11279169,7048908;-10079137,9931265;-154821107,164549;-17587491,1015833;482459669,027667;-41544843,097805;70526946,0761796;-165323993,483047;-259279610,398457;2378760,32821868;4753393,50692303;65916325,098756;-122794721,077098;-26146146,1537463;-1979239220,93228;-19414980981,8954
"Grécia";-1424340,48182445;47481895,1606415;137826249,052222;-52268273,2837631;-33924971,0595171;589817,368151348;-421957587,853389;-24297555,9363102;15549305,4786371;565438016,906382;11670330,9881779;149753049,214798;-523341,249838986;33591642,4587018;287438927,611889;75791988,8035534;0;10890096,3993195;-18821964,2697605;-311162304,961153;35273981,5583315;516324332,638389;65876150,3827518;123257735,5859;-259234,68701924;19501591,3958089;283750,373287937;-1582649,91430695;-498491,979208914;128081675,852318;1785432,48299972;4183206,16879593;-37425315,303133;144625895,13387;5578929,88119668;-2584539,19330097;35374120,1570041;17326597,561056;7567897,85715938;26241679,5143044;-2748840428,4483
"Hungria";-8825834,47781086;225366914,809793;52061547,8504475;-17456984,3723618;-6523273,46974688;-1216941,14297853;-333749909,86118;-462091,12688766;7109598,90251943;674419331,819626;17483756,0091234;-50485440,6694752;1005568,57367201;12092906,7501811;143378572,303156;-11642425,6270334;-10890096,3993195;0;-3893669,46267275;-64323519,6934098;6895220,84855442;62379665,231538;103082057,399487;79719666,8006441;-3607725,07433707;3953186,08132335;-4991792,21693833;-17669414,3589443;2708069,78111397;116121720,002066;-9294449,02814668;6010678,61140145;-77633111,7994377;172076195,078315;-7182723,77367663;-4977584,17126516;22254471,6987151;-62235637,0924645;42522485,6615336;-56210994,7261649;-888527344,453813
"Indonésia";606286730,019642;58021908,7322961;158899298,413171;-195507,121667101;30456577,6114906;180586968,561002;-1062577283,09836;-109950,285984896;26539333,5390097;615218919,830753;80482683,4959303;52219158,2462214;1636134,41915842;42117058,925953;307311032,242938;326978893,660442;18821964,2697605;3893669,46267275;0;-786258278,565372;-13699528,6578579;213934141,476722;1036374891,76827;189393558,730291;1622547,75251274;16202757,8282107;819659,692931795;46182309,103072;665738,582250662;266003099,958133;43266326,5464833;9870735,86725384;8001563,39538456;91798625,4478409;11529577,342773;4537967,29179174;109796156,064739;137467461,832656;9526310,07186031;1840955476,11744;-1765582048,45725
"Índia";1413026490,81706;333837349,328116;2019783143,33476;29489470,0663234;378596980,571115;2782090043,93368;1291542218,68659;50861673,9100342;184963312,68113;4750536612,67254;318072635,576819;1816937505,76845;21223351,3439606;201405197,65002;2682610130,87259;5000423037,38203;311162304,961153;64323519,6934098;786258278,565372;0;157354133,505024;2925244897,34701;2992713663,96997;1162500760,43946;18173300,6856549;8150668,48861594;13603797,7623623;581213556,227922;7940188,65740074;1317024637,16701;351429600,897027;200446660,758082;91910440,2391416;1119843017,31177;72398304,5729405;28145548,1898663;398232860,043758;808279115,814736;775324620,99456;30961814320,807;13643105100,0134
