"";"";"ExpoTTotalPais";"ExpoMTotalPais";"ImpoTTotalPais";"ImpoMTotalPais";"TransfTotalPais";"ProdutoTotalTPais";"ProdutoTotalMPais";"FatorDINN";"FatorDemanda";"PIBTPais";"PIBMPais";"TrabalhadoresPais";"RemuneracaoTPais";"RemuneracaoMPais";"RemuneracaoRealPais";"JornadaTotalPais";"AssalariadosPais";"SalarioTPais";"SalarioMPais";"SalarioRealPais";"LucroMPais";"CapitalMPais";"ConsumoIntermediarioPPais";"COXK";"COXT";"COIK";"COIT"
"Austrália";0;2828014647,56367;141262,192956584;14866361351,5066;142925,31004378;11898760412,9334;18677931320,7359;765860,38521;24388,1674538035;24983,8932120099;8843493922,99553;342334,8423;4752685,03635432;4961618654,95463;198592,693814811;190629,344592166;7476306459,16271;4041700,80487216;4323597341,98962;173055,388337604;164222,12600318;127558,061895189;606960,592606476;423525,54291;116843,799616775;332764905,222038;298257,304727823;14100493501,1902
"Áustria";0;2996113990,85023;130437,845584682;6694683278,16434;125476,327799191;4114992082,06867;8313591906,52323;327070,61174;25418,3396737949;21940,9790134822;3386029000;143904,1972;2012437;2081136491,00918;94851,578397225;67962,3243494296;2553875000;1622366;1751093315,72488;79809,2607740466;56874,3554410118;36738,302172775;290363,005198411;183166,41454;22391,3357710347;119087664,605073;194296,553450676;7703047550,759
"Bélgica";0;4971928274,5259;224005,799248094;12691164793,8823;210705,02111861;8835577816,62783;9510224439,29668;443135,63143;21461,2045720791;31810,6895692262;2665494682,89325;164601,38641;1893737;3369262969,548;105916,062027383;73165,9741773634;2366969106,7675;1677805;3071980772,92517;96570,7067191973;66553,477966782;39794,0564426167;347473,245708649;278534,24502;37472,6697479068;95976006,9693606;173298,822088562;10034703253,5721
"Bulgária";0;1481584515,20136;12431,8335338489;1167402491,04419;19165,235247983;-879319968,07513;6188230864,82376;46479,68628;133138,395718616;76365,1077709562;3599065702,20611;15565,6179;2215807,10283227;548434852,272508;7181,74658925962;318,734010268711;2442290162,50337;1465767,11384001;408824643,58902;5353,55289244426;206,081532381105;6418,49887074038;34997,3204509802;30914,06838;4591,78257366934;196145816,381999;176821,192341599;8350267017,12418
"Brasil";0;17173672226,9469;140518,426281192;8814106300,27199;97600,2409516151;-4757420080,7002;152188731655,974;1125487,86234;135220,233596797;77795,8858851192;95960440142,8321;493360,18829;47415835,1985912;17296292659,6933;222329,143281878;204612,153042868;79039762531,8229;39696189,0967992;16447316151,8384;211416,271756659;195110,866898213;208674,743228122;834143,481243752;632127,67405;101352,847653142;4540087276,44941;331224,263700107;23476280590,045
"Canadá";0;8583815238,46475;399417,016597933;25590797191,8275;344554,781645554;21611598160,1531;28832085805,4178;1241645,69137;23220,8640563197;23039,1828667898;12287488573,6924;584652,55624;6703091,88395051;7335238039,43787;318380,998225912;293773,536309489;10941613929,4618;6009129,3131499;6994204648,8172;303578,676781072;281013,07331148;235669,084024088;1306002,84170191;656993,13513;162295,419911351;405681270,496836;426016,527269509;10898289117,3228
"China";0;257166656105,992;950291,324035531;57016597896,2525;746259,046556487;-183025521952,625;2303227900167,99;6598470,67589;349054,80577245;384706,878138348;1054484694103,47;1895316,52531;565188450,721122;340967882024,367;886305,656073423;5478185,27314594;0;0;340967882024,367;886305,656073423;5478185,27314594;971868,290446577;2576816,5758417;4703154,15058;552914,508349984;35140876965,9437;293977,86243738;18978592026,9817
"Chipre";0;107015755,354693;1989,08363323835;464876164,611694;6169,12062427213;7027708,20856269;550611600,285569;11693,71933;47086,0967966784;25878,2937556203;278466000;5737,65693;140200;105665021,450313;4083,15256207199;2366,6823748396;178793000;106000;76281876,9306441;2947,71663275045;1724,61164052593;1441,23214792801;9888,58704912444;5956,0624;920,366640697269;17653265,1058637;170397,560873965;10979161656,0309
"Tchéquia";0;4390836584,30583;94863,9448080176;4640319561,3947;87701,833256168;850602762,9509;12006856691,2871;241340,81449;49750,6263773078;35274,2122137483;5689107000;77335,80042;2928424;1464487737,45514;41517,2344198901;641761,342367758;4708813000;2517179;1236364365,0266;35050,0914814115;548482,933932839;28037,5565401099;179382,237679874;164005,01407;20814,0822150196;288867889,646338;186047,093463808;7350768472,73355
"Alemanha";0;24335303630,1267;1152522,05030276;61037264301,9773;887052,337514031;58982973156,6678;68111846631,329;2966832,07031;22957,7694379622;24331,3770327024;26764733829,6882;1280504,79192;18216000;20823275338,863;855819,845743859;660154,803985211;23081803303,3033;16428000;18593936456,6916;764195,813155192;586216,965453308;312854,943556141;1894922,44914513;1686327,27839;235377,204376668;1151486476,69888;184853,230187843;10923067931,7332
