"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41"
"Austrália";0;36472100,262676;23855775,4043759;-1924067,78006093;-62940662,3124263;49360499,9206896;-2865796519,92294;-757428,874266592;-3158004,36163983;350245898,529613;43545757,2251888;10906668,1418401;695597,566420246;35183633,3341408;138394827,565335;288354328,230369;-4022579,24984975;164620,819859109;-721855885,089799;-1039359573,16254;66934778,2390595;117364481,27019;-374017843,792073;-389087739,094564;-6344264,99714074;506856,189436536;-141380,462003908;-26789584,2638094;-474740,450007406;76215037,4257495;-5931780,23204472;-2695198,75761291;-11702011,8472932;-28018844,218644;-974580,296513188;82602,025871851;104171838,524757;-30068007,6168355;-261387254,420318;459173039,97103;-5182636941,28103
"Áustria";-36472100,262676;0;16540454,4557144;-43237871,569686;-80980305,4222272;-16459310,099219;-327312570,470174;-2627657,34451113;-122089943,804709;775478064,419836;1069590,90014012;-93208834,5438498;-2753622,72148341;32435646,8345196;133687744,97149;-14219059,7655972;-35338127,2052956;-193280467,817567;-44980549,3118645;-256001479,219717;30405115,1304059;-21738208,6607257;43514890,1961135;-6454682,99742063;-6599143,57237881;4040768,70723569;-4319015,25756671;-13214356,3679722;948045,972893309;72370140,9550499;-109332049,731325;-2971304,65774353;-89445769,0486649;-166262596,699039;-40276767,8858603;-38312957,0411162;16734801,3042726;-93100979,0000879;-9933492,68929735;-76512856,9972255;-1903184220,93818
"Bélgica";-23855775,4043759;-16540454,4557144;0;-31976827,4717735;-217936147,537492;37171799,0898457;-903665674,266776;-5825097,20086219;-46813325,8101822;56419354,4283228;-58284575,3666967;-251998232,554914;-7969834,08641685;-7563392,02810754;120672290,942454;-397126123,95066;-92135728,8261591;-47087943,3588627;-226501979,080709;-1179324478,77584;178398893,454073;-425575927,983989;102801994,148035;-21299926,4234384;-15519051,036576;-161953563,049005;-5366542,38862533;-24040641,5867578;-902294,741418712;416973432,167186;-112631609,105252;-32374325,2949359;-51416150,4023031;-173750463,169531;-12044142,2570381;-9262785,89113181;83411671,6718729;-130000962,849877;20222875,6928065;-167587257,022911;-3225244761,0811
"Bulgária";1924067,78006093;43237871,569686;31976827,4717735;0;-14516952,0141735;14914369,1171158;-18720202,280007;3929396,18295832;9081865,50355866;221209427,231279;12043691,0725218;36156292,9370714;1030763,29755327;10089133,9726251;81817624,873623;43474207,8272845;81140254,5357279;4652923,55338599;-687268,142377457;-19080472,1368447;6785952,5321862;138496864,189178;15114023,4344763;10944801,5697457;1573503,48703906;362436,433197445;2487393,58398595;4896760,96729192;479163,368566844;27774672,6695086;10669349,7918563;5827480,2610162;-5629010,29227615;-276245527,8817;2551487,60810427;4087791,79799668;14203818,9627994;62724477,6042466;4831507,41706681;75607692,4246209;102516985,072145
"Brasil";62940662,3124263;80980305,4222272;217936147,537492;14516952,0141735;0;278128407,802733;-215819919,665685;3765115,49849096;21106302,3712201;1272716746,15079;76642340,9370003;441777214,633082;849977,886472417;96778134,1295441;597388608,327568;421827631,096493;25949323,9432744;43671157,1314808;-31200445,3047067;-208018513,074087;33368850,2045526;488002197,560922;672055495,212163;134985949,00093;66743,5950973149;107927,255605778;162865,06521715;31286601,0818057;1894060,80547662;580395877,063489;43084910,4352013;102116280,148719;15274988,0692664;247357536,948414;3455460,74280312;13341313,0966879;150865151,33377;9701236,57688038;39996145,9671483;1928053060,55834;-2409930227,4962
"Canadá";-49360499,9206896;16459310,099219;-37171799,0898457;-14914369,1171158;-278128407,802733;0;-3121367132,77461;-1366379,69608046;-8194671,78500674;260075669,833944;40196561,435905;10801350,8089689;-6504753,43781253;34102067,8597656;256072341,256204;-57205051,0468812;-857701,730406465;-5734014,01676879;-237916942,80977;-1765648436,63145;52455147,3179304;121554723,18844;279539320,194334;-73302191,0162024;-3709673,48248137;6559579,91460758;-978868,87469521;-112626253,317391;308140,426803346;8122702,21534526;-28718653,4409501;-1736021,7157445;-20614745,9681803;-94237689,708496;-3520313,29141632;-1644080,61386713;93658566,8304572;-25196442,6961263;63760352,0849149;-5333054014,77595;-4385641124,61042
"China";2865796519,92294;327312570,470174;903665674,266776;18720202,280007;215819919,665685;3121367132,77461;0;37473014,3327648;173578563,116179;5504423462,51413;393613886,37218;1252184226,77476;17040082,3299543;323884681,520305;2785756985,02528;4643329590,9938;185639348,000041;113928007,645704;195758813,617802;109774026,98219;224474117,019329;2249143346,03426;21298605170,4341;5037976540,50397;5403149,19403402;18815657,217144;5311102,25033763;594615174,512226;16903167,93592;1511641278,17871;262526649,339914;101511141,504079;17694490,1360692;-320720517,62074;48945313,1425971;34454601,1127277;593893704,774306;370022834,786332;3255331172,44662;30350017124,1909;5218253683,28495
"Chipre";757428,874266592;2627657,34451113;5825097,20086218;-3929396,18295832;-3765115,49849096;1366379,69608046;-37473014,3327648;0;-264755,328391333;25250585,8674064;2770950,49863695;8472010,75666705;-27649,1831231558;1306170,6731834;22480708,3576572;36084682,9924336;7310651,01592675;-595964,835446522;-6298955,66618083;-57750920,5063078;2572392,30984009;27396664,1809376;20767278,1203647;1416212,2125911;-56206,318145974;89449,0716145246;-16861,0950881285;-5033,94689639678;-5784,70720356994;5222326,54740466;-458,225936610717;537057,417407002;-8973614,79035526;-45339834,6176178;-74609,1765769927;-490486,370913649;4071716,4453447;-287457,110691356;2979625,2805997;12395020,6622011;-114074477,137317
"Tchéquia";3158004,36163983;122089943,804709;46813325,8101822;-9081865,50355866;-21106302,3712201;8194671,78500674;-173578563,116179;264755,328391333;0;760637897,056572;16185692,8717198;22014325,4841666;-1271865,64693197;19515838,6220205;132222980,69392;92339700,8316985;-54574,9311576989;-7369328,53958987;-15718434,1116631;-161002910,820294;23061287,2768023;117046486,939388;41714703,2462724;4994998,76779088;-1732436,08825577;4662733,91168205;-869570,710544072;1666033,06660127;6282,36758825794;50410741,7533223;-37313644,7904712;-474730,094021162;-8263556,27439568;-197629175,552105;-13096837,0937797;7052579,61317259;24169894,1089852;-10634238,7432982;9349891,96490276;60191752,9828059;-446775295,365383
"Alemanha";-350245898,529613;-775478064,419836;-56419354,4283228;-221209427,231279;-1272716746,15079;-260075669,833944;-5504423462,51413;-25250585,8674064;-760637897,056572;0;-151918720,803833;-1012381849,90255;-41395295,6328271;-36234120,2000797;-237054143,699132;-1234275098,80919;-403892127,233255;-482194623,654471;-876589854,25031;-4400869260,79005;929264116,807224;-1042728642,65965;759559085,874842;-192985593,104627;-102779572,719453;-54553055,0676469;-55424931,8775042;-568528773,679165;-15825905,6005189;-20188740,6686749;-1232372473,40072;-245031142,75099;-646023557,765811;-2230331937,84083;-205664001,092665;-49371089,589995;-307925032,296855;-929826584,60281;-279825422,558746;-2833352549,57261;-20616290200,9004
