"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44"
"Australia";0;24453,2722381477;14283,3131720124;-2286,4919591283;-32110,1865654097;16859,0010058592;66960,2667843694;-2870448,57538487;-77,08998203183;6274,02227745624;265883,385031425;26278,0117868576;37820,8779603261;1928,82357841214;17345,8840511655;71236,9747575851;109169,317985244;933,997344039766;324,093990174093;3574,57628061246;-386764,078475872;-758665,585676885;36453,6087298787;94502,4077682034;-889247,879112599;-317972,159787937;252,230965876075;805,257664497588;-105,633989573043;10119,1358151999;-47,72171973889;13410,3439036661;11899,4780951226;3877,13272328068;2137,11187261581;-175,297336508961;-7187,27073988262;2123,94013609901;1181,51868562737;52579,4326865404;-18036,6886727328;-541257,439804556;434906,227345554;-5015198,04411096
"Austria";-24453,2722381477;0;11576,9076895697;-21243,1325521309;-35089,4524559844;-28091,3154328701;-30439,2872648648;-196980,403488686;-1179,08895354719;-1371,20353704086;407377,555962441;-5496,36910252119;-11633,8535934626;-1417,62665104741;-1857,25299785999;-55130,8096434778;-47370,5222608698;-9783,90741976363;-14602,7976942493;-43816,5667956015;-18038,9228496196;-70293,3737504197;6085,52470342227;-34311,1279939496;-18965,7296733527;-20598,0091559941;-1898,07315430187;-1108,52729815807;-2975,93060762959;-19296,0414565975;-792,589114681113;23978,5534343456;24653,3124276515;-54013,0818539697;-671,02292259539;-48847,6942224806;-74221,4555250408;11484,1850009646;-19716,6061752251;-36,5457920870322;-46395,9112232157;-4408,20563525049;-112632,915505096;-978105,229782991
"Belgium";-14283,3131720124;-11576,9076895697;0;-915,208363024378;-50825,7447082096;19537,1893629188;31630,0799718304;-378210,084017058;-1008,82921651623;23825,416996528;-136636,947467376;17882,6613316113;33891,9936585555;-2246,12325646761;9453,14114215714;-72117,6343744805;-74099,1452354001;-11246,6709208709;734,772518648354;-8742,05663238902;-70275,841305937;-323593,353752983;112050,530148739;-67687,2681927153;48338,4031605768;-5678,06855938183;-9421,92208558119;-67507,0639332509;-2179,58753344059;-12999,3688319753;-461,122792937246;429366,015714573;76197,9212166409;-30887,3312569934;4094,28220510724;-14026,5557268261;7690,98457184582;943,381201226821;1193,01650758687;29033,8619282859;-61266,0472310862;-8502,26726285855;68624,7140386541;-2924017,08358438
"Bulgaria";2286,4919591283;21243,1325521309;915,20836302438;0;3318,74897687499;6557,06965136211;10296,4115409408;-32748,7065086222;4297,85207013097;10800,938330815;89572,6570617602;5217,75826233917;43812,2830127634;279,685848851205;3083,00271805701;29617,087896147;13326,2527202591;51201,9570154315;661,831236010055;11059,406897791;-3221,59573788467;-12203,1412969592;4483,66576312298;67971,6622795013;3276,26735802431;3425,70862042644;1294,10395867675;346,693059992488;49,173486583304;1817,25514411008;1199,13394480151;17388,6236969623;1472,35027869754;6822,00861924383;20260,1832744323;15942,4725262617;94343,8306292968;5253,8863462625;3253,58356364167;5070,41472042001;5464,13314308976;1016,79696849517;10424,3919606865;-133633,447057638
"Brazil";32110,1865654097;35089,4524559844;50825,7447082096;-3318,74897687499;0;11993,2308540558;64982,3767811883;-599928,383949518;-1808,0235415499;8991,32303803897;391406,057828921;18298,8046691002;126379,43520278;416,497266642898;20019,7747511465;145359,46776622;83003,7386177025;5866,53290179056;1604,22948483868;7025,14928944377;-140149,55134887;-330311,362107737;17970,5786963225;147784,194918875;96226,9682131164;234171,317868526;1607,14698496787;-1876,19835086977;118,973990324981;46670,0538891252;421,428408695887;68329,1270740746;48957,84154322;12269,0775117746;24033,8081544585;3162,16633356333;63131,9927618321;1537,03552600458;7426,10041814772;49810,2277659101;21330,9641158902;48149,4718110235;533372,404258504;-4424294,74779829
"Canada";-16859,0010058592;28091,3154328701;-19537,1893629188;-6557,06965136211;-11993,2308540558;0;86636,8766204898;-1719532,35720572;55,7995478781443;3195,40777183392;251448,034362551;24524,5944029638;10847,9736573179;-184,014108425595;13482,8521516371;-10840,5821263681;-44524,4051496031;-2468,81013527049;-3258,29016278656;-12544,255399612;-137410,42068806;-461053,454089514;30869,8202963322;64373,9012159719;13781,2104112965;28209,4508929884;1216,80647928796;-1416,73281630868;-669,757349333004;132798,337174716;-1810,42168404286;-33370,3815765212;21463,6639371131;-295,527745084022;-867,698765714269;-1759,50766767102;-31624,2825030249;2818,73555089746;2403,82945403384;31981,269192999;-9909,04860228273;-26363,9937900501;-1588790,43159652;-3854464,58076777
"Switzerland";-66960,2667843694;30439,2872648648;-31630,0799718304;-10296,4115409408;-64982,3767811883;-86636,8766204898;0;-364520,633204386;-1888,47691343728;3205,69607909556;330551,240760026;-11435,1624829637;-53144,8331350115;-1709,65870901591;-1653,22087309064;-54587,8886224565;-56423,6480157116;-27129,3781772535;-4904,46022149739;-8666,00366672264;-21655,0982142213;-196700,622885114;232332,70857253;58894,7643531432;-118063,505661805;-61597,4009869461;-2423,00329514043;-2354,08077490876;-766,859263550878;-25811,9589970097;-989,886111086652;16780,2592764475;-23554,0467912378;-24302,1021372142;-11573,4968010232;-18141,317686065;-29544,3344264796;2652,84116732727;-479,888925350779;12767,6599947534;-39394,0516394966;-31225,4005961762;-292570,957582232;-1976497,29625451
"China, People's Republic of";2870448,57538487;196980,403488686;378210,084017058;32748,7065086222;599928,383949518;1719532,35720572;364520,633204385;0;9836,01611302615;116568,750362907;3921562,9813113;239277,642683164;695230,142534643;19068,7293643382;218287,706678403;1383806,85343981;1588426,72366633;92910,5232389479;35790,0914173618;68219,2349278834;-205155,264570726;-2216050,71641902;148311,424400269;1051823,52470999;7786498,36856637;4587085,80927953;23426,8574801843;12871,671234439;20623,5157588829;680723,20109941;17208,3005149469;590399,471151166;192351,570279704;252047,148328135;80233,3206822608;43087,5244790244;3765032,05222137;77060,7009346696;36361,3961430189;316035,410739671;398951,000490184;1859462,55468553;10079539,0849077;-10174599,956159
"Cyprus";77,08998203183;1179,08895354719;1008,82921651623;-4297,85207013097;1808,0235415499;-55,7995478781444;1888,47691343728;-9836,01611302615;0;664,079814739395;17142,8971299217;-946,74109385066;4652,47488936425;-2681,99270214981;469,192365581795;7111,71022078131;9928,34319387509;10195,0871009477;123,224366998523;-1456,13340470151;-819,188064870835;-7193,8887982376;1684,08161956365;8539,24824175413;1135,93668077402;2533,29964952938;-88,0536923201128;-1404,48644172821;1085,22077935309;65,805666909986;-25193,7776561655;142,64025943669;2111,3485023996;-401,036866162092;431,495387908084;-2642,68811621612;2684,25486441117;232,76906143511;72,0161001098136;-63,9935411345493;5241,30838700093;99,9458193439035;-3047,42956852603;-67481,1912501647
"Czech Republic";-6274,02227745624;1371,20353704086;-23825,416996528;-10800,938330815;-8991,32303803897;-3195,40777183392;-3205,69607909555;-116568,750362907;-664,079814739395;0;118776,251890003;-2754,52079681042;-11967,1090264915;-2807,78283304497;-3938,76347150671;-28476,9227475001;-50986,6303994554;-3356,77534554174;-4857,27017532641;-12299,2725003465;-8427,42840435512;-39703,0251576155;6964,79861179518;21089,9632886915;27355,2454231706;35294,3332289136;-5904,19412393761;916,729194048147;-3298,92306548663;-5559,88725672547;-181,016073659761;14891,8561560599;79507,7521279665;-37891,1627546086;-4264,60303049247;-19355,2763330041;-8560,01385764516;-43885,6988363586;1255,97287509684;-8230,36591796191;-34171,3653702076;8683,77055525272;-20329,9395251199;-512777,606347289
