"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44"
"Australia";0;33989,7359960067;17003,6632678992;-3037,66054430671;-42532,1916861047;-11323,7995600474;56647,0162699774;-2102499,97384405;-339,816718540402;664,575416456;251091,249878482;23403,1768261705;12494,0723444902;73,363368193567;4974,74332843719;112392,929451701;110448,900768095;-385,067061446836;166,532359847297;4080,57570208683;-360341,203733014;-595220,552113032;42762,5584369451;90348,4919248925;-538978,276752383;-266111,535873872;-176,543593074351;353,427363480062;-197,173173135828;-20356,6187340097;-97,3443849398302;6629,14594836443;12318,6761148626;7776,68554564795;1206,86692413377;-1838,86309407237;-11590,754870894;-223,750572012278;1444,54329887346;60963,7975764879;-14068,8283792619;-112777,715000307;337029,298401908;-4084700,6064108
"Austria";-33989,7359960067;0;15220,9789822221;-21900,6587381527;-21313,0667077294;-46755,5518088734;-66762,485022118;-227518,269947932;941,101135296048;-23844,3843521591;564736,151908801;-12725,1968447224;-54810,682441526;-7645,24821941142;8282,00465027298;-20837,2852651603;-102711,02744491;-17568,7907605711;-24781,5339495631;-77336,1381145305;-22509,7156401213;-98979,828896436;11133,1132548354;-55158,3179125117;-6847,26599946356;2663,05337698552;-6363,90957319499;-1737,7369325122;-4501,41551606127;-15218,1427973739;-367,057546213491;56036,8079206735;-4081,1016065617;-25737,0474196435;-10590,6139300821;-74341,6748422247;-33761,4737117214;-23568,2863177333;-32103,789043696;-9588,56584255914;-27216,4145338316;-6180,39488580096;-152678,621773939;-822624,791465473
"Belgium";-17003,6632678992;-15220,9789822221;0;-1578,90322827319;-120036,311936189;-9601,37382150839;-10202,1392768777;-644470,242552885;-3409,23517043877;-11431,4304926902;-207605,336976805;-41189,2231925349;-139177,077852037;-3524,43782594952;-3264,84633063215;-390872,547656915;-155907,606469712;-42950,8022719897;-4580,0991112048;-12849,5922227056;-144108,935559558;-437985,255230643;146353,84302909;-236300,652742227;93176,7983003422;-7,51228247157269;-6171,03733986324;-119341,732916767;-3766,87725634371;-12452,7351785678;-1038,05564542411;412268,60570187;34744,7912572431;-51494,3283458887;-26555,2407225272;-25057,5999047052;-49240,051689741;-8626,14536104587;-5285,89021803534;9122,93343800155;-69646,1258987978;-5422,62300475566;-65674,3955638661;-3568567,33136627
"Bulgaria";3037,66054430671;21900,6587381527;1578,90322827319;0;-14459,199993262;3835,4785374127;8236,46199451718;-39366,5383974585;1277,78627229215;8092,84376763218;90603,2441675123;3364,74047721561;21859,4031566461;221,936665716579;2108,23710496651;34574,7176250683;23064,1162708234;36292,5855872271;2329,13193764809;9023,5778272713;-7248,09571546016;-14950,9591608639;2155,15657277542;67672,5882949491;2435,09188770092;4431,59526559067;305,975316364488;219,761502594878;296,168147866;812,307471183076;376,905106024854;9592,14763520752;907,315026419861;8978,32678327535;1361,64426324401;1970,40943931209;52510,0473639866;2485,23557660272;3632,43860426721;7875,68783420825;33595,768526115;1787,9123123121;18928,8769572105;-79383,4873240595
"Brazil";42532,1916861047;21313,0667077294;120036,311936189;14459,199993262;0;81466,2804353445;67393,9781016217;1982,53885968367;-1801,1687296107;13052,2715984489;545433,220806195;27764,5821950695;214214,339492562;1100,79973015655;27213,4745819207;293887,33123445;240985,420973942;21098,1514066135;12333,6754198316;613,234454748414;-49990,7786332595;-130162,0599545;28555,6268678168;271057,274731513;303588,675723755;149828,082915389;4501,02496310458;2286,87581417788;959,879806489214;-25458,2489164105;652,76219424644;417162,744886022;54487,4782271482;22433,6671124499;62108,2533678991;31706,7738239285;225932,256432538;1449,88167472545;15950,2623183555;64797,3653071018;22453,6963238554;71779,9493784673;814691,3598282;-2470677,30576857
"Canada";11323,7995600474;46755,5518088734;9601,37382150839;-3835,4785374127;-81466,2804353445;0;37177,2495205247;-2307137,43837695;-248,842654787176;-3001,77660175647;194215,153787365;29513,2989014536;7587,08292710212;-679,714577356109;18868,9994534641;68019,5686055968;74251,4385218797;-907,734301747212;-659,125720525271;1137,40416252337;-170110,368372009;-576730,041865277;44362,9073120537;100629,859131166;77108,3476952072;61625,5922956152;9543,10667946836;1182,89311640379;-1108,49199272266;130657,871032025;607,420703450653;11323,4545397922;279428,657104759;-2744,40617595943;-65,4687726151315;-7639,39960702848;-13468,2527244613;1510,98500470157;170,284650634297;62642,7497271226;-4049,5501882114;33607,5496730524;-3973109,69085184;-3989481,80795725
"Switzerland";-56647,0162699774;66762,485022118;10202,1392768777;-8236,46199451718;-67393,9781016217;-37177,2495205248;0;-338619,350515647;-2312,84036552475;-13765,485799331;399721,129381492;-7722,84839990234;-37117,2000640082;-1006,11865601024;15315,3187331443;-66469,2736772954;97401,0643191369;-30413,4143878226;-5859,67903419516;-13778,9052652502;-23427,6694289455;-165468,600663966;127054,269364645;108959,127011771;-79380,9771637732;-25210,4977053171;-2566,93583011166;4577,48427994733;-3415,73215438422;-42103,5426810033;-1501,7019433686;73429,8821866841;-5210,39739220975;-25798,2077562221;-16815,1036489971;-23757,1961315362;4546,75126392268;-3657,17771746042;-3997,35116642541;-5673,67795090759;-91386,4905536611;-36899,5266045745;-239501,339262482;-1724413,36992974
"China, People's Republic of";2102499,97384405;227518,269947932;644470,242552885;39366,5383974585;-1982,53885968367;2307137,43837695;338619,350515647;0;21637,6861243036;152965,760104455;4199883,48809195;298885,401040457;1063451,83646516;23704,0915943633;286199,60369549;2059117,02278884;2788105,91891593;198606,797396243;65997,2375947859;103894,5891331;6110,31276883534;-668124,278058278;225533,505193332;1889607,85036246;15424756,0060618;5699045,24863144;25589,6367122601;19768,4029424343;17203,0459727771;810318,833203291;8299,66986440792;891797,879691309;262863,296774665;317277,061054995;84508,5880058602;111633,331278869;3093292,8054385;35680,2606777034;27747,3318860919;384206,905861852;402197,237307688;2555679,58330236;17704819,5108588;3828206,18988032
"Cyprus";339,816718540402;-941,101135296048;3409,23517043877;-1277,78627229215;1801,1687296107;248,842654787176;2312,84036552475;-21637,6861243036;0;-1328,47562579872;20042,5086201912;716,669893966528;5792,88853520537;-3163,51726354714;2055,23458818797;8262,04532092037;12683,9863637734;15136,8735250812;791,52295702961;-2092,9949965436;-3405,77754719837;-14687,3691495632;1451,85891128435;22351,6568562267;6414,4402079304;8085,47133293705;60,2096721756342;61,161642835764;-275,581171357963;89,976431232666;-237,973826024625;-1026,43406109918;1498,00230737806;-285,820952317449;304,462212660646;-2716,7984434669;5789,3947580579;332,68809219082;-7,73066978443671;1061,7346065946;7704,69246951745;175,321387978554;-51216,23535153;-136612,347410528
"Czech Republic";-664,575416456;23844,3843521591;11431,4304926902;-8092,84376763218;-13052,2715984489;3001,77660175647;13765,485799331;-152965,760104455;1328,47562579872;0;216213,434262382;-1172,12158792913;-9829,48942328338;-2004,84703603311;821,671215859616;-3926,76790146457;-18628,6934176357;-3300,10614912846;-9718,37998610046;-3664,45660732334;-15163,271105881;-44343,5815318783;6421,95300138697;39719,2401223834;55820,1371231157;12572,4143573514;-5370,10701920988;532,183537759269;-3469,48011895499;-4879,20802039357;190,546196500175;46883,4798828419;32212,7181037434;-29713,3560143894;-5473,45912903638;-24083,3911811699;38419,8548182723;-61092,3435136803;987,192906557695;-6579,18669791607;-11184,2269150343;12872,3485834042;-15951,2303110542;-540356,087641228
