"";"";"ExpoTTotalPais";"ExpoMTotalPais";"ImpoTTotalPais";"ImpoMTotalPais";"TransfTotalPais";"ProdutoTotalTPais";"ProdutoTotalMPais";"FatorDINN";"FatorDemanda";"PIBTPais";"PIBMPais";"TrabalhadoresPais";"RemuneracaoTPais";"RemuneracaoMPais";"RemuneracaoRealPais";"JornadaTotalPais";"AssalariadosPais";"SalarioTPais";"SalarioMPais";"SalarioRealPais";"LucroMPais";"CapitalMPais";"ConsumoIntermediarioPPais";"COXK";"COXT";"COIK";"COIT"
"Austrália";0;2664132128,04696;69596,5839248764;11204473931,0331;64747,5216373091;9200737547,40496;15801289440,2655;357600,20209;44187,0260361001;40193,6219384376;8006477300;161837,5112;4232827,86;3835233665,08927;95418,9615199022;164624,558491957;6634977300;3547411,78;3311889674,5827;82398,3884720651;142209,012219755;58232,6381100978;320930,635773652;195762,69089;46379,9740789702;340596946,327704;192992,720584165;12511173829,5696
"Áustria";0;2528083130,6971;64936,9731872775;5806717053,38373;65296,5628051675;3229661267,91158;8025298400,74062;181174,82416;44295,8807215581;34032,0217310955;3464642000;87039,32821;2034317;2077333962,13807;61040,5687488141;64917,6498581275;2576222000;1628534;1741676907,38119;51177,5915384363;54537,6669991455;19926,7747811859;201548,902460894;94135,49595;13177,4428608983;123636625,0745;119914,296656617;7391648953,24553
"Bélgica";0;4584393723,74766;128193,651247143;11267375481,3975;120750,525505524;7696664047,8406;9430913610,93482;265940,36816;35462,5124278267;45715,3314845036;2734401947,43295;101308,74826;1915316;3091181980,76842;67618,0589834781;75106,3236859763;2425078274,4919;1688161;2812002736,4981;61511,1527180177;68542,2178544828;23197,7533465219;215506,06657572;164631,6199;21258,2459461514;103217082,237162;110572,716079977;8327594601,40337
"Bulgária";0;1237290180,11904;5157,50083474701;722991053,198435;6596,14370203843;-710228477,989908;5336146541,996;18311,25611;291413,462295569;171716,899042922;3325186964,26779;7378,1468;2109018,28587248;632344427,472778;3682,48221926439;280,298275987182;2269850437,19768;1360414,16861363;486893433,823068;2835,44273473845;203,194994117158;3060,82193073561;14509,3009708655;10933,10931;1589,34520595599;170745571,411234;121281,437821482;7877110691,68345
"Brasil";0;14599515215,4062;60310,0442822936;9037046845,27043;59196,84729389;-5410861624,28584;136469843049,776;548785,90333;248675,926662266;134276,922344378;86351459132,1141;248866,6103;41562368,4308785;15276042866,4731;113765,214452077;174211,215741633;71889488762,3172;35087333,0436227;14545390506,1207;108323,829978887;166326,979522989;104720,935197923;480588,818063011;299919,29303;49044,7828783924;4613590282,73401;208560,744288599;25803995282,0561
"Canadá";0;8901355772,23701;275572,215277132;21461966499,0148;220749,840527081;20026892006,9115;26681769747,9091;723346,11996;36886,5872251925;34388,0584343213;11634889935,7461;332330,11495;6258292,91844535;6242685821,16882;181536,443329358;254974,871384807;10278779218,957;5585130,71909982;5927501911,00092;172370,938659477;242349,486025218;132643,896670642;714856,543397265;391016,00501;74045,9099215523;406339878,548084;344232,646390504;9570783432,39579
"China";0;129123248652,314;253597,185066268;32167003999,4336;240269,027947404;-95141077571,0286;1802789546244,07;2692527,24027;669552,946124805;748662,829245225;966369722461,129;931851,4551;568590784,317767;365480497969,458;488177,699883834;3768299,83395033;0;0;365480497969,458;488177,699883834;3768299,83395033;433852,964166166;1618495,1342281;1760675,78517;190723,406009462;30743981887,93;186045,016679016;16145810052,9401
"Chipre";0;154262208,851853;1479,93374957163;559276324,428905;3564,61002658788;121101214,44519;585935181,874513;6287,41984;93191,6742933002;50722,5435143895;260436000;3112,68745;124700;105886785,278053;2087,5685236095;1812,49236426907;162351000;91600;76095474,671131;1500,22986622395;1268,65029342522;960,847096390496;5578,10047984806;3174,73239;523,373011137268;15920035,0950958;125213,299146582;15217261088,9055
"Tchéquia";0;3192028561,4925;33026,9831181277;3214699236,46181;34556,8009899203;-185675836,655824;11156329229,8732;101639,00335;109764,252522781;74012,448110806;5756066000;33531,31559;2955017;1357077525,44734;18335,8010724848;468320,253640578;4833642000;2579878;1156682757,97901;15628,2191375065;400739,62459601;11899,4672675152;93470,9309263987;68107,68776;8104,09442182165;271425889,653291;105673,490500538;7303565469,90824
"Alemanha";0;19516538870,6916;583818,982701453;57407393110,3855;469877,19080249;53408632733,5801;67466320352,5201;1831708,02592;36832,4642343772;38166,567876558;28206607677,6067;821982,74847;19001000;23094383785,7977;605094,59117445;664070,791019497;24545994386,0431;17324000;20746068592,3685;543566,522917845;596462,240755777;153442,80457555;1397355,74656035;1009725,27745;151844,213221736;1267781490,40761;111631,329164991;10655741400,4117
"Dinamarca";0;2128331661,04929;61941,1315039841;4748850370,69075;41624,5015663727;5387448717,14627;5451388229,62481;152824,16331;35670,9836425985;35298,7527348169;2346797000;73969,55059;1469358;1716815268,29651;48636,7119312726;352898,567454173;2158429000;1373642;1603557569,51541;45428,165169523;328518,577958543;19062,7153087274;134651,838349949;78854,61272;11113,1032225296;71712050,5638983;99433,7060968971;10268272481,4741
"Espanha";0;5992843385,45544;125964,799709571;18627180361,184;153123,188115362;8935625129,01917;34327562095,0056;673255,68032;50987,408050816;40001,3271952349;14698135100;276719,69858;8525900;7020130577,94065;175497,441464315;168770,861029844;12177024800;7195900;6147029245,35652;153670,632360638;147190,005036312;82375,357075685;475974,254549206;396535,98174;44175,2709626107;539208132,446265;124379,49328082;13791406132,1697
"Estônia";0;571944067,872234;3375,85293068186;777631410,289292;3975,00384902822;124088737,722903;1414373675,11942;8127,28462;174027,826174423;106110,205008497;654892049,058957;2869,83157;340582,887083949;170060974,981483;1602,68255977703;1152,35345313721;587041309,265297;314332,395730674;155766764,159471;1467,97156924725;1047,1314094873;946,718640222968;5183,72851238188;5257,45305;665,360665380775;30577244,028047;108098,273790067;19068332961,5956
"Finlândia";0;1670015836,31568;45492,5943898338;3131697680,25759;29413,8363599342;3651454370,83024;5892143385,67681;145242,14235;40567,725663796;29035,4232967579;2341400000;64680,10591;1336300;1193602408,88866;41108,4900223219;41332,7669610727;1853400000;1156300;1009454153,15922;34766,2971137718;35393,0752921641;18093,3578776781;123311,670036006;80562,03644;12133,61615169;88731006,3759814;115936,698001938;7744728480,90551
"França";0;9651795453,41246;313396,215138634;32889503670,2575;287559,908567429;26756365206,4386;41364908395,9856;1240642,84058;33341,5121927012;34632,3863848136;17215902242,6012;536399,74091;11695773,817658;11931683434,2589;344523,859883099;365739,285564903;15168847282,2194;10393599,8929821;10889252617,0736;314423,975757228;333847,222706212;150992,827746901;935235,949771885;704243,09967;92190,7351170477;550575481,130825;129181,528414423;10403166098,0349
"Reino Unido";0;8356693756,93774;282953,924292847;38023586829,5623;318175,253693412;24870086046,9564;42019496348,2487;1266810,54811;33169,5188447389;32843,5935623821;20707221502,5006;597187,24966;13039223,8658121;13864843063,7538;422147,565473288;256265,811544178;17867544709,3833;11251094,9559274;12107012862,6186;368626,314889171;224971,90614323;134478,082626712;756069,499059725;669623,29845;67727,6702838719;623331903,671965;144767,125974947;9706038888,41457
"Grécia";0;830863432,015213;15658,1164320626;4000685575,19741;32024,2601686109;940910441,248794;8557859257,67878;105553,45999;81076,0657063211;48033,2178821461;4458094735;50718,97498;2172025;1336195190,41821;27818,1485507943;23141,8827077381;2486029675;1239808;896472872,216661;18663,6022266141;15342,436546634;19235,0224392057;95093,8923132474;54834,48501;9415,63261921977;187131487,439653;111072,210881506;10771216534,25
