"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41"
"Austrália";0;16308,1362165249;27005,6838453812;-2234,54419899106;-21128,8633481634;17948,8805178727;-1470627,47069886;-277,001221458275;-1868,98006450019;189324,938905911;19023,4417363027;10900,1324182172;-33,3844198976748;12468,4246504492;66778,4976940071;156424,355219894;-230,644817457071;-969,090746763676;-297454,266966636;-390423,628765125;23533,0769215061;50844,1422604293;-473889,136386267;-258278,041686178;-5991,51521861873;221,701604768236;-139,426840698126;-10432,554599953;-180,743981693185;45718,9330785437;-2991,89669369789;-383,074243518245;-8828,62097954234;-13528,8461569221;-692,241287590471;-468,395079923509;56294,8269466492;-21432,2364241547;-120309,102492914;309612,649613028;-2410252,17181449
"Áustria";-16308,1362165249;0;23039,3532170082;-19538,4353980454;-21117,9032820638;-5452,6974785836;-191074,056696181;-1037,7038672087;-66960,5026580827;477650,567851863;4154,66439132689;-19491,6524978085;-937,500525020442;4711,06490051421;58473,0736740605;6495,28185272514;-13189,7659156147;-60497,3340563763;-24874,4967378694;-111181,971018981;10945,672162648;56234,6914497394;9506,03819386804;-24589,0727165537;-3379,97681474008;2269,74609411899;-1663,45845714994;-6017,04680124262;250,701894695033;37126,2468435414;-36191,9402031375;2561,74391947329;-37644,1767823305;-56666,5976790708;-30140,5014700686;-22179,0956694659;8284,29875704669;-44654,1988280166;-1286,18182950006;-27426,8755789408;-1224050,36832686
"Bélgica";-27005,6838453812;-23039,3532170082;0;-10402,0934922803;-66932,4359212601;-21578,5014377784;-403670,634853985;-3402,02487883784;-24628,7140352959;-185107,305625813;-40520,7624517046;-122499,974000084;-3082,03512163005;-12124,7131644012;-117203,280546452;-201526,119317894;-49316,364449931;-21842,9346816926;-97375,0182210294;-499638,273377836;77458,8610022836;-254280,124293729;-3467,41184558772;-34460,1015363361;-6186,16290390499;-105114,313775087;-2542,33343556048;-7604,98266625256;-730,850368845892;349322,072115168;-46169,5024686481;-31569,3355262564;-21891,0927262594;-57417,3643723202;-8836,25682371416;-5647,98173787789;59696,6353497721;-83119,5168599242;-77262,7154723202;-89661,7527350743;-1671973,24007129
"Bulgária";2234,54419899106;19538,4353980454;10402,0934922803;0;-2537,19603818162;4341,03529217797;-5202,26104716977;944,059694773027;5786,51941070283;107621,304497613;5614,30070903101;10928,4364205131;327,298846207013;4488,61115739555;29747,611156865;30125,5641556824;36315,1440866838;2312,17884623277;-241,517315787655;-13687,3146588398;1120,81993182999;56298,4201199166;6207,59713357016;8872,79007622636;-536,164722041235;313,984828739261;817,070995904698;1362,36847911949;402,46574207196;14896,3779127295;4778,86659244582;1012,62441781311;-4124,21485113361;42837,7878888023;1334,96143050197;1117,1337807067;5880,30105643114;21914,639369511;1249,16782504487;24114,485490941;-19297,3637482123
"Brasil";21128,8633481634;21117,9032820638;66932,4359212601;2537,19603818162;0;110896,731667952;-330508,218031464;1882,51082266081;8868,51165695157;415768,277904513;38095,003002838;141928,255673035;277,696479678143;23273,0623325304;222025,629868665;147437,210099461;9590,88021836624;13782,4687222787;-39404,9614972604;-131258,503229145;12169,2509185338;244709,562676484;222837,250993109;75725,4609339321;17,2696026354375;1207,98869319808;483,73310663782;3935,24969340162;386,135072524526;179963,074484996;25455,1809361754;53572,524935311;1886,6246464924;9345,95164891543;839,031706924019;4999,42684582371;58172,1148574873;6527,49206109006;17984,4134379646;669579,144554176;-3758758,11896418
"Canadá";-17948,8805178727;5452,6974785836;21578,5014377784;-4341,03529217797;-110896,731667952;0;-1639785,79776311;-626,738681866825;-4176,35490963741;-16888,4259386946;15680,990409567;-8348,46634615941;-1118,62772632887;11496,1818367441;79214,261937401;65880,9327635926;-1402,15335543151;-2724,95945904061;-102062,351773998;-477426,231699507;17586,2671747887;22979,1371901924;-206398,153205639;-91555,2034802144;-3167,93753898928;3344,52018865656;-981,958204575622;-22910,0690657947;1074,68326589274;15995,0606181803;-13116,4571224113;-2326,75499638967;-8521,24473650975;-39411,1589431036;-1860,52653073715;-789,088672629032;43895,8792062186;-25662,3154153914;10236,0312368492;-2094175,29894823;-2474678,68082966
"China";1470627,47069886;191074,056696181;403670,634853985;5202,26104716977;330508,218031464;1639785,79776311;0;16537,794561008;102584,96111422;3349436,24925143;264673,092242252;566820,011302422;5321,38431907773;132587,229307232;1553849,53131184;2353495,46343723;108607,334978283;36648,1956438547;390181,125765158;81262,9152092549;109443,872844166;1393131,91486577;15299624,024423;3470235,23951841;2783,43987659821;7453,5205413869;895,217405017296;173323,396107165;9703,4890749508;940894,151710801;129946,255673538;65193,5928821788;23367,9081500211;728687,226956682;27677,7350583568;12208,4302947883;328682,003175892;208835,762852604;1988244,06566628;15039046,7112112;6032235,87645088
"Chipre";277,001221458275;1037,7038672087;3402,02487883784;-944,059694773028;-1882,51082266081;626,738681866825;-16537,794561008;0;-209,184216564053;15205,8057062663;1511,90212698302;4459,11504788998;-11,4848822318696;928,200645150274;8386,42944093157;20593,0123009828;4765,47953118667;-73,4140504210333;-2270,44218185329;-16021,2197922398;1366,20495450424;19488,7002251254;9559,00371560692;833,557314748372;-70,3911125905364;68,3424593881524;-21,366980863399;-419,439765039824;41,1648565047021;3240,62737494623;-52,7365708930157;319,106350242353;-8787,17988797965;-3883,61517767092;-130,767905175627;92,3029491218187;2673,1368477066;-209,676391170444;1926,84679056418;7907,96297067017;-82052,4717419313
"Tchéquia";1868,98006450019;66960,5026580827;24628,7140352959;-5786,51941070283;-8868,51165695157;4176,35490963741;-102584,96111422;209,184216564053;0;357946,489135903;10443,118921558;15084,0035987882;-391,297829807826;13004,3622933368;64005,5577642234;48795,4973310513;-295,334175427514;-9619,61653697802;-6436,30276841811;-84012,7160865099;8511,0980128111;73233,0516463595;17622,327198197;6465,94210137349;-1105,49777372006;1392,7994571576;-590,044004097945;489,358310033481;-34,8202308698727;34478,4859196477;-11595,9411123964;164,853544528201;-3227,60565519544;-16061,7750072282;-19798,8026856256;2969,75270681643;14936,6964271832;-8018,49314400742;5151,37848227032;27003,8448762732;-395389,918646983
"Alemanha";-189324,938905911;-477650,567851863;185107,305625813;-107621,304497613;-415768,277904513;16888,4259386946;-3349436,24925143;-15205,8057062663;-357946,489135903;0;-85967,8956409007;-265055,078731281;-20631,8702010198;-13738,7019894663;-72327,2715035141;-703984,480268806;-178603,127881147;-189725,377710877;-527173,474686013;-2014781,32664274;210369,328242282;-132980,376333115;212173,424868409;-255773,811468601;-61119,7614250367;-12152,898452582;-27955,0813036724;-189307,565831155;-7942,19456693551;-108386,948209719;-548154,15113649;-89229,9383048723;-272826,28859263;-568065,623350874;-85481,7597274116;-42063,0991767697;-167735,059742425;-622159,451880408;-105297,332605658;-1088652,05188267;-13732470,9105218
"Dinamarca";-19023,4417363027;-4154,66439132689;40520,7624517046;-5614,30070903101;-38095,003002838;-15680,990409567;-264673,092242252;-1511,90212698302;-10443,118921558;85967,8956409008;0;-25347,2557625967;-7111,74662918507;9836,90974885575;11556,9567278626;-42128,3110455184;-14681,2389123741;-6775,262515795;-50620,0931228195;-133035,211534697;19610,0777512976;17332,3279851102;-48226,1475961952;-22347,9940572381;-18229,6541206871;1566,12883864385;-9450,93590576083;-5645,54163638643;-744,369586597924;45437,7376043343;-52439,1501151989;-2349,05639692173;-7193,40461473176;-40799,8967940124;-3530,31480957961;-904,18980622822;-5450,64369587594;-14385,7243818967;-3104,78204966437;-63651,0937852629;-2019854,77607074
"Espanha";-10900,1324182172;19491,6524978085;122499,974000084;-10928,4364205131;-141928,255673035;8348,46634615942;-566820,011302422;-4459,11504788998;-15084,0035987882;265055,078731281;25347,2557625967;0;-1073,74935790785;29472,7806740137;214147,192663596;80342,3907572319;-40934,3732439617;-7998,19821274728;-74038,8866869475;-287705,605658367;38368,9689218665;184421,37435441;72505,120846776;-10212,6669691799;-2115,12084053858;5826,24492220745;-1073,506236083;-5697,11016336685;-2398,34449172644;46284,7838511677;-31180,2810898389;-277763,784992125;-15382,6255769852;-33085,0362059779;-5088,84466144574;-8454,19635159299;55945,6065831066;-55720,4126677406;169,177511446149;10673,767385906;-4421250,28601457
"Estônia";33,3844198976748;937,500525020442;3082,03512163005;-327,298846207013;-277,696479678143;1118,62772632887;-5321,38431907773;11,4848822318696;391,297829807826;20631,8702010198;7111,74662918507;1073,74935790785;0;54232,145701188;3668,82279298306;9703,61933203017;94,9794131604632;-47,6012982034076;-604,020887284095;-5471,80707012979;795,338115670893;5850,53130365706;2581,84102793623;1863,0105268406;-1571,13118023627;126,700094338168;394,73515275009;140,572893376568;-20,106473029895;7080,43546885019;-40,6035679613931;283,086508430238;2,18180099722642;-66,3289390903774;73,8774117582746;43,8469319850634;24169,5356672263;689,293183713191;301,043165095107;3305,07868138258;-51769,3005450168
