"";"";"ExpoTTotalPais";"ExpoMTotalPais";"ImpoTTotalPais";"ImpoMTotalPais";"TransfTotalPais";"ProdutoTotalTPais";"ProdutoTotalMPais";"FatorDINN";"FatorDemanda";"PIBTPais";"PIBMPais";"TrabalhadoresPais";"RemuneracaoTPais";"RemuneracaoMPais";"RemuneracaoRealPais";"JornadaTotalPais";"AssalariadosPais";"SalarioTPais";"SalarioMPais";"SalarioRealPais";"LucroMPais";"CapitalMPais";"ConsumoIntermediarioPPais";"COXK";"COXT";"COIK";"COIT"
"Austrália";0;2946200544,95486;128785,819280889;17111767842,0667;133122,362747945;13719283771,2826;19465942541,2787;719357,97416;27060,1609219794;29490,2701267775;8582071244,64583;323748,93405;4590617,10708138;5441104407,90845;184505,071825974;185592,226954472;7261016861,51;3902981,49647719;4753803371,02562;161199,044654024;160171,671515716;124234,101524026;567965,391686088;395609,04011;100303,144891328;318805811,359773;257590,398033877;14961656333,9045
"Áustria";0;2928509210,20767;115895,282650157;7076529290,27836;113130,153703693;4432585772,76465;8292904146,74755;296032,29;28013,5121298678;24981,3734615449;3391947000;134389,02372;1995514;2258104418,54815;90391,5239898306;66985,7107785845;2535399000;1600394;1892330887,21527;75749,6736569839;55505,4608528491;32384,0553501694;283508,719196702;161643,26628;20779,3433737543;119037438,510024;169673,808194537;7639217424,92673
"Bélgica";0;5042138357,50718;201286,551339145;13771624844,1391;188037,391515471;10092987580,3723;9654437893,34225;400156,1737;24126,6748531543;38186,6394535553;2638288062,32277;154629,18341;1880881;3851334668,45563;100855,553763505;72790,10919368;2342693406,32534;1665334;3511919382,36635;91967,2281358441;66248,5875414984;36815,5527364949;330813,237852467;245526,99029;33513,0306934417;95377795,7172523;157423,706472076;11833394193,9355
"Bulgária";0;1222033934,94352;9022,76892445278;919289177,458547;13473,7438753419;-760804686,908167;5968197723,90132;38349,3287;155627,175917197;89715,7360292343;3489347351,61952;13495,96244;2152024,96247743;586837255,243233;6541,07385411194;310,336298903935;2345666917,28336;1401952,69798218;433786716,268482;4835,12408711812;205,626134677311;5320,30631588806;29544,8547417313;24853,36626;3266,96659669791;185132350,883907;168371,78328177;8392791001,79311
"Brasil";0;18331496053,3939;120782,230836566;8709062498,01417;79201,9910931211;-5343316756,82818;155163181205,654;941322,92538;164835,230314843;96211,5884700876;96104880362,2399;406633,43741;47444472,3166219;17323892037,4405;180060,347333591;199933,24251553;79440100448,2727;39839367,924775;16572848577,697;172254,183110691;191800,210592543;174163,770366409;743593,239978824;534689,48797;87580,2904310062;4740893932,15142;287017,00994188;25882910164,3652
"Canadá";0;8972950015,89253;372048,320354733;26143085876,1892;309151,234294201;23643017671,5179;29651811155,2169;1119027,33744;26497,8434066243;26732,9770935683;12163899664,5301;524299,2408;6635512,91090384;7455424273,33084;278884,923562237;282879,2035721;10795743082,9366;5928163,57153945;7101718072,59343;265653,841984626;269849,307101306;218217,450757763;1141885,90741713;594728,09664;142661,012654909;404902370,78702;391376,081789113;11433916305,5714
"China";0;240307348637,031;740394,313804742;59388798641,8073;624347,526351661;-168975911841,323;2107220555175,79;5234765,6287;402543,438358118;458867,71388398;1023503051701,24;1588817,4945;566632930,948969;349888509613,241;762504,092196181;5011938,87690081;0;0;349888509613,241;762504,092196181;5011938,87690081;796234,323043819;2308211,33611525;3645948,1342;406859,066544051;35603879813,4967;263134,69788642;21371899705,911
"Chipre";0;92007797,9619345;1562,47314126689;477781042,826709;5342,2093854251;-3207986,514999;562816104,635399;10896,08631;51653,0512537211;30239,754985274;275243000;5471,68711;140100;114350820,392802;3781,47311208336;2294,2905925182;174803000;103900;83303284,1525404;2754,76055256092;1688,28378844473;1484,96226791664;9172,76528878272;5424,3992;940,048735112999;17674478,904842;153137,678130397;12115185986,8637
"Tchéquia";0;4178686112,78411;78159,6371355349;4637861670,16665;72379,3457207511;1054038459,71644;11542052260,8002;200431,99131;57585,8783089598;43881,458059237;5618710000;66844,74233;2881355;1606544837,62995;36611,0176982093;591768,003154668;4637931000;2477652;1353669877,43575;30848,3340642051;502686,123546651;23050,1012617908;163703,799818948;133587,24898;16833,2686956126;274766775,741624;161578,990952462;8821580085,51821
"Alemanha";0;23649413503,1435;1005777,87779059;63857707347,3813;758810,514047882;65624265503,0355;69174670367,708;2728074,86537;25356,5879902369;27545,1228997366;26805241151,4865;1206848,24286;18226000;22958577840,0086;833489,758734319;651493,121800972;23123799796,748;16456000;20476687870,2038;743387,057837365;576880,358012049;272079,683715681;1898278,48044914;1521226,62251;222884,362959719;1165497127,28373;158606,001711044;11907695341,0164
"Dinamarca";0;2052886243,47826;99359,3382321323;5375386139,40186;70484,4632727187;6294078781,88661;5517795685,31242;241409,55651;22856,5752121907;24579,2296385321;2255948000;116029,58758;1421626;1855698415,60628;75498,6402298453;367857,462892022;2079670000;1331891;1734089639,54724;70551,0166530509;337744,600332155;29704,8255301547;183637,042819857;125379,96893;17999,4640996138;60073669,495283;140661,633821501;8433138098,68427
"Espanha";0;6470893179,95957;211935,161471519;25226280690,7218;284037,242592422;11335198775,9529;39946589844,2394;1278936,01801;31234,2363352903;28933,3432510492;15853559300;508144,41135;9515200;9015922703,26051;311610,124866354;179020,29576089;13393607500;8165000;7996037144,24086;276360,636061334;158337,652057677;154528,009533646;853894,160676137;770791,60666;76597,335386661;522018655,622806;194350,611573172;15194051312,125
"Estônia";0;590347870,244932;6443,17903681694;857199904,777674;8145,0003175501;91713745,8780748;1500049124,10496;17186,97412;87278,2558251133;63786,3160363581;696057363,171713;6099,82521;358344,225689087;226313712,081728;3547,99784882904;1588,61023904082;630987492,399408;330002,292164139;207295183,765781;3249,83784370966;1450,40552114089;1925,90194117096;12084,4200036363;11087,14891;1179,96098099823;30737846,9340622;140331,292830873;15585174974,6727
"Finlândia";0;1789066953,49832;70343,7745285109;3919819117,63992;53570,1358203582;3856965375,31496;6327689450,96841;227687,71275;27791,0888319045;21453,3511982425;2318400000;99054,74127;1337700;1377846284,4162;64225,2239141579;46443,2765198985;1866100000;1167800;1177594505,73561;54890,9349804553;40193,3937661939;25782,9210458421;176349,274141411;128632,97148;16813,2986739791;82615638,1275662;159532,813992648;9514762567,69307
"França";0;9874592371,37111;463016,076819296;37700806111,2611;459000,606079453;28239454942,9944;42214121489,3454;1890556,21835;22328,9427098804;23966,4596524139;16990101753,6847;826364,59921;11593575,2570916;13017988006,1217;543175,262217363;393899,504757892;14968168564,9036;10299745,6967355;11838237040,0484;493950,179197873;357748,368171806;219066,475182637;1439779,57897409;1064191,61914;130533,960804386;494828844,111849;188460,161067967;12918083272,0853
"Reino Unido";0;7902945458,46992;381821,732447852;44874392940,9334;466346,567988886;28272804908,7284;44760050273,4416;1946805,82368;22991,5329659497;23973,4468400457;20460883411,1362;885555,72017;13188608,9627368;15490697736,778;646160,639316246;283922,274072141;17311401587,9288;11158526,3232491;13267290348,9748;553416,053915656;244999,106053332;173895,914663754;1000433,425755;1061250,10351;82972,6833687981;512874644,441396;189648,914641943;13273991803,3205
