"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41"
"Austrália";0;25919862,1154613;33811996,050263;-3319695,62364846;-33941109,759684;61646609,8653985;-3016329232,56339;-307633,021471338;-21111133,610307;262446527,1803;-500239,296855211;8384703,79123032;-183323,160159877;27669840,2261922;98906587,5712999;284436584,797892;-2812582,3702272;-812906,649197845;-544044663,879659;-1046457746,23284;45723791,862817;66775542,6260293;-583195792,782522;-396815204,381246;-7639673,17502831;391508,81544337;-107120,770668449;-27632909,4875282;-305494,009058062;68355886,5868084;-6154992,54233018;-2239910,21510102;-16317463,5704275;-23343089,6134096;-1236192,09854061;-775951,16504347;84187219,0926227;-52195729,283761;-208178138,953039;430337639,68491;-2309316780,72625
"Áustria";-25919862,1154613;0;26138636,514522;-31042344,017836;-57549165,9726535;-4382236,05979718;-333827275,593958;-1694237,27931685;-120310816,876737;640265167,907237;-16350576,7472938;-28822306,796876;-2280585,69878334;4940025,02374998;87544155,816106;-7368719,60811558;-22931830,1469649;-139556396,083625;-36313125,6272152;-284274614,689935;14912974,597303;44622549,6978915;9764764,86670907;-29425330,8031176;-5881739,91192758;3881887,66487025;-2110428,33289467;-10676887,1444768;-87460,8721973253;62535132,4791772;-103354067,175055;-2639611,06489442;-78870530,048655;-129485421,062374;-51977242,3285635;-32659901,6567295;2452620,73913722;-94412251,6285034;-6189410,2686774;-21664573,9711284;-972374768,03126
"Bélgica";-33811996,050263;-26138636,514522;0;-24596947,0392586;-209147877,496152;-11970509,9598498;-993474592,315614;-5939402,23587052;-56741545,8871464;-233707410,227149;-45255282,7266973;-166884688,685783;-7025209,3225612;-6798065,85591319;-120682344,104492;-285343436,731087;-68104270,0855331;-44989357,7594775;-150082569,718484;-1036256876,35264;137354964,535276;-383425388,288762;34259977,8698105;-47718553,995646;-13485138,2456211;-142608978,212153;-4252171,84242019;-20444509,8590933;-1487655,48327243;472975835,342679;-98031611,3803106;-43377554,0757208;-41482536,914656;-137622077,812659;-14530882,3257328;-8904625,93051432;43938916,9290383;-160214001,272639;-85999539,5257269;-55905629,7224708;-1102848054,24597
"Bulgária";3319695,62364846;31042344,017836;24596947,0392586;0;-16284319,7595315;12902951,2840544;-21110206,3588008;2626437,37663804;18764582,5405;164171458,994265;71091295,8656711;24664190,9031161;684611,476057632;5279969,98969204;49379889,105194;43032704,7739177;68212509,0404396;780625,768692551;2230464,0093821;-6876543,3282941;1990629,33679679;120673305,270533;13285189,050439;8924402,68137271;784332,656843262;330297,863632364;1507600,05408732;1770554,93232498;526581,977991928;24331866,2672601;-3269347,16081523;2658762,44395584;3429147,82182319;13584662,2850065;1345824,67535664;1679266,60799088;9630379,30270878;50586112,6769614;2724768,50932622;51704141,00177;171818141,010088
"Brasil";33941109,759684;57549165,9726534;209147877,496152;16284319,7595315;0;242629690,537938;-515141285,076788;3381606,62853226;13219410,6639001;1071369138,28273;85137758,4802731;366937814,85652;1223685,98193008;58236177,4829965;500884464,954461;357570950,63568;29566151,5768756;33899707,713293;-12537632,8456782;-485341094,45383;23557677,2344082;479002832,955069;611308204,151333;150807287,203063;145529,422763333;2368885,88819397;1228587,17514923;25459795,3819746;1435488,44859432;393219727,89464;41858617,9979148;132044928,074701;8984026,95987316;136251439,35803;2019367,08781317;13455692,5496968;135058881,268316;28055896,7690868;89183072,6561132;1768394153,52494;-2329517219,62787
"Canadá";-61646609,8653985;4382236,05979718;11970509,9598498;-12902951,2840544;-242629690,537938;0;-3218357212,95324;-738247,706306558;-20714207,4667481;27977895,3631315;-9502636,60088654;-2073236,314464;-3338694,70291964;24026171,9326228;197044239,568613;86274190,8513073;-2532594,98658714;-7199915,31169648;-140996193,381031;-1280042717,5349;30617227,403443;22350535,7774678;-210762514,626326;-182354940,427611;-2760947,81682203;3376611,3324461;-1024050,71865753;-119465023,071611;1213482,65176367;13573733,9673018;-20933487,4858911;-6029978,74948272;-20245253,5987743;-69057468,6109831;-4939261,28734669;-1669404,64455449;57835868,445262;-41621952,2488962;-26303436,5461426;-2202600338,7963;-1644006230,91635
"China";3016329232,56339;333827275,593958;993474592,315614;21110206,3588008;515141285,076788;3218357212,95324;0;31341633,0224972;200035361,266382;5899383767,80036;347910286,564497;1204112970,41225;10827346,045447;245982618,744678;2839962632,9866;4516355380,68847;199583233,795157;80913898,2161131;1015576472,41458;-817419678,035671;193088641,723161;2368343209,03542;24825537853,4082;7030838970,00162;6131934,67132007;16395777,4444724;2535888,27564805;458058965,522032;16192998,2241716;1568642305,08413;290289654,640215;105596999,747467;40316321,8614512;942231887,048402;53943383,9999106;32988984,7457616;569073926,127019;492284469,880057;3421144547,04238;31321983802,925;12124771564,3133
"Chipre";307633,021471338;1694237,27931685;5939402,23587052;-2626437,37663804;-3381606,62853226;738247,706306558;-31341633,0224972;0;-805014,034744951;20959796,7448826;1788437,88861632;6567217,68049369;-15732,3469177791;2250471,34726085;13797372,7959502;36988632,0347705;4010263,25468217;-719977,297378178;-2776820,42095708;-51471250,4273235;2052298,85089657;23461829,5291831;11963324,9185873;-325353,106562262;-19794,9221246961;66594,1201830879;-16724,6827035433;-47954,6374252755;124751,665631599;5022464,79839008;-329322,378843507;293979,957303755;-6961152,05422155;-21310889,3242253;-34113,945796614;144444,986622815;3769020,1161557;-54801,0508872278;1920235,26538877;15154415,6722281;-41173211,0467012
"Tchéquia";21111133,610307;120310816,876737;56741545,8871464;-18764582,5405;-13219410,6639001;20714207,4667481;-200035361,266382;805014,034744951;0;465396166,614911;29102067,4981243;103869574,612126;1782685,02738123;25836938,4361693;78842179,8195143;65761315,5249993;2083174,1138026;-3021648,50520258;-1667992,06784986;-239380637,23832;19285011,6198308;192960713,097936;24979336,5874975;12614134,3677358;-5371966,24582339;10258694,1711153;-1537036,71383484;5504653,85695685;2777518,61923039;53484790,8638851;-17919032,5287907;12283130,4647435;-17456964,5975311;-63524389,7778604;19730953,5266774;15646650,4408296;32740877,249806;-9641908,68682399;11105406,052818;52529269,5817712;-146028754,753447
"Alemanha";-262446527,1803;-640265167,907237;233707410,227149;-164171458,994265;-1071369138,28273;-27977895,3631315;-5899383767,80036;-20959796,7448826;-465396166,614911;0;168933438,467358;-490482396,987715;-40115870,8864541;-34714285,0240523;124612218,301505;-830650103,654981;-260389083,830779;-420576039,411903;-682434753,294595;-4775406573,88332;267032175,560589;-521026432,769188;445763274,92561;-380228006,991016;-107552075,016681;-22374732,7573734;-47848136,6086049;-344002404,57401;-13876716,8236627;78430670,3471007;-1261433657,91816;-192376724,041407;-506771970,076954;-1395048672,76379;-208679221,383393;-79607428,3204016;-265722117,256296;-1427075062,32215;-257054696,984633;-1603770537,47661;-11633966803,1645
"Dinamarca";500239,296855211;16350576,7472938;45255282,7266973;-71091295,8656711;-85137758,4802731;9502636,60088653;-347910286,564497;-1788437,88861632;-29102067,4981243;-168933438,467358;0;-12822392,4142433;-11429517,1189597;7781999,59682211;-33513397,9966009;-165808583,286755;-23548704,7074121;-8487045,13812629;-25437830,9437496;-315448186,616559;28584471,1887622;-42756428,1506859;-106962360,729157;-21585824,4574;-46880138,7853158;23769023,2793405;-19247092,0039034;-3052623,37667942;4384490,85578583;80693651,3416089;-96781480,2214834;12921613,0535268;-55711633,782501;-322785854,527764;-8926599,09962529;12956727,5783814;-88892217,053955;-15017406,9879218;6098130,40959796;-91048587,2717593;-1426185296,10686
"Espanha";-8384703,79123032;28822306,796876;166884688,685783;-24664190,9031161;-366937814,85652;2073236,314464;-1204112970,41225;-6567217,68049369;-103869574,612126;490482396,987715;12822392,4142433;0;-1794569,86553012;38576070,2620369;511240698,295999;195843416,669683;-53966919,7259741;-16642939,8109932;-115265227,13324;-877698872,905246;85812770,8282472;154786375,554403;115416033,937158;-20388626,9216496;-4904720,18676816;8905129,3725509;-1535648,40830047;-48406328,5038879;-3073974,97663606;71674914,3692635;-72717465,9481514;-428077339,627158;-27729200,1936289;-145046687,261812;-8039054,88831959;-12409727,6322597;73271112,3891273;-158497696,168169;-7647151,85379882;25236716,371702;-2781167269,20581
"Estônia";183323,160159877;2280585,69878334;7025209,3225612;-684611,476057632;-1223685,98193008;3338694,70291964;-10827346,045447;15732,3469177791;-1782685,02738123;40115870,8864541;11429517,1189597;1794569,86553012;0;83626502,8279416;8290700,33180973;22537634,8698429;180242,269808423;-335762,689011303;-1276801,56970795;-18084307,7541923;2047054,67375739;9550599,21340464;7083492,63837703;2036363,40968007;191184,270209277;270845,482949052;3917426,42900233;299797,938224977;-12839,3244069612;15488719,2424711;-1075418,89465623;361867,846096188;-68412,1125730732;-37238485,451765;104994,179140421;102204,408518869;51013519,4950779;71375,9054951109;615499,344127961;9301728,20952446;-49187405,2846333
"Finlândia";-27669840,2261922;-4940025,02374998;6798065,85591319;-5279969,98969204;-58236177,4829965;-24026171,9326228;-245982618,744678;-2250471,34726085;-25836938,4361693;34714285,0240523;-7781999,59682211;-38576070,2620369;-83626502,8279416;0;-21566711,2395385;-86355281,4389205;-10518818,4696069;-18472143,9623751;-42328719,2149728;-145098621,572319;935554,07600506;-9963613,62373193;19630420,2201275;-39494700,6496773;-16151032,4240841;1954121,15320631;-21388716,7120097;-9304244,23066442;-211551,563604062;-17442465,5891677;-57814612,255769;-9215622,89613106;-4641214,1134039;-428158564,924817;-7881531,62744128;-2421962,30348092;19883128,6044955;-34156589,2641493;-10559508,3378429;-78263270,1510743;-759268183,049316
"França";-98906587,5712999;-87544155,816106;120682344,104492;-49379889,105194;-500884464,954461;-197044239,568613;-2839962632,9866;-13797372,7959502;-78842179,8195143;-124612218,301505;33513397,9966008;-511240698,295999;-8290700,33180973;21566711,2395385;0;-452438300,255666;-166747416,726165;-76009360,2900465;-246391338,007065;-1748105233,66135;180198327,137351;-400907904,003974;-44711188,0469398;-116337984,54312;-17328778,4977062;9759840,05732051;-5661555,47090757;-125767274,270047;-23962993,8924048;67300088,249878;-253724669,663863;-203378412,351661;-171555502,588647;-452392006,131373;-36806327,0470324;-53959509,3851131;-29252100,9066545;-435904755,146146;-108914081,690014;-598680960,302219;-6186048766,58373
"Reino Unido";-284436584,797892;7368719,60811558;285343436,731087;-43032704,7739177;-357570950,63568;-86274190,8513074;-4516355380,68847;-36988632,0347705;-65761315,5249993;830650103,654981;165808583,286755;-195843416,669683;-22537634,8698429;86355281,4389205;452438300,255666;0;-112622834,072944;-51615972,5663553;-445259397,017651;-4447895595,25818;-114794058,701071;-24998400,7672861;317323130,607785;-203300088,935881;-30057159,0159035;-73514,7560196649;-26818451,5673151;-71233994,9688746;-23308682,2595192;236757558,868776;-209919318,050275;-101907720,998241;-107132776,118691;-328788347,093432;-25507229,3872357;-14881796,7830947;19674262,0568205;-419980175,795111;-63915301,9263744;-939890345,810626;-6289594430,20452
"Grécia";2812582,3702272;22931830,1469649;68104270,0855331;-68212509,0404396;-29566151,5768756;2532594,98658714;-199583233,795157;-4010263,25468217;-2083174,1138026;260389083,830779;23548704,7074121;53966919,7259741;-180242,269808423;10518818,4696069;166747416,726165;112622834,072944;0;-1558367,86112398;-19288592,4529614;-221452665,509873;13177025,750963;305047215,196466;46225630,3894206;14409991,2161025;-285246,73352524;776846,201786469;-100330,605188091;-654285,953746648;-236321,465001247;77295463,8176415;-2238517,74880288;2200450,68439119;-43798114,403359;-62122085,595718;-987659,725480957;713225,239736633;22923965,6506557;-22920052,6913058;5462886,34158414;42786249,9698235;-453053149,859643
"Hungria";812906,649197845;139556396,083625;44989357,7594775;-780625,768692551;-33899707,713293;7199915,31169647;-80913898,2161131;719977,297378178;3021648,50520258;420576039,411903;8487045,13812629;16642939,8109932;335762,689011303;18472143,9623751;76009360,2900465;51615972,5663553;1558367,86112398;0;-3834518,00463137;-50549413,0987396;4128822,77371841;126188625,815124;35096977,8944715;4666413,11764443;989619,031976482;1338176,76102252;251311,01528092;301762,420322674;420468,381363244;33926553,4094898;2858398,78083777;2020225,54320976;-32127739,3247642;-97818154,3983485;-514524,665670127;13676347,121339;20496619,4938523;-8041493,86921218;4026854,47328707;38162885,5770418;-38701018,7011209
