"";"";"ExpoTTotalPais";"ExpoMTotalPais";"ImpoTTotalPais";"ImpoMTotalPais";"TransfTotalPais";"ProdutoTotalTPais";"ProdutoTotalMPais";"FatorDINN";"FatorDemanda";"PIBTPais";"PIBMPais";"TrabalhadoresPais";"RemuneracaoTPais";"RemuneracaoMPais";"RemuneracaoRealPais";"JornadaTotalPais";"AssalariadosPais";"SalarioTPais";"SalarioMPais";"SalarioRealPais";"LucroMPais";"CapitalMPais";"ConsumoIntermediarioPPais";"COXK";"COXT";"COIK";"COIT"
"Estônia";0;504234501,19325;8920,43694317597;801945609,520362;11903,8911510054;77254882,4948694;1396894984,25425;24466,64106;57093,860200451;38266,5246376821;751381285,466012;9540,37413;385010,607503371;220393146,491027;5759,42415930816;1936,37801238104;676798123,893851;352303,389530638;200370649,666188;5236,18623753664;1768,11768351397;2801,20149069184;18327,0111776556;14926,26693;1509,23821336719;29888855,3417369;173800,330711393;10702265151,2071
"Finlândia";0;1867840475,71888;98357,3976417797;3911640857,58545;72702,6014855385;3939508893,24846;6315286851,24081;301819,72608;20924,0361233609;17400,1440850167;2388600000;126618,11816;1378800;1356363274,6438;77951,2668410469;49626,3512182517;1932400000;1204600;1161749277,36194;66766,6469706029;43430,5568592638;37340,672508953;208775,41227554;175201,60792;21227,5588232012;84360821,4446419;234626,129334291;10307077917,3058
"França";0;9558677086,84566;574121,832930401;34135746028,4885;584689,299608484;23796207678,7669;40588956400,2947;2311093,23038;17562,6650914558;17844,8401644869;17438739499,7541;996325,01883;11826032,7420802;11521840579,9754;645667,905891649;402838,645255344;15349669259,4462;10515246,2005659;10452188501,6323;585726,092544852;365836,060998539;268009,000938351;1730110,89731104;1314768,21155;153571,726545054;488072001,649125;246920,451700732;11591667492,4543
"Reino Unido";0;7549247941,00877;460942,190183956;38970001405,4596;585427,103757471;22222196252,6625;41691090227,8886;2342528,16095;17797,4766420656;17516,735813071;20449240107,8375;1069042,41714;13215892,9390982;13774294874,8026;786350,5519404;294300,121124794;17171636454,1858;11097649,9748104;11637051474,1228;664339,041149391;252150,46412138;203513,4111996;1177679,63792914;1273485,74381;94964,8984153718;497850213,419991;251123,724541452;11716108014,3382
"Grécia";0;837552578,643944;41527,1331404415;4917606940,86829;81597,7662093879;1119117167,37618;8164066107,4184;231394,36993;35282,0429895859;23433,4965256606;4460754272;117711,73485;2181950;1607763947,59302;68609,6479811476;31112,7368295548;2699294764;1328208;1075800952,42139;45908,682523897;19814,371133891;40538,2127188524;204403,008243847;113682,63508;24778,1976388111;110819683,303825;233728,718818755;12347871544,1613
"Hungria";0;3508611127,45104;85393,2862295587;3594232317,69842;87465,8780697088;-67528730,261237;8690931527,17049;179690,46942;48366,1240088183;28955,5257771818;4841611676;63421,65944;2450265;1013931459,2184;35016,8554016526;2926719,80426376;4190101127,44431;2156249;900013135,953595;31082,6038138407;2602919,34492768;20032,9193583474;126640,999653045;116268,80998;19868,3533882326;254271807,29868;237266,517700081;5368248601,13433
"Indonésia";0;17838079062,6516;116344,576174329;9858513186,14851;87083,4800574598;-5817377230,63395;151367357879,176;598538,3046;252895,022283217;220120,466113833;95786544168,8166;288825,74447;70817981,5659682;23602149129,0683;107223,783166363;189926914,458472;38904703234,1825;28558013,5312951;17017127212,1736;77308,2463098791;134404610,871148;178262,149913637;436578,093223488;309712,56013;34257,0062983476;2964469391,04487;343964,533774176;27202293598,3024
"Índia";0;102892779215,88;181103,038241244;25810366105,6226;245172,369704639;-81816684871,1409;1301710851886,05;1759466,48883;739832,705055756;890218,029519307;865421094492,764;714128,39744;375603447,358163;282605302820,319;317456,278629762;6874848,04963636;367394058764,922;157698998,765666;176608407778,969;198387,812785967;4217882,22227077;335674,023580238;1681003,56879417;1045338,09139;141349,01566061;47028800240,9279;351143,114676446;27516644893,5652
"Irlanda";0;1818094045,87844;120802,967245883;3594510379,36382;84536,1165051816;4456280839,5785;5446441242,41862;308993,84771;17626,3743850663;13954,6967892023;2120637705,83515;121632,83914;1109377,2909659;1006163319,65036;72102,1269648009;29881,2982666928;1624837346,28289;885264,695733339;813106864,690331;58267,6124729194;23675,4165888468;37981,893445199;136039,048559991;187361,00857;32013,8637231576;83421046,8062751;246103,693020769;6920857968,69024
"Itália";0;11650767971,694;499698,13301914;32887485445,2907;495172,699737812;21571115078,5069;53493310802,8716;2294690,04284;23311,7805909273;18868,8560761043;21202477611,8916;904523,51853;12013700;11298850101,4439;598809,490934264;326835,750225382;15347016005,6242;9590600;8651757314,98441;458520,499604693;247633,246792205;233168,283725736;1909299,54234557;1390166,52431;169350,609492488;856883621,797996;256495,868343242;14478143845,6495
"Japão";0;16184597744,7175;667738,170620874;62998983861,1493;587548,96439547;52739802940,5087;135468471764,307;4688502,41129;28893,7617773419;20788,9786674697;58143697492,65;1849656,40382;30416225,0907437;23004670899,3157;1106580,13879793;162721011,601168;48918100315,7916;25208966,3706476;20839804792,1697;1002444,85914931;148297311,307025;721278,762522075;5576721,57137547;2838846,00747;577250,750340102;2568124341,99316;420320,331778743;27175687566,6954
