"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44"
"Australia";0;23581,2391481881;11023,8880024657;-791,28589881438;-49983,1713629307;14915,5749565875;62387,3335528186;-2888854,04473978;-144,030164046154;2759,86373370695;257568,864837996;21072,0920727064;21489,299070212;628,070102158956;14608,8476703678;68533,9231522535;45022,4673074529;527,843370159051;-943,599262127228;7393,07339533243;-296753,496019644;-874496,789137036;59917,7222037068;77961,1334468193;-855020,68226036;-369935,143474209;-18,8628877314103;513,569415097271;-99,5087826977803;3209,04441014751;-346,840601643722;-6258,71938662377;6401,07982489872;2909,19357848902;1634,67295941263;-447,460393193295;-9582,19536859591;2109,45312546203;434,783732507701;44038,3779169966;-11177,4693246172;-447636,769816983;331300,972566559;-4324322,24195163
"Austria";-23581,2391481881;0;7665,48695862863;-26387,2950786918;-37554,6694724357;-30485,1961120849;-34895,8794741783;-233994,461699763;-1036,86637137672;-15762,5258963165;347996,212507663;-2605,82266312811;-18771,5546080136;-1366,19146551553;-4043,9272483389;-51172,296468651;-56100,3560729071;-16130,4557141722;-20297,3430512711;-70001,3962527646;-14875,688781176;-64689,1244811429;16791,9604906874;-74985,8941857716;-12649,1401302564;-12396,475694057;-1586,4367630685;-523,871100586972;-1975,57105078032;-17597,3024369271;-950,405473018267;18395,5457612594;7700,17722627585;-57020,5410480508;-3934,14400870393;-52512,1274180479;-33193,2515539155;9115,35003291286;-28125,1706004761;-4497,88440915098;-35313,0902093698;-10037,1665426253;-95342,1080799777;-859550,603717469
"Belgium";-11023,8880024657;-7665,48695862864;0;-13246,9147652373;-67346,9921117924;10788,7789218866;18769,8555778767;-465686,854072176;-2317,91112233982;16796,4972849921;-137325,721473408;5480,33716031427;5595,93685429051;-1343,39951308108;-95,3484251450718;-96491,1418445988;-62604,778429775;-21714,9109610351;-137,442717649062;-12534,6464572722;-72982,5994321559;-266615,582552951;115340,098397704;-84800,018822533;67899,7841082244;6942,50878042185;-10303,2565128519;-67988,6162467145;-1624,55000770906;-5649,96327874503;-180,671968251555;321039,005761822;37648,5216138481;-34424,0047847766;-9504,92124604307;-21502,1594404615;-10069,9081105708;1191,76016397441;396,591654308084;25966,3309499518;-51585,4025716006;-4972,93493630627;53220,3830077301;-2785209,13238587
"Bulgaria";791,28589881438;26387,2950786918;13246,9147652373;0;-2091,32557998581;3964,83598126016;8121,62481469791;-21407,3207566815;4453,51178809901;11432,300644515;92320,5546801052;6454,77044886861;34885,4972518669;238,999751547821;3330,22079577712;35058,7155888474;13234,6187072706;49697,3666423268;1079,65585714209;14186,0162645797;-1042,66218239528;-6242,75439644384;1934,17046296328;60970,3591519905;2610,97858493364;9315,34120350405;1442,72942455594;286,240908106349;213,804623312252;1049,80307937056;565,186876707596;12646,3566904764;1514,87333948789;8700,48482789833;6325,46189231934;27834,0614565706;70088,7545363666;5223,35522429633;3198,66841212475;4965,9475058422;26674,9019819582;844,634531550094;10343,3161271979;-76767,2721923176
"Brazil";49983,1713629307;37554,6694724357;67346,9921117924;2091,32557998581;0;48843,9575425319;76848,1229291912;-578400,483922029;412,416183311305;10713,2940353376;407878,840404262;12198,5687028716;135684,054576962;826,764477716638;24543,4683254988;137750,078223714;99936,5731616968;7858,94166034795;5158,20501525211;3673,67570236729;-124904,59115922;-225417,886201953;19488,9618810014;167448,741619422;114354,335254716;182843,805164706;3432,79803308367;1419,88669003416;216,681361109238;16206,6699431004;543,758142980221;123206,179590422;47156,1452145285;11182,9852810393;40472,8221809042;4649,80645647236;102773,246461168;2542,50989880348;9135,06603806922;54220,446899905;14797,6802354862;46630,8190907934;658844,868660175;-4101152,98876389
"Canada";-14915,5749565875;30485,1961120849;-10788,7789218866;-3964,83598126016;-48843,9575425318;0;55196,8416860312;-1782177,92426256;-148,977548831048;859,763291739699;162147,622488322;44491,6547622159;7646,60570271576;-235,572887479206;14918,2288564768;25070,7314614107;-91962,0563872897;-2049,18594641212;-4440,47688810097;-140,194850298511;-114769,312140995;-283355,977928965;42478,8838473784;63722,3464785502;-963,160604878503;2144,00736572267;7106,58356343123;19,6381725745546;-2931,21429893662;94928,7883990814;-1296,93165737977;-30024,8448186514;61618,7273763479;781,05609945355;-3209,45571409239;-441,35121138511;-8338,89306115222;2444,94465837423;916,843787813874;30222,0795595513;-17322,1565787822;-429,922501491899;-1240229,41105651;-3564618,12976488
"Switzerland";-62387,3335528186;34895,8794741783;-18769,8555778767;-8121,62481469791;-76848,1229291912;-55196,8416860312;0;-362934,887675821;-3504,67614455104;-1365,62128378882;287084,978744944;-16073,3947819238;-79557,4077894085;-988,40033670022;2925,30780508624;-96554,7631599916;-78157,4213798222;-39785,5731031706;-6090,74255275705;-10693,2053591482;-21433,4678724223;-176315,927020392;168972,411215894;14599,704975502;-110057,358317841;-50420,9957344448;-984,177624458008;-1492,85884950469;-2912,27969806242;-30565,5638244651;-1196,5415275629;27595,2427662672;-12174,8120210964;-32186,0549742866;-15320,5980463432;-17332,7371820877;-8451,56231637748;-2216,25962007325;-2812,53875311399;5729,53537786433;-34486,5498192463;-32862,7359992046;-216396,730779238;-1630165,17840555
"China, People's Republic of";2888854,04473978;233994,461699763;465686,854072176;21407,3207566815;578400,483922029;1782177,92426256;362934,887675821;0;14069,1716230726;141890,370162137;4448206,1764213;252955,005213321;948112,616012413;20278,8657641171;266734,513012968;1664044,13160472;1984219,58013305;131455,019808462;50737,8617837346;97518,5764701047;156200,769415777;-1277596,20736082;175967,58956655;1549831,15583581;9295450,2043961;4462220,26274505;20870,7673895788;13411,7204512343;17163,4907225606;715885,819763462;14953,0962566639;786513,971215119;243265,149686752;313907,032029105;83735,3227345146;61237,8070865906;4255894,24276661;63875,9365284924;33688,5949131643;388275,412299795;395678,171153478;1957066,25166753;11933700,0574308;-5559581,59282167
"Cyprus";144,030164046154;1036,86637137672;2317,91112233983;-4453,51178809901;-412,416183311305;148,977548831048;3504,67614455104;-14069,1716230726;0;540,537746458787;18849,8123714832;852,240254796366;4803,94074478215;-3332,10385544066;375,89940268766;7714,53898498714;14150,8895312733;12199,9621660591;504,960739724084;-4843,65978523107;-686,046268121968;-6264,43366470066;-8086,87662535869;15686,9024627787;2608,42189551832;3733,82243053501;195,173104016648;-462,443404670392;-80,0224390057743;64,2741386606591;-23880,6237473831;-3886,41411472706;592,588325202013;-517,198048302201;772,76267771863;-7470,06526822979;5328,30221407197;423,621636691537;-52,8572913801414;529,432637483498;4310,60122227551;356,261789973988;-496,842400905334;-77815,4773915089
"Czech Republic";-2759,86373370695;15762,5258963165;-16796,4972849921;-11432,300644515;-10713,2940353376;-859,763291739699;1365,62128378882;-141890,370162137;-540,537746458787;0;112619,925657566;-4580,81668802412;-9356,09261418323;-1944,70543074784;-4795,31941751266;-38358,5244688942;-50013,1767949029;-5463,55331979102;-5308,73792317891;-11833,7779886328;-8352,35257909963;-36630,9108839595;14046,6842752097;805,541346619197;34937,285552677;23096,0478958138;-5024,29193085423;350,673601660232;-2143,63697851612;-5219,69795040635;-137,886317476983;-2327,02282106217;23374,5054341909;-50272,9559806669;-6087,73807414636;-19508,9753656903;39426,9325563621;-50732,2827385545;-755,865469682849;-8581,00578193885;-16891,1632437761;11138,5867833207;-1622,36851240158;-482116,28683858
