"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41"
"Dinamarca";-26415,2596191676;-889,907287536153;36805,8743671041;-5304,98185766059;-15871,4739576266;-14326,4318032546;-277843,294520393;-2865,11460725127;-8621,86073835287;83868,1102959532;0;-53160,8111568278;-2872,04489357366;-20637,1742843968;-29214,6896237059;-41138,4434610172;-19377,5655965833;-5609,42414261087;-48358,8292818652;-116954,853751833;-9708,15536304649;-13330,1219326115;-60238,9876233291;10626,5348346179;-9874,0585373283;2495,29397464614;-3567,01297099455;-8490,28816531886;120,942808064195;79907,5666917733;-43103,7008632128;-7687,53366801541;-7466,18992147053;-37304,3265720619;-3025,78766545451;1138,46492413253;-97486,9344061027;-20663,6568884066;-2030,06813598835;-114348,34978925;-2217545,05671047
"Espanha";-26947,8317248199;14350,4252293582;50650,7179914031;-46613,5215663452;-146745,615709924;-9116,74490914517;-1048624,74932274;-9517,6961206377;-2237,26530639175;468519,449399396;53160,8111568278;0;-2229,98166429363;33528,5497300455;20899,1414798726;-33236,5101643316;-79390,3626124655;26279,7698849315;-110992,819274639;-563029,065508856;128246,361826819;116261,474712261;48322,8617732895;26355,1328589695;-3040,72195946007;3751,85545039033;-3169,12634880658;-27519,0152587265;-3682,01111012395;131499,603778726;-30109,7555337612;-394509,192578186;-66213,3720564539;-5874,20104057246;12924,1498428637;-13334,8193218629;45688,2790865481;-124724,985255157;11290,6162433989;26496,5974337521;-6160975,06574456
"Estônia";-25,0272039950215;890,285033788367;2044,83890925798;-54,1352674389489;-842,100621716697;1027,00220385572;-23704,933149664;104,789083814445;1754,88353216234;19556,0055897667;2872,04489357366;2229,98166429363;0;12160,1595727537;5526,89965869113;4002,40687461262;196,354034754999;795,23027730039;-2221,48504140086;-8434,94755359314;936,202051272394;5488,19449624247;3349,39320521297;1086,71393590149;4178,69907445626;320,116945956559;-1344,17990323622;-371,107152086428;22,8605424216027;1018,19112547933;3137,439215599;155,065946427993;-287,832813524867;-1632,02329679094;446,994342110691;382,026089460108;2526,72838131749;722,644467248039;727,557439033977;2632,84519070666;-136516,839396578
"Finlândia";-7606,56601187668;-2575,98345366638;-734,535039342736;-4078,92050989967;-46651,8986153091;-11427,2279113244;-311935,25136022;-2829,97886892293;3103,41525901135;70938,4291103645;20637,1742843968;-33528,5497300455;-12160,1595727537;0;8312,20183470125;-47644,0879008514;-14134,2918262438;-2418,9715742753;-16059,4007654648;-100348,404408217;9516,69756425391;-8532,64282472746;-19097,268697991;-29772,0940450352;-10569,6380363945;2095,74817560662;-7408,31125179784;-7637,34756284974;-1506,48619042563;-33268,2724088861;-44710,3132049592;-10877,3848563564;-5181,37972297358;-19139,5831068602;797,78185652719;-894,179819117926;-62208,936718056;-10006,3972543645;-3815,90438915603;-87387,9006218146;-911433,695033402
"França";-77185,9029310998;14942,6844312593;61665,3918631324;-44607,9783897154;-180804,778364928;-76688,8219725767;-2028498,03917047;-11217,3628116966;874,654249939515;737741,337118102;29214,6896237059;-20899,1414798729;-5526,89965869113;-8312,20183470125;0;-288364,264462762;-122258,482629828;-21957,9508319707;-215341,198236681;-878490,858232845;172506,109975321;136327,233815317;-44908,8856027079;-38900,4235489867;4098,39133383937;9979,31322063807;-7055,68905073249;-83676,4486556602;-4444,49180825335;39484,3111231825;-83009,3975497835;-69259,0859610616;-132211,877251136;7222,20144933375;6625,54119923482;14027,8223605148;-11324,6317341116;-128484,37605098;-36180,4815209111;-173532,720488754;-10119898,8367729
"Reino Unido";-85944,7879141036;57583,9605839666;295501,500148558;-17083,2728859132;-132977,342492191;16080,6771695442;-2046157,29402753;-18679,0766846648;51300,9830772738;651864,625878713;41138,4434610172;33236,5101643316;-4002,40687461262;47644,0879008515;288364,264462762;0;-11631,1147657121;50658,2924359078;-176537,641181902;-1526188,21269174;-61318,0174412519;136788,480311992;156812,072177114;-27875,0084415187;-1021,45463479689;11314,152975744;-385,680768106011;-58062,2553376212;-11649,4739885738;160412,292738873;-5124,66133841415;-2446,61207522395;-47089,5640120786;-74882,3239704139;22288,369330113;-591,113626037668;56904,5430949887;-33644,7069535936;11955,1404754201;-393869,202425372;-8364104,92803567
"Grécia";-600,629771224631;24220,655762166;67362,251249211;-71106,2179299109;-18380,2182193179;5021,75069181825;-153790,926367782;-8503,65385290628;8066,38402682714;230507,929453879;19377,5655965833;79390,3626124655;-196,354034754999;14134,2918262438;122258,482629828;11631,1147657121;0;4879,00320774017;-16283,4451820594;-98327,0569704188;14328,2525841527;238640,530454838;14363,1098891919;90683,0055605614;-1073,93223102185;3358,11934488082;199,165441696618;-943,048466342728;-1365,90075178929;57354,642942718;6985,84774430856;1645,3160649;-18392,4038333526;68633,3264264375;1219,11051588474;863,003088703117;13821,5111411099;-5560,25040493908;2534,87420223958;15638,2017811491;-1219607,52565925
"Hungria";-8568,18377210269;85700,0152645147;35678,5083343295;-11738,5247379751;-3566,68864854044;2138,90891757589;-98290,1961348685;-2147,8713829873;15391,7933604613;144414,877919144;5609,42414261087;-26279,7698849315;-795,23027730039;2418,9715742753;21957,9508319707;-50658,2924359078;-4879,00320774017;0;-5419,48235148647;-33729,544262084;2089,67034028284;14650,1240972124;35430,017519787;27893,1117996913;-1153,3430243076;1215,73918110637;-1977,03487909158;-4373,6199625843;109,757538129195;54129,118599546;-10140,7822155502;-4343,47972953849;-63734,401755459;22101,7999806384;12527,3794371869;9324,20606933105;-2942,96319442079;-9421,97933350545;14388,5614302319;-1729,37758566272;-250609,925108731
"Indonésia";322298,065641495;30146,3305760666;98840,3578595261;1567,79149251646;56967,461857487;102128,747224912;-525725,077488636;787,399431297438;22640,3427606451;450710,910654239;48358,8292818652;110992,819274639;2221,48504140086;16059,4007654648;215341,198236681;176537,641181902;16283,4451820594;5419,48235148647;0;39026,3720178713;8065,60143232968;192230,517252856;661845,887280501;84079,5849705968;14993,8941436464;484,406250522702;468,621482756565;26802,8408363889;389,270751787182;209076,193733788;32017,7973242891;10346,8237982594;4734,60946675927;107518,890292274;6263,53590869874;3367,64829685109;46486,2833130546;224824,118472526;20818,5025093805;1108588,93631669;309087,049787689
"Índia";718383,471829001;123691,033678638;747153,788389156;15345,0304055439;193405,690487663;844972,560730602;-1384548,40252643;13523,3528359252;83593,5735095516;1769301,57815072;116954,853751833;563029,065508856;8434,94755359314;100348,404408217;878490,858232845;1526188,21269174;98327,0569704188;33729,544262084;-39026,3720178713;0;59607,7853107325;746595,78043113;866219,929128391;427099,00473472;7016,94627092752;1783,62225470279;5639,96286459093;165017,699527475;3583,35048319371;436219,061945693;184055,072600332;63377,9527434315;43165,1258397848;744210,595946347;31901,8995546836;19706,5297170333;126190,936829585;1173077,89024811;327002,28677463;9324088,98431145;1197098,76694385
