"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44"
"Australia";0;22578,4282731359;9226,91519114641;-767,30787270191;-44255,3656075016;9844,93032135256;81555,2466752598;-3424679,23383401;-88,5984791669192;4915,6963966774;270323,942165513;24101,558526891;28096,38379337;1117,5881476014;16088,1294075758;88068,8745947034;116684,099781682;351,12469626126;252,334952513177;6998,78497564209;-363271,658866253;-536549,788255082;58958,514748149;80935,2142485836;-1088609,17699691;-504373,339933197;419,460977736462;609,065084281262;-72,0669744084319;7739,79271368098;-30,7855929093174;-19695,6569265996;13882,1569128708;2315,90873352248;2212,65522689505;-31,1070035690821;-7263,7331484678;2089,55742990834;494,540200705831;57998,4579603682;-16429,1966278931;-486634,153371061;384119,818658554;-4913345,79415256
"Austria";-22578,4282731359;0;7893,76490708154;-27859,7548713413;-35522,9177577647;-24634,2469624116;-44109,5359965735;-231463,84444253;-1428,95675713449;-4855,64632322214;414150,971451824;-1997,62149862097;-11280,0363171885;-1188,34298309887;-4108,83715653793;-51478,4955839023;-52141,3091198354;-11192,7503586755;-16011,2698531594;-52698,2543477823;-19581,030968925;-70439,082913926;8527,62984633472;-72769,7489274113;-15426,0681036349;-26355,9109494427;-2315,61197086321;-623,169382136854;-2210,69227132939;-17166,3917455801;-854,616966662267;21412,2407863039;12689,3626690877;-61081,8763016609;985,92681733491;-53637,4260585011;-38497,3427063104;22868,5300659457;-24029,6082550412;-10608,0728470443;-48818,324728642;-9479,36412443005;-126576,072110082;-920691,111323432
"Belgium";-9226,91519114642;-7893,76490708154;0;-3327,18384847974;-57813,9564973132;31632,4726178439;-8521,25189701971;-463089,641707143;-861,416488114713;28162,7588887952;-120753,163044848;14899,4842962516;23558,9918151463;-1637,08776914792;5116,42280850322;-95951,8484324438;-24120,5161753071;-18297,8636525688;1828,50642759841;-9837,92298223234;-78206,9027207723;-304017,357106659;121520,182190953;-87402,5699874495;43557,941029351;-2431,5204050051;-11275,814718662;-70608,3631784083;-1761,48906045744;-5795,82904155917;-722,478534491449;379450,92808091;75489,6914040324;-25992,8230955186;1640,42461246632;-22557,4108606097;7557,41718375862;2054,45593454273;1015,07450659325;33491,731601163;-73104,3837398729;-7739,00199969903;82956,4966416242;-3199419,43800375
"Bulgaria";767,30787270191;27859,7548713413;3327,18384847974;0;-1036,67947494834;4632,44747507248;7600,71624284841;-27085,4097672143;4138,91491478182;9326,88081579958;87964,2976591402;7824,39168116462;64613,3832575365;294,735561332514;2873,317039567;39351,4910198288;12600,5505427967;48046,2973594316;497,390235513509;15123,0506793394;-1151,90814939915;-8584,98348972117;3021,02568908557;63151,1638327594;2346,9201263611;5193,64291591043;1651,34115720228;306,489590464023;92,5419661234675;1405,83676405049;804,885175396091;23444,3342744013;1287,50291852802;7183,26217551919;10472,5863200914;19112,1871921302;70291,0950419003;6190,33710339991;3541,51887819845;6281,07183508158;24772,1320263059;886,63498014552;8975,63716547825;-123694,223049814
"Brazil";44255,3656075016;35522,9177577647;57813,9564973132;1036,67947494834;0;26513,3783026584;69921,8312248339;-874506,710421222;296,947606592271;10145,251598849;414506,185052341;14476,4645650803;120329,019013501;857,19684964961;17471,4178502282;132757,556337548;82539,5041955352;6566,08733546018;3281,17070664741;5413,10234096335;-140744,497004883;-254796,81516978;14261,3499971947;158650,677636894;76296,1261807055;199557,908505467;1120,99559832513;-1011,26020458301;13,8336207703019;16077,2662340202;455,01784402718;71519,8452972338;45387,16323453;9076,08190278888;5563,11841615415;3069,02363606259;83077,2097077428;1879,93415400573;6253,12540732285;57347,7436518623;26384,1475930265;36648,6382323919;617202,587424393;-4939336,66457765
"Canada";-9844,93032135256;24634,2469624116;-31632,4726178438;-4632,44747507248;-26513,3783026583;0;82274,8237899322;-1852738,10884843;57,3444691696475;3290,42194645877;206795,027740821;35364,8544777703;21967,7159933479;-1908,7370738713;19792,0593808739;8314,64173593745;-58065,5212797836;-704,856811981113;-4716,79262045514;-14208,7434204629;-138819,648138423;-339580,860357109;35574,9437314184;67964,0874298577;-94985,895354088;-24551,837623205;8262,43891063899;-234,484306696735;-1128,29221595701;82423,6019453185;-923,104233198421;-45406,0042799609;60980,6103678852;5069,20780425;-364,98275048819;-412,422493273829;-19849,6789708486;1384,13521661315;1853,0008673389;34300,2531043182;-13900,4235358729;-8914,10603685772;-1803621,95077434;-3962477,7599338
"Switzerland";-81555,2466752598;44109,5359965735;8521,25189701971;-7600,71624284841;-69921,8312248339;-82274,8237899322;0;-423600,607666028;-2639,1539467099;4499,13735565959;371198,972487574;-11347,6512989587;-75626,9145057136;-1537,32306943945;2391,94412477135;-101218,969897832;-59534,2815480444;-36167,0173304535;-5097,46866371392;-10317,4992926773;-22400,2007672919;-129212,955607055;169293,175416321;27835,4100370411;-119820,538713359;-56135,4659726931;-1398,23891937089;-999,83932538353;-3420,64706673911;-24612,9384330904;-1038,04044060792;22935,2234982345;-15462,5305085258;-26604,1338726983;-15509,7867772384;-16480,7331767202;-11811,7706545491;-1528,18707432635;-736,219216136593;12952,4580265062;-61469,8620880902;-37536,5963503033;-249681,790879666;-1992711,59459933
"China, People's Republic of";3424679,23383401;231463,84444253;463089,641707143;27085,4097672143;874506,710421222;1852738,10884843;423600,607666028;0;11372,8772378342;158082,125015547;4833417,94662584;242550,394249984;938141,621501738;23483,4345611353;239766,800835511;1687420,88561149;1913113,95460135;126617,570342207;49750,9975074235;91444,2208909812;152736,859105114;-1368819,65377859;151987,767756909;1514026,09790959;9153860,52560419;4928225,10369467;25353,0391727218;13828,9844462642;22420,5901258033;805882,093300768;18227,6420464514;769313,23856037;254653,197249432;325647,719541467;84119,0695769635;61993,4426951235;4182078,80194899;83357,6035596206;43590,1779489356;374407,060828113;496376,977299701;1918639,52343962;11127149,6626984;-8884730,01304584
"Cyprus";88,5984791669192;1428,95675713449;861,416488114712;-4138,91491478182;-296,947606592271;-57,3444691696475;2639,1539467099;-11372,8772378342;0;-17,7179036783068;20217,0113903008;426,352594642483;5233,69243585213;-2786,51557714638;193,617332649896;5875,88352411876;14294,8493674759;9513,78614671451;285,946905521588;-4296,77878649876;-638,538738397313;-6988,02456218868;1102,29062326273;11095,677429059;2883,80272785469;4754,46450077978;63,3062341957514;-123,808506023406;38,8349060452179;92,0965147194219;-27863,6783602759;-1137,81096998546;1034,24900652659;-213,265727371949;538,830445540979;-4343,04689328035;3308,56703283219;372,626296438009;-55,7732618450538;495,951572121971;3402,53108814707;109,966035499217;-2964,86599913566;-79083,3412829597
"Czech Republic";-4915,6963966774;4855,64632322214;-28162,7588887952;-9326,88081579958;-10145,251598849;-3290,42194645877;-4499,13735565958;-158082,125015547;17,7179036783068;0;124903,859012591;-4305,73617410483;-13211,2951497769;-2894,37592588155;-5376,37372879536;-43312,4800589983;-45161,8480534645;-5465,13929711632;-5834,55305419364;-10214,9050715554;-8109,85059527599;-38367,3196930376;9660,73956406399;2992,16391064835;30943,5605564941;29923,456353202;-4378,49618892472;782,064244627693;-2172,98619165493;-5355,35947705803;-190,661595508892;11006,4135603415;-7423,9648201335;-47756,8792254595;-4807,64258353329;-20546,266270398;15054,2927995632;-44314,190975922;-1075,05801147591;-13998,172582218;-23008,1769572261;8207,74462436201;-16098,634777657;-527065,593739212
