"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41"
"Austrália";0;43697487,7022498;30022745,9941073;-9964427,59304493;-44107392,6470291;44901880,5711716;-2674984951,87852;-540110,384466961;-4848119,15270988;395694200,59808;58501906,4751289;7715840,87514994;-145052,952424106;31138519,2303856;124578312,278897;222680246,840151;1914118,12982597;1025397,78688601;-779778738,518235;-1007349879,93025;64737033,6790989;97962068,8684048;-349880912,806766;-383721560,751502;-4594370,06603677;577394,699744661;-84277,2240202207;-11179024,2390013;-397796,026548204;42429482,9492688;100642,191451933;-4798424,68117563;-4169564,07732605;-18164138,0922392;-1411570,28275577;870899,335394208;75074307,2050117;-37919770,6000003;-185078166,040246;460919545,551526;-5104962092,65579
"Áustria";-43697487,7022498;0;35439360,2804587;-34124035,6591269;-54147674,3436623;-21862770,1564919;-349493273,750723;-1982915,44415335;-80728104,7192563;746704285,333681;-5472473,35663438;-82211317,2475762;-3604236,64730389;26180544,2022967;-14314259,6608522;-179893474,951904;-29795781,4729107;-195634274,885553;-41546377,1690877;-249839286,084698;57481713,2470407;-164003067,965001;13979920,9243707;-14522670,3383865;-6165332,92737355;2148598,08842115;-5259042,01294234;-14455848,3461568;-99044,4755847431;87303145,9930595;-110296121,019322;-4261161,60759671;-102500602,848665;-145418125,564487;-36018916,524258;-33751900,5336828;21237097,8414762;-77441545,6245125;-1503905,30922858;-185398525,641785;-2113464879,38389
"Bélgica";-30022745,9941073;-35439360,2804587;0;-22456837,7406458;-227178732,992594;15967153,248449;-831407284,838937;-5164349,50995298;-61203626,7610686;51134776,0432549;-49114030,328448;-227100371,564156;-4757848,81324165;8448006,46285006;100313603,399733;-650872989,668053;-146958884,116184;-35924554,116087;-208309759,987606;-1227350560,88341;472240642,652814;-528491755,682435;175848482,143439;-26951024,6372579;-14542258,1404518;-141017347,91541;-6694399,36843192;-43518663,4860727;-850981,222694077;491389109,985833;-98561409,0141789;-7471438,29447854;-49249656,6705389;-146426827,782431;-20361469,6008947;-9155208,89113742;42502622,2734966;-110959882,573184;22325719,1576561;-204768418,063385;-3886065642,22902
"Bulgária";9964427,59304493;34124035,6591269;22456837,7406458;0;-10251584,6030184;11616483,5907272;-40217344,5959724;1852114,45836745;12860567,2925356;209586973,730303;18561639,7172888;57981513,5235936;726385,403172936;5834613,72201925;85331974,4588079;52115118,9720596;43653676,0094009;6991377,74250076;-2538938,13862571;-33094954,4751397;3751999,24092032;148503403,908304;11298235,6070984;3998805,9121598;1356727,51292358;305118,644392946;1084123,07854164;11923167,1949174;1230234,57883754;38775606,2785185;15329740,2626544;8568405,22262242;-2407124,05412747;10988539,0525787;3110039,69280482;4227814,7711173;13380673,6521946;25355087,8077775;3003722,90806406;77664738,8345445;-52389660,3334101
"Brasil";44107392,6470291;54147674,3436623;227178732,992595;10251584,6030184;0;282707317,144252;62245758,2674406;4819452,23771574;21484948,0648795;1309317866,59726;49382547,8408655;371624830,188949;1919138,22365083;100325506,834222;628425396,021926;502675247,965995;34310912,1907549;46872468,0268121;-11726514,5487914;-242181028,601376;49077009,63784;459260512,731393;728410828,335393;227797577,928014;4183813,30940945;1746813,71911868;1359848,40469328;36793358,26553;3054305,13786308;737464286,772178;39337163,0921144;136589939,431286;26391632,3180935;423356204,437305;2644701,85997997;12045878,0637646;114185414,407119;26993725,4479854;89963038,2145333;1779641529,07507;-932836347,626932
"Canadá";-44901880,5711716;21862770,1564919;-15967153,248449;-11616483,5907272;-282707317,144252;0;-3470473666,34753;-626485,501856517;-5940623,93179522;249569511,213707;22961205,7293522;-2774855,05888745;-2722174,82810234;43355536,7225814;293467776,114428;-24937773,6631606;-5146458,42934565;-9388659,014559;-282765013,230946;-2461813232,64154;59934303,0259356;193006809,699848;143536145,36603;-17218925,3132756;-2003578,43968328;7446628,62028249;-730113,372067734;-212127845,230208;-218505,202321333;48935909,5786355;-25479050,6723684;-1230482,93340618;-16773400,6152783;-67746463,4242646;-3992869,30388372;458745,63872265;92809000,6518489;-50334791,1883412;49627817,0031016;-6289779831,25948;-5435508541,1812
"China";2674984951,87852;349493273,750722;831407284,838937;40217344,5959724;-62245758,2674406;3470473666,34753;0;35822001,5575471;281323178,427231;5910085216,43758;341111298,005904;1319822430,8677;65892278,9932594;303773154,613866;2787532400,41106;4504944635,91715;305260197,462169;240322061,51353;575557741,606043;-786219584,479636;295629288,88311;2594927708,26558;21838655575,9677;7752499355,95286;34996809,4758273;16523604,4269546;10821405,0897175;1238726677,95278;23808264,7384628;1627047972,59248;398169738,728751;89745871,9600395;25541695,6660937;1048786654,34181;72070025,2050982;41562590,6068786;508651094,320587;390873377,237367;4016079921,66624;33491263592,6249;7595705950,46699
"Chipre";540110,384466961;1982915,44415335;5164349,50995298;-1852114,45836745;-4819452,23771574;626485,501856517;-35822001,5575471;0;199854,352463209;76593919,6929492;2634084,95561241;8082810,34578276;-26312,2833927924;2021444,47130015;20196574,9853763;31631769,1950243;7650633,25276232;-149197,192215197;-5712454,29677862;-47765857,5990567;2440123,44126115;28534292,2891409;17501631,2103955;921556,988132432;-192522,32374509;109826,174142509;-1068,58086742515;79848,2616392015;-98980,5980848121;5537096,35428227;58193,5585788523;566862,434387684;-1891513,15981409;-18457643,8823957;-12129,0312069536;223971,026694774;4844501,59827831;-8257,30229360238;1635122,0395529;8586099,64799837;-169685410,97446
"Tchéquia";4848119,15270988;80728104,7192563;61203626,7610686;-12860567,2925356;-21484948,0648795;5940623,93179522;-281323178,427231;-199854,352463209;0;637665601,950215;17363469,3434473;30550595,3468704;-2224450,04140718;12002252,829214;122309432,721721;55183566,0777564;-8732268,52107646;-12713581,8214072;-23062408,3046226;-157918403,402222;23893834,6386347;128017516,592547;53320580,7553973;8973489,49141287;-4091418,01319166;4964406,9611336;-2599410,35081544;-216362,041658388;341586,464001641;56383190,933963;-46096695,8510802;-1141032,82311978;-23189121,7428158;-104544827,568196;-23472614,2896252;2672040,6507889;23764125,5172762;-16606514,0684094;21542906,0027759;33684342,8733511;-721046503,749195
"Alemanha";-395694200,59808;-746704285,333681;-51134776,0432544;-209586973,730303;-1309317866,59726;-249569511,213707;-5910085216,43758;-76593919,6929492;-637665601,950215;0;-51534257,7506688;-1353694207,54242;-42416545,6691661;33487228,4022216;-847145784,631927;-1635645284,27473;-436009777,484184;-439698278,333927;-910218122,100279;-4051440361,18716;938589347,24416;-1583999859,87285;69728693,6552763;-409424380,409366;-122740396,606428;-46859903,6432133;-69832296,3561107;-641303438,298463;-9167660,90292965;456423629,41083;-893926199,413286;-327771211,454178;-599426380,213017;-1451882703,56722;-157162520,644756;-44006523,3926686;-339291609,452898;-917980812,319316;-178840753,202445;-3874904239,76005;-23112977536,7084
