"";"";"ExpoTTotalPais";"ExpoMTotalPais";"ImpoTTotalPais";"ImpoMTotalPais";"TransfTotalPais";"ProdutoTotalTPais";"ProdutoTotalMPais";"FatorDINN";"FatorDemanda";"PIBTPais";"PIBMPais";"TrabalhadoresPais";"RemuneracaoTPais";"RemuneracaoMPais";"RemuneracaoRealPais";"JornadaTotalPais";"AssalariadosPais";"SalarioTPais";"SalarioMPais";"SalarioRealPais";"LucroMPais";"CapitalMPais";"ConsumoIntermediarioPPais";"COXK";"COXT";"COIK";"COIT"
"Austrália";0;1421853,2689151;128785,819280889;8643444,2429717;133122,362747945;6975739,50545228;9703679,88377107;719357,97416;13,4893616701784;16,4394461566726;4590617,10708138;323748,93405;4590617,10708138;3033161,19391611;184505,071825974;185592,226954472;7261016861,51;3902981,49647719;2650023,01509688;161199,044654024;160171,671515716;124234,101524026;567965,391686088;395609,04011;100303,144891328;318805811,359773;257590,398033877;5075355731,42218
"Áustria";0;1569424,95077615;115895,282650157;3798835,69926111;113130,153703693;2386174,08258569;4528599,1158496;296032,29;15,2976525494891;14,5986379657066;1995514;134389,02372;1995514;1319593,13389602;90391,5239898306;66985,7107785845;2535399000;1600394;1105842,06173873;75749,6736569839;55505,4608528491;32384,0553501694;283508,719196702;161643,26628;20779,3433737543;119037438,510024;169673,808194537;1707714728,63154
"Bélgica";0;2843389,80014373;201286,551339145;8162618,96048825;188037,391515471;6070363,19720341;5784764,60897365;400156,1737;14,4562673005528;25,696504789658;1880881;154629,18341;1880881;2591635,22034752;100855,553763505;72790,10919368;2342693406,32534;1665334;2363236,31828429;91967,2281358441;66248,5875414984;36815,5527364949;330813,237852467;245526,99029;33513,0306934417;95377795,7172523;157423,706472076;1738827521,11587
"Bulgária";0;721084,772179155;9022,76892445278;491578,627264961;13473,7438753419;-481845,072613237;3621376,13002803;38349,3287;94,4312782723634;56,0092909382215;2152024,96247743;13495,96244;2152024,96247743;366360,908543349;6541,07385411194;310,336298903935;2345666917,28336;1401952,69798218;270811,871717802;4835,12408711812;205,626134677311;5320,30631588806;29544,8547417313;24853,36626;3266,96659669791;185132350,883907;168371,78328177;2174907695,14819
"Brasil";0;9450614,36533768;120782,230836566;5315953,39584615;79201,9910931211;-1777354,26116372;78302622,0899805;941322,92538;83,1835919202443;50,2864224810617;47444472,3166219;406633,43741;47444472,3166219;9054590,69810369;180060,347333591;199933,24251553;79440100448,2727;39839367,924775;8662046,62603439;172254,183110691;191800,210592543;174163,770366409;743593,239978824;534689,48797;87580,2904310062;4740893932,15142;287017,00994188;3311785257,96924
"Canadá";0;4524182,28414055;372048,320354733;14122934,0141455;309151,234294201;13164573,4717648;15888929,1699353;1119027,33744;14,198874896376;15,4619934384973;6635512,91090384;524299,2408;6635512,91090384;4312116,85821514;278884,923562237;282879,2035721;10795743082,9366;5928163,57153945;4107537,96167789;265653,841984626;269849,307101306;218217,450757763;1141885,90741713;594728,09664;142661,012654909;404902370,78702;391376,081789113;4689745530,03645
"China";0;120895710,690568;740394,313804742;34910274,9874763;624347,526351661;-79406400,2710946;1188525538,46675;5234765,6287;227,044651617365;286,588794009857;566632930,948969;1588817,4945;566632930,948969;218525128,210085;762504,092196181;5011938,87690081;0;0;218525128,210085;762504,092196181;5011938,87690081;796234,323043819;2308211,33611525;3645948,1342;406859,066544051;35603879813,4967;263134,69788642;1762321691,77113
"Chipre";0;45878,7625995937;1562,47314126689;277908,418649151;5342,2093854251;17745,2349149107;290195,872831341;10896,08631;26,6330372736687;17,7897959764571;140100;5471,68711;140100;67271,6351544212;3781,47311208336;2294,2905925182;174803000;103900;49006,628194051;2754,76055256092;1688,28378844473;1484,96226791664;9172,76528878272;5424,3992;940,048735112999;17674478,904842;153137,678130397;2281516858,1802
"Tchéquia";0;2134667,83780649;78159,6371355349;2584309,59906707;72379,3457207511;777343,568951759;5969303,86804668;200431,99131;29,7821911014904;26,0906030426698;2881355;66844,74233;2881355;955203,529752138;36611,0176982093;591768,003154668;4637931000;2477652;804851,638596846;30848,3340642051;502686,123546651;23050,1012617908;163703,799818948;133587,24898;16833,2686956126;274766775,741624;161578,990952462;2449346480,58852
"Alemanha";0;13422429,8455918;1005777,87779059;35864748,9817048;758810,514047882;36443629,0583461;41613155,4001504;2728074,86537;15,2536706116042;17,0903678330834;18226000;1206848,24286;18226000;14244646,5618774;833489,758734319;651493,121800972;23123799796,748;16456000;12704758,2607942;743387,057837365;576880,358012049;272079,683715681;1898278,48044914;1521226,62251;222884,362959719;1165497127,28373;158606,001711044;2915545543,42002
"Dinamarca";0;1230954,95722861;99359,3382321323;3186961,26828397;70484,4632727187;3593008,33085932;3352767,50820742;241409,55651;13,8882965391991;15,6216169600281;1421626;116029,58758;1421626;1179410,83867361;75498,6402298453;367857,462892022;2079670000;1331891;1102120,95829452;70551,0166530509;337744,600332155;29704,8255301547;183637,042819857;125379,96893;17999,4640996138;60073669,495283;140661,633821501;1733856497,67339
