"";"";"ExpoTTotalPais";"ExpoMTotalPais";"ImpoTTotalPais";"ImpoMTotalPais";"TransfTotalPais";"ProdutoTotalTPais";"ProdutoTotalMPais";"FatorDINN";"FatorDemanda";"PIBTPais";"PIBMPais";"TrabalhadoresPais";"RemuneracaoTPais";"RemuneracaoMPais";"RemuneracaoRealPais";"JornadaTotalPais";"AssalariadosPais";"SalarioTPais";"SalarioMPais";"SalarioRealPais";"LucroMPais";"CapitalMPais";"ConsumoIntermediarioPPais";"COXK";"COXT";"COIK";"COIT"
"Austrália";0;1386527,18998232;77581,8009516116;5743727,12781584;71444,1642911806;4780805,81596268;8001982,90115999;377832,18292;21,1786694275704;20,6410526657397;4173005,4;170707,15725;4173005,4;2130232,12358433;103203,657201075;163505,867252809;6592300100;3471767,2;1822243,92224326;88282,5092185267;139330,910006476;57957,0520389255;347912,095602403;207125,02567;51365,4056486;338659608,204636;205587,665053355;3389423080,40079
"Áustria";0;1278289,8469497;61645,3085514555;2871013,38893536;62050,2702924499;1564773,99342268;4382731,96850934;177992,30579;24,6231540686944;18,4003408733312;2035052;87606,92069;2035052;1145314,00653322;62244,1733236147;65934,3617432141;2569450000;1627677;957836,099358589;52055,3453847609;54928,28182447;19428,3775163853;205673,191524543;90385,3851;12711,5844253684;126270330,647037;121554,662814473;1398611956,67503
"Bélgica";0;2588384,13135441;131092,002318864;6269409,8593275;122182,34808792;4295950,02426746;5586802,11815922;267799,58435;20,8618774809507;27,8438415536796;1887889;102755,05444;1887889;1858223,12819408;66737,3115384112;72644,542975019;2403059043,58793;1656291;1683733,43697392;60470,5867804873;65987,591426;25254,3583615888;217919,928428795;165044,52991;21025,2247362428;102774536,66525;116918,447051612;1482954972,14733
"Bulgária";0;854867,608141361;5396,95147080843;402390,74515841;5778,76944879484;-478829,081075815;3475548,99066934;17392,78612;199,827041319895;119,150238818103;2175616,15034653;7051,46073;2175616,15034653;425264,710972776;3569,14694583191;280,029486037994;2402399454,2712;1438410,39015532;324870,297058467;2726,56018385678;199,599388396495;2847,49704416809;13574,6861008074;10341,32539;1454,26436415455;172276891,674738;94279,7010713317;1939129418,58505
"Brasil";0;5871053,78461076;56799,0131498251;5775968,74239163;59734,3543891139;-297675,69267161;69642942,0048096;633951,52247;109,855311544118;62,142762442177;42022501,4927894;291103,69498;42022501,4927894;8424446,96852587;135566,019878255;174786,893197983;72590558939,5552;35471266,2142441;7923537,11196887;127505,38921313;164608,364204032;122647,744051745;523507,037175234;342847,82749;51492,3129061955;4344537018,77878;217529,495663227;1902171585,74242
"Canadá";0;4471563,33479472;289145,390963934;10596167,9928311;232559,60899552;10030028,0622742;14086469,2677426;747517,10542;18,84434371549;17,8559934230593;6328397,62903955;344561,82878;6328397,62903955;3254382,55954808;182257,1549195;250990,507007684;10289017292,3936;5578741,02331689;3085510,663777;172799,719997229;237892,945072569;142418,7212405;705542,317848194;402955,27664;72326,1230972475;405917803,094572;361970,834492722;3928207126,00629
"China";0;70717459,3108787;238127,859272265;15950719,9973088;222304,895608055;-53674673,9489328;1043381556,22929;2452807,48831;425,382571278837;532,230070555895;563054686,221184;855117,9261;563054686,221184;243066888,348919;456695,143314703;3590238,06310551;0;0;243066888,348919;456695,143314703;3590238,06310551;388467,678985297;1537095,40376444;1597689,56221;176805,159408364;31428840108,0751;200033,256041353;1712023499,6746
"Chipre";0;65997,4661319388;1383,37668396002;258842,84529988;3410,71829959401;52922,8205559235;269051,636056124;6118,05816;43,9766391590047;24,8106234203163;124300;3039,33246;124300;51771,9716364884;2086,68564104257;1864,38810650611;159617000;90800;36866,9669993249;1485,93472944079;1298,12838646923;883,919068957432;5542,97986659489;3078,7257;528,612565532002;15485547,5884622;128957,315857844;2847187320,9977
"Tchéquia";0;1539403,124693;29037,8456810544;1512846,13691508;30407,0127375526;-121053,818620419;5519798,08639888;90451,26902;61,0251038620407;42,8755545377912;2954029;30538,76731;2954029;718194,42461951;16750,6737198345;463359,660378914;5061183000;2581928;614796,92858892;14339,1015047287;398604,73676;10779,6309701655;87667,7649232343;59912,50171;7104,19043344486;275890779,697233;103664,676019534;1625597089,62187
"Alemanha";0;10815031,2536439;565445,043331697;31322543,8255443;479660,636353761;26428159,4035957;41468089,4827052;1854579,58839;22,3598327849087;22,8278393536766;19079000;834446,44231;19079000;14075980,7809409;616614,676617384;665548,223114332;24999435458,4867;17426000;12645426,4552283;553947,583882557;597185,320015985;152319,283122616;1433398,51748005;1020133,14608;149076,020031603;1266636173,46191;122871,343515739;2212056684,34271
