"";"";"ExpoTTotalPais";"ExpoMTotalPais";"ImpoTTotalPais";"ImpoMTotalPais";"TransfTotalPais";"ProdutoTotalTPais";"ProdutoTotalMPais";"FatorDINN";"FatorDemanda";"PIBTPais";"PIBMPais";"TrabalhadoresPais";"RemuneracaoTPais";"RemuneracaoMPais";"RemuneracaoRealPais";"JornadaTotalPais";"AssalariadosPais";"SalarioTPais";"SalarioMPais";"SalarioRealPais";"LucroMPais";"CapitalMPais";"ConsumoIntermediarioPPais";"COXK";"COXT";"COIK";"COIT"
"Austrália";0;2814184886,95278;77581,8009516116;11269327693,9278;71444,1642911806;9287919639,48243;15799073782,5518;377832,18292;41815,0557224953;39360,7606112707;8013502200;170707,15725;4173005,4;4062174445,29914;103203,657201074;163505,867252809;6592300100;3471767,2;3474866711,51273;88282,5092185267;139330,910006476;57957,0520389255;347912,095602403;207125,02567;51365,4056486;338659608,204636;205587,665053355;14041646864,3899
"Áustria";0;2366325759,86575;61645,3085514555;5494382839,99032;62050,2702924499;3073110400,38282;8001785373,78594;177992,30579;44955,7936691188;34790,2477188795;3466033000;87606,92069;2035052;2165490208,98543;62244,1733236148;65934,3617432141;2569450000;1627677;1811018361,02766;52055,3453847609;54928,28182447;19428,3775163852;205673,191524543;90385,3851;12711,5844253684;126270330,647037;121554,662814473;10566698900,3705
"Bélgica";0;4760711804,68637;131092,002318864;12104535497,4778;122182,34808792;8552717936,56704;9718237477,33237;267799,58435;36289,2179273555;52002,9166806252;2723422052,15246;102755,05444;1887889;3470534851,42093;66737,3115384112;72644,542975019;2403059043,58793;1656291;3144646885,9742;60470,5867804873;65987,591426;25254,3583615888;217919,928428795;165044,52991;21025,2247362428;102774536,66525;116918,447051612;11827843455,1207
"Bulgária";0;1434817450,40368;5396,95147080843;781041869,6829;5778,76944879484;-705582030,645037;5606531122,30718;17392,78612;322348,074864223;190026,327422784;3452947352,11324;7051,46073;2175616,15034653;678231886,148684;3569,14694583191;280,029486037994;2402399454,2712;1438410,39015532;518118218,235495;2726,56018385678;199,599388396495;2847,49704416809;13574,6861008074;10341,32539;1454,26436415455;172276891,674738;94279,7010713317;9605107757,11287
"Brasil";0;11902639796,1284;56799,0131498251;11121009860,7469;59734,3543891139;-1179907695,18151;142631610985,394;633951,52247;224988,198513466;124862,727590059;87257861560,179;291103,69498;42022501,4927894;16927143010,5272;135566,019878255;174786,893197983;72590558939,5553;35471266,2142442;15920670679,5836;127505,38921313;164608,364204032;122647,744051745;523507,037175234;342847,82749;51492,3129061955;4344537018,77878;217529,495663227;42137003254,4047
"Canadá";0;9068144994,49437;289145,390963934;21283715797,8212;232559,60899552;19893335206,751;27477941193,3811;747517,10542;36758,9463761399;34671,6424413694;11783121082,8557;344561,82878;6328397,62903954;6319154907,75016;182257,1549195;250990,507007684;10289017292,3936;5578741,02331689;5991250105,71267;172799,719997229;237892,945072569;142418,7212405;705542,317848194;402955,27664;72326,1230972475;405917803,094572;361970,834492722;10891922827,5346
"China";0;130327616923,508;238127,859272265;31548048936,0868;222304,895608055;-96632650812,2635;1765270119150,63;2452807,48831;719693,709173612;815211,914689546;948107806214,009;855117,9261;563054686,221184;372303322210,995;456695,143314702;3590238,06310551;0;0;372303322210,995;456695,143314702;3590238,06310551;388467,678985297;1537095,40376444;1597689,56221;176805,159408364;31428840108,0751;200033,256041353;25428948692,2744
"Chipre";0;141375628,716097;1383,37668396002;509890056,401497;3410,71829959401;93437354,4590621;556144952,969286;6118,05816;90902,2010619929;50110,3883515875;258916000;3039,33246;124300;104564627,840324;2086,68564104257;1864,38810650611;159617000;90800;74460766,3573889;1485,93472944079;1298,12838646923;883,919068957433;5542,97986659489;3078,7257;528,612565532002;15485547,5884622;128957,315857844;14485050244,8783
"Tchéquia";0;3071929978,77658;29037,8456810544;2880716785,7511;30407,0127375526;-376986751,736577;11119483831,3948;90451,26902;122933,419860988;84222,1667887903;5991293000;30538,76731;2954029;1410778035,85651;16750,6737198345;463359,660378914;5061183000;2581928;1207670198,53265;14339,1015047287;398604,73676;10779,6309701655;87667,7649232342;59912,50171;7104,19043344486;275890779,697233;103664,676019534;8787617230,88721
"Alemanha";0;18867082971,882;565445,043331697;61268328659,7413;479660,636353761;54040785574,9583;70668994880,1167;1854579,58839;38105,1292284878;42438,3772747937;28702256708,3024;834446,44231;19079000;26168126279,4634;616614,676617384;665548,223114332;24999435458,4867;17426000;23508636555,2684;553947,583882557;597185,320015985;152319,283122616;1433398,51748005;1020133,14608;149076,020031603;1266636173,46191;122871,343515739;14397625708,9505
"Dinamarca";0;2218033832,78589;61324,8545015562;4969628723,31155;42022,9021763995;5370553882,05113;5612237250,51939;151283,08432;37097,586129644;38259,028870286;2340219000;74513,38915;1468292;1855698329,41828;48503,5397973605;350426,784310369;2141593000;1368305;1724471540,15201;45073,5837022597;323898,98245;19835,4300326396;136577,249203905;76769,69517;10742,2371214266;69155143,8288453;98850,7635887466;12693527471,6764
"Espanha";0;6122522367,50678;124217,171665814;19468047715,2197;153743,179103201;9339329427,25111;34864573298,1402;641955,58145;54309,9465221421;43230,8277073068;14328961200;265411,89482;8275800;7278172471,3248;168356,074988929;164299,964434603;11791101600;6946000;6360289737,28794;147123,940821816;142523,96694;78201,7191810713;469684,16522855;376543,68663;43455,7420668188;537350894,449957;130013,82663858;20172913986,8736
"Estônia";0;528582449,377529;3092,63337644318;709656953,144341;3710,1787860509;97283699,814845;1342844598,23165;7492,33284;179229,170260895;118296,579817609;644288038,902677;2641,03705;335547,193456453;180138065,563459;1522,76647254889;1125,92079470802;573351281,11737;309315,654714036;164655945,313064;1391,89100451536;1018,14918567287;812,123897451108;4632,55769485789;4851,29579;555,142220778485;29606423,2778327;102640,9229054;24400572867,4186
"Finlândia";0;1805762197,16919;47662,0728608091;3305821911,13477;30337,6757635963;3850696830,15869;6308151520,69501;148833,52485;42383,9422405174;32056,2406366997;2354100000;64171,73878;1329200;1290152531,28211;40246,5325208807;40737,5752997289;1842100000;1143200;1081726636,0164;33744,6504808797;34564,28012;18015,0803391193;116628,513908064;84661,78607;12774,5172418155;89187613,4028981;126379,72271785;10719705298,5614
"França";0;9735836914,57406;315257,632795193;33258979214,5926;291728,378381185;26715676991,5037;42424410334,8006;1239350,47976;34231,1646524848;36236,097191331;17228407474,7265;536811,97105;11619509,9535195;12433978363,1069;343137,901895283;359713,899946159;15171178194,0003;10306129,9275575;11346855349,303;313136,795317393;327593,405404376;150715,647634717;939446,180568579;702538,50871;91352,5480201771;558664999,858253;133907,134665344;14886965285,5489
"Reino Unido";0;8406236335,75857;296306,452734699;38370311766,6977;323677,564110409;26250263634,1898;42498375784,4909;1304392,91946;32580,9617259227;33838,6044373553;20786503218,1709;612580,47369;13084466,4991978;14462478195,9688;427395,823097339;254692,848531481;17967307932,706;11309869,4984326;12664009014,533;374247,378847364;223563,667792427;143109,209762661;804358,1111492;691812,44577;72344,4133371033;652054756,820621;152400,424489351;12628449917,6394
"Grécia";0;889940822,839222;13812,2592741027;4305807636,61706;32262,3891677884;912486183,368546;9004984129,08231;100989,34213;89167,667985108;52308,7071713944;4516293326;48904,06518;2198918;1478498812,75426;28264,8700895976;23651,9661728159;2460261298;1229359;993402132,011451;18991,1428848065;15584,384156;17508,0375604024;92963,4016958913;52085,27695;9022,99835154337;207917882,09131;117433,565472573;20959688827,3922
"Hungria";0;2585636822,21946;24968,1355893703;2556013304,04138;28603,3122214033;-522857485,699488;9569718074,6773;67485,31606;141804,449225207;99796,271350272;5414654180;23559,07976;2680997;1392902040,0966;13957,4557370755;2377597,66336378;4241715930,28666;2193940;1139704996,69101;11420,3164233541;1951954,50133;6260,56065292451;66856,8401360418;43926,2363;8079,82884433876;257822996,472559;119867,255514762;6712456504,62709
"Indonésia";0;23524596036,0802;60657,792599996;7936476704,10064;39330,6602774839;-12694376563,4463;154562410292,193;245946,75683;628438,497357489;484605,926970788;101048738349,897;117981,13319;66139064,0377756;25306012298,3145;52219,7746455544;164777151,279921;42875893909,0079;22883034,2194822;15767667245,3845;32537,0912071717;102363094,845177;63985,4119944456;173837,947109429;127965,62364;13297,3483830591;2745710456,05537;191673,717622855;25227635756,6743
"Índia";0;86854976345,1096;60171,3315959951;13341907652,0364;63340,4178988648;-73943061832,0058;1156195980814,89;679410,17825;1701764,29177582;1811379,21359128;781925874346,532;298259,62109;343777150,405603;252129284396,082;139191,883457801;4663067,56445757;370468347110,228;162463649,20825;158976558033,873;87765,475523307;2908848,83612389;132721,881042199;632211,99165434;381150,55716;59187,9054656979;63848710750,4434;169599,637390826;47940245956,4694
