"";"";"ExpoTTotalPais";"ExpoMTotalPais";"ImpoTTotalPais";"ImpoMTotalPais";"TransfTotalPais";"ProdutoTotalTPais";"ProdutoTotalMPais";"FatorDINN";"FatorDemanda";"PIBTPais";"PIBMPais";"TrabalhadoresPais";"RemuneracaoTPais";"RemuneracaoMPais";"RemuneracaoRealPais";"JornadaTotalPais";"AssalariadosPais";"SalarioTPais";"SalarioMPais";"SalarioRealPais";"LucroMPais";"CapitalMPais";"ConsumoIntermediarioPPais";"COXK";"COXT";"COIK";"COIT"
"Australia";0;1722947,78106768;232923,493540029;9859098,63321839;208148,589222704;9054869,92728016;12350234,3896451;1268805,88561213;9,73374613854883;5,79636428820667;5152043;561377,756796553;5152043;1817821,69981513;313614,122479101;341070,648;8157571000;4532366;1614437,41638642;278525,871755709;302910,465;233541,362951625;1225290,01569951;707428,128815572;301137,922227238;0;418174,330719807;0
"Austria";0;1484958,98677511;146426,283373438;2754348,83179926;137017,869787957;1618278,74150494;4349019,82378306;393924,33108;11,0402416927627;5,26968118221826;1949270;167715,727678869;1949270;537394,416994354;101978,54451;76924,3;2641906000;1668070;484649,99360269;91969,50951;69374,3;56114,640567;433020,54978;226208,603401131;20168,1540768585;0;179040,307893472;0
"Belgium";0;3057566,71070042;229412,689298696;6316197,79115454;219131,824767764;3639872,7689148;6750334,79454474;509663,37645;13,2446926863048;6,63177865046422;1944600;191198,952122292;1944600;805378,713297443;121442,33934;91606,2;2386191000;1737000;756557,252164769;114080,59467;86053,1;53566,49934;388758,2452182;318464,424327708;32471,9824976333;0;206143,224205909;0
"Bulgaria";0;867368,096766231;16778,9816195758;602664,7782792;22263,4593725913;-468082,280693356;3332668,55306851;61575,441839371;54,1233396548301;31,9849693649952;2137000;21034,0255249764;2137000;391888,177234554;12252,2605153232;18067,32;2290209000;1384520;285913,117218554;8938,9836193328;13181,5;6781,37280829316;58063,9380559018;40541,4163143946;4988,35533511748;0;223590,476253117;0
"Brazil";0;7446612,37869012;209787,563577724;9155745,85314674;194419,968195133;2279004,61648097;79493511,271888;2155627,157088;36,8772081064679;20,6910257245868;49249703;962296,089747671;49249703;9773976,40746515;472377,567819216;831018,605;85456098000;41316065;8560400,27263488;413725,273293856;727836;357841,240051057;1939740,63511802;1193331,06734033;245835,490495748;0;409784,972014949;0
"Canada";0;3111261,11828228;370628,261429818;10828074,1308676;401273,733002447;6580397,75384206;14312523,4311642;1458104,911763;9,81583925525559;5,94472262805648;7236475;697183,100355092;7236475;2637365,71471199;443648,237222167;456925,101;11360269000;6516636;2280089,35718837;383548,484907833;395026,77;240700,547196175;1103146,79600364;760921,811407908;150149,944807306;0;436292,49702003;0
"Switzerland";0;1239008,77276623;173560,734254618;3119226,21968128;149431,004505018;2775011,74015374;4820232,53757883;568167,05035705;8,48382977251088;4,93529079512861;2177716;242513,986172654;2177716;794683,249568632;161020,55229512;167508,664;3097651000;1848675;723923,672942837;146683,083731842;152593,486;71162,8370042675;463602,762459896;325653,064184396;51592,8940369683;0;175104,268474463;0
"China, People's Republic of";0;107209794,202912;1483001,40584036;52170012,3703699;1251505,29577037;-46455292,8910105;1257641084,11081;14345326,4494211;87,6690459812825;96,6690929793598;547006925;3937043,10755626;547006925;201713356,033769;2086637,5158484;14125626,168;0;0;201713356,033769;2086637,5158484;14125626,168;1773174,18355892;8973671,94871777;10408283,3418649;893557,970330511;0;367818,922902683;0
"Cyprus";0;27974,1360505508;3458,16208626454;265587,935594879;8380,97772981595;55062,7560711256;291067,17821055;17320,3747069924;16,8049007677093;10,3534875013955;149960;7905,94128442167;149960;51007,2202303172;4926,57379684306;3716,33;190413000;124190;43821,5052477627;4232,53567861614;3192,8;2491,31245486406;15569,5260886634;9414,43342257076;3018,83601350003;0;162372,227187287;0
"Czech Republic";0;2045486,82176736;118131,389269598;2141242,77813697;100862,625910311;736127,442728042;5466912,80689727;294430,078915;18,5677795795977;8,38048462127016;2801650;102824,927438651;2801650;441287,753390532;52656,591275225;1003317,13;4167423000;2414060;385918,970064285;46049,719975;877430;41896,92775065;319662,7727125;191605,151476349;23410,693707606;0;227171,402531578;0
