"";"";"ExpoTTotalPais";"ExpoMTotalPais";"ImpoTTotalPais";"ImpoMTotalPais";"TransfTotalPais";"ProdutoTotalTPais";"ProdutoTotalMPais";"FatorDINN";"FatorDemanda";"PIBTPais";"PIBMPais";"TrabalhadoresPais";"RemuneracaoTPais";"RemuneracaoMPais";"RemuneracaoRealPais";"JornadaTotalPais";"AssalariadosPais";"SalarioTPais";"SalarioMPais";"SalarioRealPais";"LucroMPais";"CapitalMPais";"ConsumoIntermediarioPPais";"COXK";"COXT";"COIK";"COIT"
"Australia";0;1695217,63100857;159954,868871284;9807785,46116742;180132,257340224;7243077,25442237;11769344,8844107;955375,901544;12,3190723833311;7,67559833511549;4922816;409318,997375515;4922816;1834440,59740406;238996,429634884;319718,338837243;7814526000;4267969;1604636,56484823;209056,870199564;280182,467326762;158320,351292342;907411,601385702;546056,904168485;154499,522804801;0;292207,276378315;0
"Austria";0;1443345,99849664;146692,075930306;2881739,60447973;138007,299775848;1812640,80007893;4205399,26807564;391199,3574;10,7500157874126;5,80049116441982;1926410;171018,645614236;1926410;571619,621393109;98546,76185;78068,6123330124;2675062000;1640240;515062,383282622;88796,3396;70653,1298209483;63319,5669;402053,30625;220180,711785764;19766,4066001213;0;160388,135476318;0
"Belgium";0;3049299,68548164;252969,693064306;7660218,28728689;224765,448387569;5826305,07166178;6230933,78781268;510618,56015;12,20271700657;9,0325173866767;1911800;201210,5790632;1911800;1059734,62417005;117324,3935;90358,8510207406;2395484000;1699700;995816,55954403;110247,9538;84942,757704141;57079,81745;386701,532637;309407,9810868;31551,0322370367;0;180534,95835477;0
"Bulgaria";0;767235,70030706;14813,8059201202;817696,769852063;24937,2823086531;-385783,062200291;3842283,75257584;62190,9348389384;61,7820549333524;41,3620869144648;2353210;20677,0303875083;2353210;408006,463693668;9864,26203632834;16136,2090035481;2633727000;1584430;308671,803450974;7462,67479417312;12668,2585478696;8038,03026693433;43332,2129288745;41513,9044514301;4043,57106655768;0;178895,166335571;0
"Brazil";0;8980747,35230752;166968,700299924;7860024,63190426;128147,637054349;552167,142626215;79445430,5684539;1463920,20199606;54,2689625159418;31,3456560485116;47914327;615293,196884629;47914327;8643082,39960048;275734,614908814;714378,752169983;85746828000;41766544;8169947,70304333;260640,507584185;676881,173512646;252343,331721913;1060929,9728617;848627,005111426;123302,835920744;0;305020,830464788;0
"Canada";0;3771724,80659115;398313,278168292;12319966,3080931;379940,62057383;9339962,02837834;14076747,859759;1286930,3950988;10,9382355979542;7,909733066213;7172760;624200,934899189;7172760;3188170,1036919;403069,241022861;458911,622671397;11247862000;6385604;2694376,40636764;340640,623876028;386668,758572009;207125,829001711;896058,526413867;662729,460199613;108689,322922685;0;386807,57861666;0
"Switzerland";0;1311402,54314582;150772,691021253;3393716,79239274;140769,480080329;2513375,86327224;4952864,42442217;470727,224817435;10,5217292803557;6,32400255149394;2043620;199199,919042772;2043620;773480,363424486;122308,67352224;151546,099340405;3032494000;1719670;704253,821579558;111362,039443389;138120,347272895;67229,8314148631;373588,950474163;271527,305774663;38387,043419509;0;160851,104701779;0
"China, People's Republic of";0;130628975,359997;1169946,85665501;43225162,6110172;847155,607112585;-73493987,4096211;1196281999,58182;8570772,0392114;139,576924238424;167,749254608382;547438261;2399777,37709802;547438261;190930505,748139;1138189,89058326;10609710,0695654;0;0;190930505,505513;1138189,88913691;10609710,0593762;1201458,40925402;4999443,8153869;6170994,66211338;520946,369439572;0;273068,666289895;0
"Cyprus";0;36236,6542584951;3649,30788960776;313990,181504755;8429,37210284497;71769,4480269456;303874,640980273;17235,1836153697;17,6310649054698;11,9328180015071;148170;7955,4502295292;148170;52619,7988981659;4409,67078283773;3551,00430299787;188580000;112760;40552,3193370427;3398,38580726875;2752,91556230833;3077,76283852014;13649,4182278023;9279,73338584052;2705,07544348427;0;128878,220195;0
"Czech Republic";0;2091771,36089173;109336,965402032;2199885,34694336;97424,600446144;621445,484814352;5924413,87675852;289735,465404;20,4476654885782;9,97621802649874;2947240;98231,6069062923;2947240;487007,281373374;48816,824179242;1008645,82598158;4395982000;2595470;432190,36739235;43322,0651598;894513,735513269;40862,182636212;283137,712165;191503,858497708;21337,5291486204;0;171114,18446122;0
