"";"";"ExpoTTotalPais";"ExpoMTotalPais";"ImpoTTotalPais";"ImpoMTotalPais";"TransfTotalPais";"ProdutoTotalTPais";"ProdutoTotalMPais";"FatorDINN";"FatorDemanda";"PIBTPais";"PIBMPais";"TrabalhadoresPais";"RemuneracaoTPais";"RemuneracaoMPais";"RemuneracaoRealPais";"JornadaTotalPais";"AssalariadosPais";"SalarioTPais";"SalarioMPais";"SalarioRealPais";"LucroMPais";"CapitalMPais";"ConsumoIntermediarioPPais";"COXK";"COXT";"COIK";"COIT"
"Australia";0;2048252,93816681;280217,75093832;11737939,8070671;267954,548442366;10114117,7828477;13676589,5886036;1493594,57115896;9,15682866870037;5,28646710017333;5245416;662012,521899792;5245416;1986344,21692922;375741,337133091;357100,236968126;8486057000;4670822;1781528,76497386;336997,98584114;320118,468399997;270718,939135091;1511507,73455661;831582,049259164;403269,525140673;0;514604,067569136;0
"Austria";0;1671799,3204054;170569,527736693;3102344,00518563;164887,991293285;1627183,34471406;4699749,54319416;444176,8992;10,580805871847;5,08660082307081;1971490;183739,099993002;1971490;563591,964394478;110799,33024;78918,4071905182;2691447000;1693190;509266,315601016;100119,1824;71334,4465206818;62247,98496;467397,8256;260437,799206998;23126,5660452095;0;223347,422507142;0
"Belgium";0;3631643,48146077;274654,803955249;7206828,60146643;266470,786900536;3858434,93500623;7713565,9005172;590839,8288;13,0552571518131;6,30871183652132;1972200;208468,614107405;1972200;843336,455297628;133678,0752;94427,6441790848;2448784000;1764200;794362,52085311;125915,1696;88799,3736833771;55885,0416;420991,325424;382371,214692595;38728,1265680922;0;249042,149433927;0
"Bulgaria";0;1020828,51820364;23923,9581183499;720742,221312387;27842,313677699;-435701,054274113;3322758,97271729;73923,5443997799;44,9485884327698;26,3688943168837;2075960;25205,7854061651;2075960;352278,014946388;13359,605098073;16799,8585119992;2233364000;1351930;254570,829143682;9654,20946682179;12346,1487857692;9224,06002577041;67204,7133789854;48717,7589936148;5900,81408423715;0;285446,286484853;0
"Brazil";0;7632717,20589189;265665,620745809;10551602,0579157;242031,918779588;3736850,12078578;79662453,7982595;2557707,88074;31,1460328984917;17,2929839922797;48941263;1145968,5514163;48941263;10036831,5947686;580399,056591357;911788,976735423;84779586000;40848434;8740376,54278831;505429,054158055;797319,680019467;411599,972168643;2349026,52738281;1411739,3293237;313209,453297336;0;504880,598968289;0
"Canada";0;3504500,82496654;438608,814450413;12033368,3037771;460828,715672966;7759834,02390166;15218283,8649673;1641496,75364;9,27098017782915;5,64239168388264;7286163;783916,811471033;7286163;2737777,05472349;485215,704280844;464263,796197631;11482290000;6576450;2368178,55218985;419711,832298793;401866,377452906;285914,811046335;1229304,32817071;857579,942168967;186509,403140108;0;508275,210427818;0
"Switzerland";0;1434377,69208668;205578,877884322;3644286,72315659;180055,550389178;3093274,46675592;5493506,83446242;683356,141603539;8,03900996861103;4,6307560532966;2286477;294351,87560267;2286477;907586,615066637;195991,022766257;173208,591480006;3179871000;1946215;827552,941106557;178707,954291272;158149,652406024;86358,0142994018;551295,473710386;389004,266000868;60149,1064139832;0;221316,537849908;0
"China, People's Republic of";0;113225934,44167;1766148,44837858;62676357,4854148;1573056,80361505;-43866651,8973524;1355340605,19233;18037236,7160733;75,1412550895094;77,6715425245913;580950485;4892601,68339019;580950485;207821277,780977;2675642,46860656;15943306,5298568;0;0;207821277,780977;2675642,46860656;15943306,5298568;2128849,9829067;11341039,4432373;13144635,0326831;1123770,47329824;0;452433,63884389;0
"Cyprus";0;25113,9535368204;3414,78041016939;249972,373439196;8292,88043710287;56026,7910157402;290206,958382023;18207,5140546671;15,9388567550019;9,63135168096757;147610;8119,39475580764;147610;49900,1388214368;5181,01098104891;3682,45272174477;184945000;122740;42971,5728350445;4461,6346966086;3170,57193121479;2488,95171964847;16747,7130311511;10088,1192988595;3218,74721564021;0;184704,157615658;0
"Czech Republic";0;2282844,89410196;141692,819772368;2442186,94745691;120855,60472518;880520,573363574;5804943,98382605;338790,588941;17,1343129747827;8,00037180424204;2836170;114435,758038756;2836170;475181,247112391;59394,895479787;1037054,46889072;4232327000;2445880;415888,967049203;51983,7049109;910365,218680656;45820,040933086;349888,9081709;224354,830902244;27142,1676688463;0;275039,046809187;0
"Germany";0;13286973,8179989;1384189,78572414;29404981,3480349;1067698,50958112;27071808,6789694;42729990,0164409;3895617,792;10,9687326370135;6,85079926175289;19138000;1615200,00708172;19138000;7099098,09561682;1036243,776;733776,200782611;2,3887e+10;17282000;6527157,74908953;952758,576;676365,530429786;492129,072;3091836,624;2280417,78491828;246015,713472155;0;238117,013934721;0
"Denmark";0;1150675,87415595;130158,785108755;2454229,72484972;92784,5341386211;2597081,1738045;3144624,29896588;323499,387204;9,72064994046763;4,16140779791967;1352000;144475,123670944;1352000;395173,580254418;94961,5128928171;520048,886835506;1847580000;1268000;374031,040503343;89880,8909548171;494572,663547061;40244,1450470195;351472,416230447;179024,263533056;29816,0885672613;0;215927,508922811;0
"Spain";0;4262968,40843125;299830,425227907;12512232,4402835;334024,599909496;7065799,53172889;21008987,3447596;1540264,704;13,6398550782864;6,2128889118159;7732000;606520,581493265;7732000;2270398,89823857;365433,6864;264823,542061031;11900383000;6883400;2090113,84447034;336415,776;243658,753264559;211699,2576;1574775,735936;933744,122506734;79939,2073177735;0;363771,097607758;0
"Estonia";0;290262,422036242;12914,7361240622;391560,676847448;13289,7044891294;88320,5545783859;678857,169635958;27358,7035799175;24,8132067973524;12,7428041897643;331100;10052,3883509265;331100;68318,2220095665;5361,31772820015;3703,13835635371;581485000;304100;65157,0781804152;5113,24487217287;3544,2315204347;3808,67865171733;21722,553698662;17306,315228991;1615,60345032882;0;206216,935450341;0
"Finland";0;776443,807612823;89369,5027132116;1627685,40866543;77968,6746667774;1245825,63153751;3170324,88251411;313986,48;10,0970108092365;4,91614825716543;1352300;127390,791202291;1352300;406640,603210462;82715,2848;58320,8714784592;1871900000;1174200;362830,619388116;73803,84;51930,4743487823;36341,0832;230087,856;186595,688797709;18372,4067781856;0;256255,793289634;0
"France";0;5857292,55113042;553211,037359236;18580789,6340272;647853,906279848;9447896,00170779;27501712,7164435;2400384,288;11,4572124363295;5,75785693680873;12117000;1050839,85315896;12117000;4103743,04803991;712720,5648;506064,535474998;15081335000;10757000;3716774,68318724;645513,552;458701,262292474;279078,0432;1384117,969824;1349544,43484104;89012,5796757928;0;304554,296104323;0
"United Kingdom of Great Britain and Northern Ireland";0;3900959,8830364;423691,65035035;17721569,4106388;582793,382834418;8314079,42250802;23462863,4775951;2071477,5612;11,3266317323771;5,00053927558088;12235000;951781,417076916;12235000;3472248,63939303;694374,836;429498,272750666;16884598000;10355000;2931015,36091024;586139,854;362560,318536411;191888,3796;2026320,1852;1119696,14412308;75661,3501780432;0;291709,867193895;0
"Greece";0;483078,040663738;43068,3536190816;2069855,64585944;65519,2987824974;809747,691693338;3282408,72665387;205518,849107306;15,9713269167835;9,67626209648055;1877550;98330,9952391357;1877550;557898,423227188;57656,3984795438;41915,5650269866;2104338800;1145700;396871,242974787;41014,9331443943;29577,3699538613;34975,3291840096;142989,940735288;107187,85386817;26373,7667358619;0;362614,951042672;0
"Croatia";0;394056,128393928;18005,4644983014;559167,668780037;19373,7332174766;117755,595379341;1372298,0164716;58069,042143773;23,6321793129277;15,6268837144795;928160;25249,370067703;928160;275321,476741509;17618,45047112;91936,7622633674;1316431000;668240;221187,795922652;14154,3125273086;73635,4165040543;5603,51871943345;61917,8435623709;32819,6720760699;3970,42274716624;0;281714,673946322;0
