"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41"
"Austrália";0;17300,0608001396;20981,6946890856;-2147,10524638363;-15762,0388638089;42757,0230647911;-1652532,04179174;-196,92786486185;-14318,5601731228;165462,148392176;-2633,70509425118;4071,35038583346;-100,750519520127;18437,438246475;61255,1397382678;181737,230230462;-1419,2904227369;-128,622592808316;-361651,379047131;-457314,620284853;30553,6065242666;40839,7751668337;-391085,753321724;-243036,899689136;-4462,29984953441;253,370562809203;-81,7182866421122;-15861,7800001717;-205,231027407987;41539,4135483821;-3228,19811039952;-2102,30924414741;-10515,5251835343;-13991,7238554639;-866,553064402463;-458,294660093025;55459,8174264364;-30984,5988146284;-123282,764395746;297830,771398047;-1881922,15690886
"Áustria";-17300,0608001396;0;15350,7838341003;-19091,1592782034;-32229,4286121851;-2210,75512184723;-175171,093979304;-807,676614066601;-63397,392811086;384933,087934455;-11816,9445780991;-18720,0796850469;-1206,99831415209;3469,25734068868;54760,181507943;-6270,41233767077;-14512,7154281451;-69489,8396871005;-26576,2312192943;-124232,739725081;10069,1209842566;30695,9963982394;7572,87973888554;-17542,1855338333;-3466,88650963695;2529,61962758016;-1409,90861710413;-6279,53420016881;-31,1924702473553;35679,9998969079;-51654,8450571699;-589,710916554812;-42667,530508507;-61125,7672656458;-30099,2046783995;-20233,1518314561;957,378436334431;-44328,1822537531;-985,133205765724;-8824,79135579721;-896797,79814278
"Bélgica";-20981,6946890856;-15350,7838341003;0;-14107,1371226201;-102443,252756854;-4540,44025106457;-533438,874382612;-3311,83276277204;-30765,0553404286;-154178,094278953;-29869,3258623145;-105688,28355169;-3729,08823146682;-3336,34179744594;-63545,0248758988;-181979,450232341;-42444,940879891;-20572,5108881815;-118593,7503419;-459213,063624402;92240,3178610452;-237594,577475619;30168,9227722061;-24427,0433036269;-7799,55667920024;-89316,660211588;-2724,45886611991;-8733,49134605217;-757,443638664643;295782,400541328;-55499,4658998882;-26110,9157766308;-22173,5198518724;-69680,2110068498;-8674,72661705785;-5344,24419644371;30791,0753556427;-84814,4219622243;-50335,1501350331;-16821,1026826334;-1528788,40525811
"Bulgária";2147,10524638363;19091,1592782034;14107,1371226201;0;-7912,20627636548;7545,85617095016;-11519,4718007899;1788,55513522567;12133,8374899982;99100,4364448244;40322,0653087331;14008,0492841589;408,510606096405;3378,88741129494;29614,5935247908;25882,1429175881;40405,6113767051;1908,9557223021;851,315491380576;-2765,16488357713;1214,93328693733;69925,7966932493;8205,68297525133;5625,97594114316;463,64948597305;194,442365076999;882,013625875697;1015,95351689962;340,091523176189;14417,1346810468;568,902357128892;1341,44256962553;2471,29731011485;37852,753279829;918,536732942145;853,674804628899;5936,25759361895;29322,8702194887;1617,24750469189;30844,3063772052;50060,3177350069
"Brasil";15762,0388638089;32229,4286121851;102443,252756854;7912,20627636548;0;134659,144292066;-285756,392406624;1766,29909028144;4047,9627393685;555793,293263794;37566,5251392409;191341,127983849;420,805181757848;31773,214990583;263087,245844971;184928,818588962;13514,05063675;17024,9561399721;-37014,8045639008;-207387,652021766;13643,4206151629;269408,107500742;312902,80527434;97432,0947126392;65,1289148926642;1544,99937775474;597,064114498397;15794,0880254295;734,567284278261;191174,829486179;20120,9472471471;61806,7735382327;3913,61467319496;69402,8660533752;999,756380233467;6473,88039253654;75751,8550339707;12262,8964564835;49434,80602788;908013,782725985;-3824147,07867462
"Canadá";-42757,0230647911;2210,75512184723;4540,44025106457;-7545,85617095016;-134659,144292066;0;-1728569,64588364;-494,972314016792;-12945,8305166914;2975,9199857667;-9065,27247160596;-2829,72603133519;-2198,27554122117;15575,7301556259;122831,401065535;44968,0545820241;-1346,77286026697;-3987,83813990338;-111074,858590413;-554100,680052768;20232,827374369;13724,2693546957;-145337,523341397;-89108,2441452942;-1589,28580381607;2131,7021501337;-769,614716665974;-13966,7978404713;909,910294734788;5239,97179652855;-11391,9188404416;-3423,93490832084;-11226,52571665;-34651,504455664;-2625,05016875945;-984,958265177899;37531,935228119;-19520,597255764;7774,54860940516;-1505884,34335827;-1790747,39160556
"China";1652532,04179174;175171,093979304;533438,874382613;11519,4718007899;285756,392406624;1728569,64588364;0;16352,3849310887;108187,090102875;3151333,04242401;180640,144160264;661377,640847211;5428,47402088862;136114,46179738;1545762,56637245;2425438,84781383;105915,315720449;42677,4283533942;442060,618883778;-225028,182539099;102286,01909204;1338227,71107655;14447682,8773551;4289288,90958088;3167,22488375582;9722,70446026427;1355,12894168926;226900,126323908;8731,19870678692;877477,247833903;159991,699013871;58497,2285912934;23923,6404139119;626600,599664991;29397,3985560611;17650,0187227284;311479,497804047;271847,8436892;2052689,36945083;16677911,7350017;4236283,08308179
"Chipre";196,92786486185;807,676614066601;3311,83276277204;-1788,55513522567;-1766,29909028144;494,972314016792;-16352,3849310887;0;-418,505599985775;11710,6407968945;673,079194671065;4257,67186352683;-8,95106616725888;1365,2309786441;8433,84532922403;20561,9325205826;2941,34667401644;-310,22450096561;-2110,45568088222;-21829,3308282289;1266,00955491653;15641,7544661228;8187,01019225116;672,373498986319;-34,8411514046819;43,5375332903686;-13,0871978064364;1,84184202766725;86,7497129046161;2750,37454676902;-153,154459095987;224,051709539289;-3877,01981967255;-7151,4561409179;-148,416719173298;102,827790060971;2337,46663833003;-162,263463189927;1805,31208147144;9993,66763151022;-51333,6336896227
"Tchéquia";14318,5601731228;63397,392811086;30765,0553404286;-12133,8374899982;-4047,9627393685;12945,8305166914;-108187,090102875;418,505599985775;0;185880,250963835;13580,3915537673;68231,7142462617;1622,51327904127;15863,3859902599;42764,5522201621;32720,3178402736;699,084064893293;-2486,89196954929;-2655,01749590508;-100287,526651364;12595,2478333604;121134,545871752;14678,5689226269;10266,7409584658;-3384,05874750279;6339,78068810295;-1088,39471000472;6412,89475565467;1995,62190870822;29136,8411660134;-10745,4603787255;8252,29514426531;-9103,00261944091;-21056,8951670245;851,296161001781;8331,90857953072;18972,9904962199;164,582435467209;8699,0655054946;23640,1935354416;-274002,947155327
"Alemanha";-165462,148392176;-384933,087934455;154178,094278953;-99100,4364448244;-555793,293263794;-2975,9199857667;-3151333,04242401;-11710,6407968945;-185880,250963835;0;98831,5427987473;-292498,244356444;-23099,9461572241;-13761,364005903;99551,8098739758;-509596,798263849;-155013,359005645;-206597,807193916;-524955,815938864;-2088238,56742917;183200,638188745;-243557,265105276;344629,415288528;-191160,013114619;-63061,6030135595;-12782,3439541465;-30937,2408856888;-204686,849735995;-8276,92677215453;-18064,0259277644;-624541,260308823;-106704,818420585;-268737,723354779;-621111,03459941;-115701,063877267;-39494,4652945933;-168098,488160474;-658293,01307601;-112991,529055434;-941998,066455655;-10788547,3386853
