"";"";"ExpoTTotalPais";"ExpoMTotalPais";"ImpoTTotalPais";"ImpoMTotalPais";"TransfTotalPais";"ProdutoTotalTPais";"ProdutoTotalMPais";"FatorDINN";"FatorDemanda";"PIBTPais";"PIBMPais";"TrabalhadoresPais";"RemuneracaoTPais";"RemuneracaoMPais";"RemuneracaoRealPais";"JornadaTotalPais";"AssalariadosPais";"SalarioTPais";"SalarioMPais";"SalarioRealPais";"LucroMPais";"CapitalMPais";"ConsumoIntermediarioPPais";"COXK";"COXT";"COIK";"COIT"
"France";0;4809463,32417028;347898,813447188;18676072,3334954;354562,825156537;13410116,3040378;25325358,5174543;1535493,1424;16,4933061686426;9,10397226853424;11991000;697716,443623049;11991000;4202813,41609101;461646,1136;468415,747036883;14736166000;10719000;3845049,62305107;422348,56496;429517,14844139;204112,25744;845654,5006784;837776,698776951;62228,7939403895;0;100439,667002349;0
"United Kingdom of Great Britain and Northern Ireland";0;3751424,01969256;302148,257245382;21857149,4758245;347811,860422248;14977714,4836831;22922046,4127459;1554653,60325;14,7441503141455;8,34612296007273;11817000;763411,592666919;11817000;4348340,07637699;521001,19986;395299,496893817;16897788000;10223000;3779784,01942366;452879,02389;344557,447750355;187043,84028;1509889,84332;791242,010583081;56734,4880706838;0;114401,332444407;0
"Greece";0;311029,865348501;19158,2073882548;2428523,24074737;43313,4186192202;462832,759160875;3721781,82149786;158905,120809628;23,4214089674092;15,5346285977499;2141210;82710,1956241825;2141210;668492,243389008;43032,393029714;46058,6038594203;2433950900;1282170;454044,484780146;29227,8944374577;33215,773546478;36390,3737824506;103405,865990736;76194,9251854453;13890,5243673671;0;96899,4102263106;0
"Croatia";0;423836,074324488;9874,50685767065;565435,638503689;12261,8682569749;-21937,5229687511;1455148,60420677;33137,5256302935;43,9124097689574;27,260330305467;948870;14533,1798948941;948870;308736,485194247;11325,4858519572;99308,8544134164;1364665000;707560;225334,457725312;8266,02081487332;73767,0333596018;1954,45751676828;26552,2304038692;18604,3457353993;1976,3031643167;0;77644,5136806975;0
"Hungary";0;1394287,59931631;37419,3069528375;1499342,92468849;38356,38090326;40864,6484436777;4571907,50772976;101684,22103835;44,9618186680653;22,4998579643362;2551290;38869,9632867076;2551290;500427,692185922;22241,3711668373;6432418,31368995;4224345000;2178890;446130,502392809;19828,14749764;5811182,7971834;13526,0689362983;117186,557736499;62814,2577516424;9042,18106038262;0;105318,015751234;0
"Indonesia";0;14065941,971587;69495,9411846719;5852163,83150664;48194,9579973596;-6754635,52980958;118884388,549845;348025,765289025;341,596514991111;283,898751041104;73649602;158543,818242308;73649602;19002962,8691583;66935,7043645711;1416587006,6713;54592002000;28705463;13015492,4841107;45845,5433015493;972284473,322285;89542,4392108814;294303,875297785;189481,947046716;17178,4932591079;0;155035,512482741;0
"India";0;31307674,560815;62447,2659622727;7942455,86879961;76287,607317776;-24313298,4888455;571673847,792199;859397,892083235;665,202757719623;692,080836778383;359419087;354530,47937136;359419087;112397330,65481;162404,916711777;13058678,8772456;368520310000;159931027;53616577,5210487;77471,5534252218;6081121,75578339;167903,752537043;909275,03206579;504867,412711876;68042,0256854838;0;127206,902682852;0
"Ireland";0;870252,039959341;83952,5567650004;1608279,79762386;47959,2197406013;3203614,03019962;2307699,16610741;185337,05232;12,4513643506263;7,72238796360817;944840;80458,3455667387;944840;317596,05120749;41126,6635015185;44314,6594869395;1380560000;750420;259734,561698838;33633,9695600428;36588,6613913134;33208,7984179346;83149,8814917552;104878,706753261;18675,5269964065;0;111056,149679844;0
"Italy";0;4515353,37608992;281839,023883917;15715234,0356541;260099,018120138;12689096,8369826;27790188,1112785;1625547,4088;17,0958951801926;10,2960980433593;11563700;642350,810689942;11563700;4006458,61450728;389123,97664;392779,007088434;14760629000;9058900;3248348,41017406;315493,15056;319070,101382568;203415,66448;1189318,0368272;983196,598110058;75993,3601049209;0;102206,437052744;0
"Japan";0;6472876,31263373;443832,249520175;42882061,145474;354463,939765009;42531020,0375794;76708770,8593493;4170477,60356783;18,3932820532893;11,3314151469081;31490943;1852285,85913368;31490943;14527299,8586146;1282037,56285273;141813934,358092;49105694000;26007875;12982753,2199803;1145730,96578522;126304892,712618;553632,29032003;5647151,96219646;2318191,74443415;327931,640475702;0;155287,671099229;0
"Republic of Korea";0;5254271,58909132;200449,105546918;13900873,9016584;163673,106271636;11165801,8774874;30512720,5816985;907764,394083086;33,613039661595;51,6694276579627;9569489;334250,05664342;9569489;11012081,7421797;213125,676852405;306231781,851147;13223479000;5787291;7437410,19012612;143942,182587346;213502972,617104;99699,8572754509;827360,496570277;573514,337439666;96123,746408041;0;193714,384329352;0
"Lithuania";0;371632,059853705;5217,9038522073;588962,320424;7407,79345837612;67320,2254441544;1564758,21284672;18763,5336662381;83,3935782395961;42,3129926134515;949510;8775,15550152942;949510;209175,857336939;4943,53730183672;6053,96365834569;1289235000;720750;176437,081098258;4169,80861434434;5219,72231235521;3518,09080972864;18613,8024273851;9988,3781647087;1493,09974659062;0;97434,8350188996;0
"Luxembourg";0;95532,1345081111;7682,31046381804;249363,706597626;10259,8038419685;-22729,7810967693;234154,77096778;18195,6671036487;12,8687104261665;17,4815379750135;123300;8752,51331287682;123300;103345,842750772;5911,71342581442;6782,78008546005;186138000;116010;98457,2028993394;5632,06755836158;6492,79143840522;2124,33242422638;15258,095550266;9443,15379077191;1301,00938402288;0;73133,6337978618;0
"Latvia";0;174758,751310702;2574,88859769596;369089,515010038;4500,91033472951;62395,9905435411;1058131,05166157;12603,646287834;83,9543595160197;43,3149925042593;563530;5042,60748993213;563530;112248,324965728;2591,44278865315;3711,04034504373;921995000;471670;102102,673138064;2357,21322422079;3396,38381631175;2091,64825175639;12222,1253335312;7561,03879790192;1320,83650481836;0;71957,777090005;0
"Mexico";0;4784827,09288192;158816,52920704;5955654,49661194;151190,912752964;1693191,174448;32907381,7104929;720330,949754864;45,6836981969075;61,2026503346699;20696996;349508,086369842;20696996;8959147,95314281;146384,967058651;2390660,01893065;30575704000;14809969;7307956,49363195;119405,88281178;1954964,49004497;190154,732995353;542031,447810249;370822,863385022;49665,3369758145;0;268921,70772908;0
"Malta";0;48604,8013442078;1875,14520818684;129292,508164247;2666,51976991546;26477,6108095221;145655,135396081;5194,99553518199;28,0375862519348;31,6905083103657;75070;2186,58130463079;75070;40871,4581395971;1289,70661307532;1440,95464515826;131425000;67600;37298,140756034;1176,94990533914;1331,1530563343;794,759892415756;4363,73189898262;3008,4142305512;324,018526183596;0;88621,7513767933;0
"Netherlands";0;5826366,93819407;202447,415688943;11998543,7555827;145349,522343657;10083450,2268916;12668724,3144547;504932,6128;25,0899308012665;40,0302366701964;3607000;232287,313622127;3607000;5786295,83812222;144548,1296;144732,183400645;4377311000;3118000;5116028,65863915;127804,1072;128078,608153453;68756,5984;448912,885232;272645,299177873;32740,5464581205;0;106984,784967731;0
