"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41"
"Austrália";0;17440,5074408651;-2770,40143146471;-1248,71565828195;-15494,2710233219;-118184,981581682;-3892324,11026009;-362,260397421384;1599,70724542236;196490,866021829;21287,4791385124;19064,4518987221;171,066724540716;-232,345406283064;39615,5574834906;47647,396546691;615,787024473513;8733,96899485793;-322413,229284002;-681070,507900649;36646,5382065719;94331,5343641772;-1000355,12639221;-603255,946585747;-3,9522530165134;758,944526009992;3,99943293466121;-4318,67919899221;-2293,29523737958;28202,9070612258;-8411,93256882076;1848,43624565078;-1360,12090259742;-19313,8860283951;1338,60294771921;505,709711016315;44955,6053849507;-1314,02675517095;-249569,051722694;281278,492023519;-3200415,71752339
"Áustria";-17440,5074408651;0;14499,4011956732;-26575,2516327918;-50143,4746853832;-7915,70471745649;-383846,53940101;-220,521368602085;48163,223210367;343492,739079026;-1695,27414152489;-17112,490025479;-966,157747084525;-1947,91161817432;-48298,7430949302;-63721,2065764836;-20532,0268745662;-74329,7719755784;-31195,7684984113;-148342,184968943;8205,62520281703;-44994,7398202156;7173,38653854377;-18997,7147886711;-939,479355058972;1005,87001881967;-1731,95418038086;-13831,8381926601;-438,584659098072;23865,8641819618;-36014,9720574437;2506,47276967261;-63199,4173893789;-48926,6304323527;26017,7707823707;-20255,2138484114;-62,1834620937152;-19352,9007498531;40,9248481150789;-70406,3173565798;-1417555,35333968
"Bélgica";2770,40143146471;-14499,4011956732;0;-14560,0760177196;-65085,974017656;36845,9178060464;-523531,017159383;-3438,84703738404;3387,83347122573;-25712,2915123794;-36993,5120689008;-30246,3259458744;-1459,56000387116;-707,248917212375;-98768,9410572799;-245256,462408859;-55782,5629785006;-36778,2042247184;-91748,5726657639;-740449,199358967;141862,161365889;-215318,238198521;84024,1479731802;5393,87676023859;-6700,346769269;-58751,7862171417;-3061,64027106649;-17170,892750166;-983,688073516876;416489,083691995;-62190,8248329184;-28250,0662918509;-33665,7460291856;-16292,0430990318;-5130,37928251731;-3881,47796887279;-11431,1640875664;-36309,689600765;-3522,26636116847;-50251,4571089307;-2832602,1955881
"Bulgária";1248,71565828195;26575,2516327918;14560,0760177196;0;-3804,72513894686;3227,35635826662;-19819,1413122468;3908,78076004709;11121,9799371505;100495,108855864;4745,59694613734;32533,1614489841;97,3190115513402;3726,29412236794;40929,3890994062;14279,7553691076;44525,1655660376;16237,8859276683;-1973,44655146071;-10627,7880443545;1613,64196640082;53194,046464844;4132,07986977215;7384,28627302443;1069,57315150038;374,722541167987;155,162491882238;784,576326361614;1035,80285552611;16864,6874911136;10725,1142920407;3841,76397084564;41792,8353528782;61286,9249377959;4713,64012882211;3713,33274264072;5067,81663208255;59328,0031766867;1395,38209502116;12272,0662693944;-203400,272256407
"Brasil";15494,2710233219;50143,4746853832;65085,974017656;3804,72513894686;0;113965,963517146;-407004,026472521;483,825849660816;11804,9302036992;453434,871185251;13008,9612473907;144021,545994708;594,939368042193;37613,9883129512;156285,404919541;121104,203022861;8198,30839357919;5342,40334879351;-87860,7014837538;-288266,33347692;15500,9883275101;162192,964788401;191195,054926543;175921,534736795;1261,79299618117;7179,56335478154;61,7412995853582;-22476,6522509837;1181,64245892838;83894,5563107308;8385,61896496815;13909,6680511662;3945,20645347532;84935,8177812573;3563,93080403074;2787,69973647493;56499,4789909343;28744,012186501;83198,9160211783;508679,330909147;-3078516,72284949
"Canadá";118184,981581682;7915,70471745649;-36845,9178060464;-3227,35635826661;-113965,963517146;0;-2168971,25889243;-306,276241812125;421,111267729626;112689,055853116;31170,728837908;7757,09749785601;-255,362805648386;10649,6376925897;72825,1659912549;17574,2041861365;-5001,94835529684;76,0204442135746;-100977,797158489;-716062,134762988;22600,1371483454;78828,4174610792;63716,3330882197;18952,1378935677;5038,00950014126;1552,20550886871;-794,387456087537;-93949,143957436;-5041,33380196161;-39345,4226935832;-26334,2612213865;-2485,78178518854;-6692,19781371173;-23044,0490704443;1907,35592752374;1139,44406020896;25403,2437417973;-6820,84217805597;5522,70601272273;-2344587,56866512;-4426491,42280714
"China";3892324,11026009;383846,53940101;523531,017159383;19819,1413122468;407004,026472521;2168971,25889243;0;11299,543379969;222069,059762339;5274506,86099759;242619,309960729;1040202,80593838;21665,373257101;331476,425570847;1981706,88409018;2010506,57970483;127302,78096189;110839,32796866;878047,922131887;320448,810786102;177369,44315356;1671062,94708321;10119129,416161;4796117,12568333;15696,5817034148;31747,4060957243;8107,07913969714;657144,354035091;14568,90650165;959649,154668398;500031,445784982;73876,81360476;58025,441553776;3465214,84648398;108077,957537687;37567,2616262862;413939,116329148;1542469,73915633;2792715,7302209;13730888,8357629;-6901574,08217492
"Chipre";362,260397421384;220,521368602085;3438,84703738404;-3908,78076004709;-483,825849660816;306,276241812125;-11299,543379969;0;12702,2601531135;15222,569936549;570,2598516825;6487,69858574373;7,01040546550355;684,870532229699;11885,4184497245;16503,2206849338;8695,35209965005;-57,0183276968764;-681,374233355277;-8604,12276171246;2690,04793356606;18438,2480241322;1769,26782621038;928,543814340486;-28,2213067987792;170,538324600263;-255,476475594445;107,848080633872;105,825151565908;5331,42727163427;-251,800627631525;410,918104521302;-5929,09543460126;-1912,57652736361;364,861638557796;172,876048733211;1363,65050711646;-304,799757207057;437,349040285757;2987,95132101722;-100758,328442703
"Tchéquia";-1599,70724542236;-48163,223210367;-3387,83347122573;-11121,9799371505;-11804,9302036992;-421,111267729626;-222069,059762339;-12702,2601531135;0;163009,795310893;8870,39601294518;2070,31289975972;-1024,65902674547;-2940,47765341838;-7155,65594216593;-48321,1328422891;-7170,72788895757;-4501,49656620542;-28659,547316654;-106799,33093685;22651,7218485135;23370,1085113223;58527,9591299986;30487,8148929921;-2333,98392009259;1343,50689988822;-1502,12992351702;-3020,6226439237;-4,12370870072925;21302,4949257828;16161,7949368012;-1170,33539836275;-22256,258524964;-47338,3419903889;-3750,66529071852;1040,97912158506;2104,38346088006;-18602,5483650625;18292,1796887604;37117,3113376414;-863549,280993574
"Alemanha";-196490,866021829;-343492,739079026;25712,2915123794;-100495,108855864;-453434,871185251;-112689,055853116;-5274506,86099759;-15222,569936549;-163009,795310893;0;-57712,0155527453;-300738,050315814;-18260,3609135289;-22326,4117272248;-879396,541710779;-751583,983583461;-204660,10739095;-153355,324314725;-446253,48658903;-1707791,03105874;333098,554573644;-660640,818317354;152477,319086211;-10280,175039729;-28519,8516368387;-43124,1537687111;-19902,3279757445;-299472,691999564;-6082,13982324763;409245,911189034;-480497,956733103;-163592,817840749;-250829,633936303;-501699,114193848;-44100,9709974388;-5201,52474066059;-175268,898701402;-315949,947056746;-107188,420876714;-1041723,61026276;-17063875,0477408
"Dinamarca";-21287,4791385124;1695,27414152489;36993,5120689009;-4745,59694613734;-13008,9612473907;-31170,728837908;-242619,309960729;-570,2598516825;-8870,39601294518;57712,0155527453;0;-37544,884339901;-1865,16907684621;-3371,31634862101;-30623,989276364;-35269,1688789761;-15286,228012929;-4261,20675645933;-42793,9384735574;-93195,9128004277;-1881,85319169088;-4619,43640283824;-42529,7171819163;4549,19489290874;-6863,84827506535;1146,95669050495;-3247,68397980223;-10873,103991916;-2255,46662446021;78179,3927650721;-36538,4882891138;-6693,48043026321;-6273,89538435659;-30802,4295517729;-2727,19315378829;2004,40660327487;-52410,2747985803;-6320,74526256408;4123,07330855681;-85108,3635420291;-2379230,51905648
"Espanha";-19064,4518987221;17112,490025479;30246,3259458743;-32533,1614489841;-144021,545994708;-7757,097497856;-1040202,80593838;-6487,69858574373;-2070,31289975972;300738,050315814;37544,884339901;0;-1760,61439509147;24073,9962776081;-38083,0291420927;-27553,1969912949;-55336,434546978;30231,7365032641;-112709,504354885;-591043,904221032;66080,5705233205;42068,4726803465;74521,4262214501;27398,9760747177;-3207,58940192414;6006,29768183813;-2240,08939056924;6779,4560265883;-3196,24991994424;123568,767249208;-5213,71594189829;-359841,849814175;-50903,6466194755;45760,5376254987;25799,2508429295;-9266,40341343842;52749,5210705063;-140711,215111303;21287,5665623594;128907,012473781;-5873584,21523584
"Estônia";-171,066724540716;966,157747084525;1459,56000387116;-97,3190115513402;-594,939368042193;255,362805648386;-21665,373257101;-7,01040546550357;1024,65902674547;18260,3609135289;1865,16907684621;1760,61439509147;0;11415,1460289997;2452,94317154285;3367,35264088284;51,5546638158561;598,496534294352;-2903,57078368932;-7227,29671847317;1079,52247055358;5979,1732226721;2975,59986857409;276,150365245372;2502,93172991099;31,7888644340852;-748,298946626077;-552,797298862427;97,1289505179452;1806,57450863597;4585,18636288771;98,7560600885172;-213,657326176767;263,222553098916;151,571374373778;297,656611515389;5158,50048804536;401,27059287028;1320,80718157779;-1017,60425713395;-128004,84372454
"Finlândia";232,345406283064;1947,91161817432;707,248917212375;-3726,29412236794;-37613,9883129512;-10649,6376925897;-331476,425570847;-684,8705322297;2940,47765341838;22326,4117272248;3371,31634862101;-24073,9962776081;-11415,1460289997;0;-4678,79383045291;-35829,3822897343;-7123,48693833502;-3190,74960092191;-20791,7383362643;-85043,3934125952;5131,70177345506;-2046,43509123166;-29014,531008818;-24178,9719914812;-7908,97684747104;1724,71197771273;-11086,1139552891;-9404,32841688298;-326,771609834875;-19636,5416707701;-32564,8813644728;2710,06956000022;-5407,12624338684;20524,1365984683;634,146515402345;-87,4688524460016;-33188,633513083;-14308,1829458843;-2869,49764767001;-110150,915618576;-968950,298650641
"França";-39615,5574834906;48298,7430949302;98768,9410572802;-40929,3890994062;-156285,404919541;-72825,1659912548;-1981706,88409018;-11885,4184497245;7155,65594216593;879396,541710779;30623,989276364;38083,0291420927;-2452,94317154285;4678,79383045291;0;-250980,181036469;-99179,2457990684;-4837,46880046923;-183192,599568899;-878907,522904259;115067,174703518;44221,5332172085;-14147,9082801975;-51489,938886002;1370,5992522504;-26399,964552991;-5918,70975310793;-87591,2464141327;-5559,2124664985;97577,4054105076;-65422,4966992528;-39485,8910794461;-115162,246639619;87351,7625168638;4106,83784084923;3715,05374478053;19907,8494883338;-141299,768631857;-20737,3004750823;-193381,826950395;-9717058,41894345
"Reino Unido";-47647,396546691;63721,2065764836;245256,462408859;-14279,7553691076;-121104,203022861;-17574,2041861365;-2010506,57970483;-16503,2206849338;48321,132842289;751583,98358346;35269,1688789761;27553,1969912949;-3367,35264088284;35829,3822897343;250980,181036469;0;-46050,3423692557;65254,3949761363;-167252,33545806;-1557195,51236597;-20573,2114979043;264886,859753533;153605,565476654;10777,1879829018;2772,60981278045;10731,8577347491;-957,541142239236;-47111,4266116686;-7855,9004837859;149495,711511739;39502,177518603;-14722,1279930677;-50211,6678214201;-52809,2435296318;18904,7941056667;1106,86206136068;68782,9832518221;-38988,2632980721;24846,4039500304;-424735,632844297;-7830081,81865607
"Grécia";-615,787024473512;20532,0268745662;55782,5629785006;-44525,1655660376;-8198,30839357919;5001,94835529684;-127302,78096189;-8695,35209965006;7170,72788895757;204660,10739095;15286,228012929;55336,434546978;-51,5546638158561;7123,48693833502;99179,2457990684;46050,3423692557;0;3860,69053146561;-11310,8785991961;-80503,2282962748;10974,6834643023;191144,248417656;28740,7824010166;103501,630755915;35,6407547936037;2511,87635989676;-174,852734728128;-1290,71734739032;19,195546933689;52874,1035780284;4752,70655921165;1131,9285729626;-15195,3963709671;100845,78636911;2396,798919013;2130,65973495912;15138,0356572236;13718,7742039506;2515,32188014851;33894,7968818331;-1214035,41645299
"Hungria";-8733,96899485793;74329,7719755784;36778,2042247184;-16237,8859276683;-5342,40334879351;-76,0204442135746;-110839,32796866;57,0183276968764;4501,49656620542;153355,324314725;4261,20675645933;-30231,7365032641;-598,496534294352;3190,74960092191;4837,46880046921;-65254,3949761363;-3860,69053146561;0;-7157,35820817186;-26616,4631186063;2657,60027781933;21127,2212221306;26897,1909983313;41100,2292134877;-523,039813842111;-160,551025999708;-1744,2242882096;-4856,44773001392;173,442474366248;43988,4944624646;-5807,17761507948;-4337,09280639623;-67287,4243038289;84419,4814438449;15206,0511695764;6379,30023225057;1311,72155221921;-9906,16098060691;15885,8730533414;10288,8343987607;-310422,611583379
"Indonésia";322413,229284003;31195,7684984113;91748,5726657639;1973,44655146071;87860,7014837538;100977,797158489;-878047,922131887;681,374233355277;28659,547316654;446253,48658903;42793,9384735574;112709,504354885;2903,57078368932;20791,7383362643;183192,599568899;167252,33545806;11310,8785991961;7157,35820817186;0;-176790,807807514;7708,15033476309;145708,690525576;672574,955194369;61575,5946802225;14160,7966800887;1477,89680621014;290,527987692865;36508,579140226;324,753060824008;174728,452190277;38037,5857111241;5819,68827202171;4446,23134015746;112675,187192157;4993,61320560054;3527,33360328503;49553,0978104644;250493,278626563;28378,5248135932;1141307,95193893;-36571,3140956396
"Índia";681070,507900649;148342,184968943;740449,199358967;10627,7880443545;288266,33347692;716062,134762988;-320448,810786102;8604,12276171246;106799,33093685;1707791,03105874;93195,9128004277;591043,904221032;7227,29671847317;85043,3934125952;878907,522904259;1557195,51236597;80503,2282962748;26616,4631186063;176790,807807514;0;52825,221067598;775976,137883113;902282,378179443;482814,729416955;6254,65157550591;3902,65051421863;5126,73168642427;195465,187018443;5885,65493580117;421270,165862978;213393,980616826;64286,0656500195;32207,7776543692;723534,544481137;35995,3850131664;17456,574754327;141903,710039537;1383680,34015688;347308,641770774;10620275,0893322;55195,0908895247
"Irlanda";-36646,5382065719;-8205,62520281703;-141862,161365889;-1613,64196640082;-15500,9883275101;-22600,1371483454;-177369,44315356;-2690,04793356606;-22651,7218485135;-333098,554573644;1881,85319169088;-66080,5705233206;-1079,52247055358;-5131,70177345506;-115067,174703518;20573,2114979044;-10974,6834643023;-2657,60027781933;-7708,15033476309;-52825,221067598;0;-79385,6033832693;-60190,8128463754;-10062,3833918531;165,130835220623;-1038,32341665165;-435,679501312479;-18710,1161584621;-797,225237842982;-672,923446310655;-11435,8022389177;-14508,3139049289;-6145,35388459388;-20209,1300928273;-4661,91232726813;-1666,59272017628;-26143,7575185904;-3199,75803763277;-13083,6492369308;-537708,651093016;-1114730,27259261
"Itália";-94331,5343641772;44994,7398202156;215318,238198521;-53194,046464844;-162192,964788401;-78828,4174610792;-1671062,94708321;-18438,2480241322;-23370,1085113223;660640,818317354;4619,43640283823;-42068,4726803466;-5979,1732226721;2046,43509123166;-44221,5332172085;-264886,859753533;-191144,248417656;-21127,2212221306;-145708,690525576;-775976,137883113;79385,6033832693;0;-47597,3457331822;-13371,4931183053;-10476,6500187022;8604,64463313009;-6159,77700549029;-118602,257578869;-21235,5522499695;360910,837733353;-95906,1852726554;-65655,0300158104;-240356,61989133;246550,193073025;2060,69734472399;-47715,8886045485;41461,3385352259;-182605,656354538;-14023,1848506526;-458776,720418907;-7017254,64460381
"Japão";1000355,12639221;-7173,38653854377;-84024,1479731802;-4132,07986977215;-191195,054926543;-63716,3330882197;-10119129,416161;-1769,26782621038;-58527,9591299986;-152477,319086211;42529,7171819163;-74521,4262214501;-2975,59986857409;29014,531008818;14147,9082801975;-153605,565476654;-28740,7824010167;-26897,1909983313;-672574,955194369;-902282,378179443;60190,8128463754;47597,3457331822;0;-957006,201995035;-192,348369345174;-4509,2037310939;-41,5300808702424;-377483,502205253;-1115,71368451621;-141942,173254345;-79801,7744475958;-6064,23512933601;-14604,9805394119;-273989,923893151;-18432,793856102;-4413,06870654551;17667,2773088588;-62728,6021870084;-906920,134442924;-1392133,38253136;-15350463,5797079
