"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44"
"Australia";0;25232,9320028509;22209,0814963929;-5087,6610279864;-36816,2517458302;-9971,6554463607;42327,8080567491;-1331581,66080392;-372,617803535315;-1080,30710481262;243023,257874293;18838,0523064492;15179,3872010824;14,5772116718646;7114,82892983928;73776,9124076888;66366,7344060469;149,330471458854;-833,38583617907;1403,78838799657;-305100,704319061;-421899,509664783;31332,3134569374;78897,0853147257;-271719,602954687;-163526,853179594;-282,909658897296;255,038606390007;-179,670712406525;-11920,1454190759;-501,64980504351;14388,3371248816;10487,8158953821;-3,77343729176732;37,8693804725572;-3633,44657239244;-10807,7713654293;-294,62450624104;764,274543420065;59719,9768592088;-11515,283808532;-75893,5293792653;311032,61616304;-3544925,99366228
"Austria";-25232,9320028509;0;19855,6337168683;-14424,9380749138;-23749,9402046055;-23510,5373734717;-64570,2169965431;-167989,199972621;-1118,37525404238;-25532,7482418159;542311,586767914;-4871,00943023936;-37723,6208296215;-2202,20183247249;9808,86484049599;-16949,920390816;-78492,8533270343;-20334,0792239519;-32697,8190847359;-90007,4353254899;-17370,7204954329;-71198,4668857201;20824,2030356463;-58768,8130720566;11131,0160158515;-3951,64486521054;-3464,65714928447;-410,069008558212;-3798,48950141547;-12949,804766589;76,186614233387;30777,6318446537;-3320,47767079013;-46167,4979377529;-10103,1056719662;-67829,4583226795;-70818,7547578756;-24636,2253948266;-29239,7480126517;-6611,62969489778;-35727,5774416809;-5018,00157647038;-136105,69289536;-828413,605704206
"Belgium";-22209,0814963929;-19855,6337168683;0;-5474,94233865598;-154301,882586299;104,171063935944;1920,12801092205;-459407,787565631;-3503,55088692107;-17378,302815868;-152992,549789482;-40094,6354635702;-136057,79950855;-2029,90929973391;4911,91604402877;-370008,460824715;-173734,171322253;-51580,1555612076;-7074,64742604634;-19144,0731076244;-127519,471484604;-488145,214205204;127725,699345092;-240664,873596087;92498,744019017;-1170,99148425256;-6207,69969572469;-113235,679951684;-2987,07449190211;-18916,6153455617;-240,192542187409;98149,8674976127;34554,3063461629;-55124,675387561;-28481,9369662364;-27411,0946939826;-73825,5141486924;-9551,84152666034;-5499,80881101551;30297,9086187838;-66135,1557682384;-6704,57618396694;-50298,3494437242;-3239438,6484031
"Bulgaria";5087,6610279864;14424,9380749138;5474,94233865598;0;-12262,7746700705;2266,72505307927;7547,70269983399;-25659,2779981211;982,584331531602;4898,42372872117;73273,3287437877;2796,53678285586;10813,941880539;130,699818769576;1855,65290790198;29248,6318132626;16605,4791385104;25834,2485577797;1888,95986080886;3965,77033734132;-309,3715455897;-12108,2602785428;1413,8726310205;53808,805094556;1689,75460152894;1962,04049420387;100,661091163981;191,642714448492;211,52269027798;1271,84213037657;459,891146264265;7151,30623689924;846,977623046785;3642,51802113588;1172,95728537718;-3291,17062139047;-2587,92280437308;1462,8153762885;2466,2818806209;4730,01531000425;20331,5989655884;1124,20336987127;18064,8794087605;-84100,1924591307
"Brazil";36816,2517458302;23749,9402046055;154301,882586299;12262,7746700705;0;111013,90611417;76826,9167683413;109793,943676495;3617,22740877089;10714,1725891952;663418,801416528;29334,8665860894;243674,397228252;263,583063588805;30721,8729137465;297547,729230706;268719,672610346;19536,4628050819;11289,4195457472;10840,6653093246;-18345,3306162977;-125492,173093542;29835,6742222608;296176,342370965;319192,802951051;132094,675817834;2370,45789898492;771,105723448781;418,989862098231;61472,41478707;928,556632179537;470274,711118752;59966,5883175409;5669,22826996589;72908,1187675452;43433,7569397297;233916,803025727;1813,2745775604;18114,3826365422;61479,5754651621;19249,5416422321;67430,3725233325;1057175,53431871;-3157164,13846783
"Canada";9971,6554463607;23510,5373734717;-104,171063935952;-2266,72505307927;-111013,90611417;0;33039,2921220987;-1526278,94778457;-273,568305412513;-1425,52692547245;176234,198547216;21619,5596247965;9714,32130600004;-381,322880390265;26051,1282162505;102460,977778084;233406,884128255;-2287,43752431326;-4736,59780245588;-1921,49676400713;-138702,121998118;-760768,132386818;28430,1420247074;127734,645789468;115810,105129181;72003,3736465801;-845,768953643278;-3788,50158009395;-929,553165923749;139556,860434315;51,1372013398067;4441,7577907916;212857,499013979;-3968,73633724013;-1501,26853427808;-10384,0036440695;-23627,4839107537;1057,52608819422;-202,568368902929;73409,3475073616;-7717,35946746621;33432,2789012349;-3173192,46486453;-4242542,85909214
"Switzerland";-42327,8080567491;64570,2169965431;-1920,12801092205;-7547,70269983399;-76826,9167683413;-33039,2921220987;0;-239055,557940105;-3475,26159049183;-12969,7795891884;452337,733260009;-2009,68506003272;-33213,0737259483;-834,286445603614;26194,496769005;57261,7563942859;-4231,57015344719;-42698,7699736538;-7036,14578537306;-12888,3326419463;-25740,3084989203;-194173,481670329;121247,604700961;72972,8518236217;-61676,0795622173;-31998,3264996689;-2846,21156491647;4984,20438873749;-3385,05060445113;-42846,8639677452;-2938,78415706225;67980,0450989751;-4349,653689714;-30940,4589435457;-20472,9454120164;-19365,2079355808;-30292,7847195639;-4404,43179313905;-8934,51821883001;-2905,53278704992;-81826,9950535345;-36957,1732520496;-232306,489548012;-1751322,43102656
"China, People's Republic of";1331581,66080392;167989,199972621;459407,787565631;25659,2779981211;-109793,943676495;1526278,94778457;239055,557940105;0;21277,1105104224;111362,14380657;3110400,75218608;195148,557478978;626244,268715235;11610,7195839111;201565,566000409;1413884,57423942;1792124,17087399;121995,70455452;30272,3552931071;137884,041180008;295407,627341246;-383021,24973951;112616,603236646;1274878,42112229;13301670,6140912;5131239,34532809;17194,1057223436;15311,9801249486;11047,4313617487;629745,852670687;9462,45479133467;707106,150406951;200298,996283304;282764,360085434;54610,7915251759;44301,1871779083;1714312,41968744;29468,0993839793;18507,3081110585;295903,296205932;209169,306715884;2068058,93109297;12877913,6056895;2906216,10837823
"Cyprus";372,617803535315;1118,37525404238;3503,55088692107;-982,584331531602;-3617,22740877089;273,568305412513;3475,26159049183;-21277,1105104224;0;-3301,14650542093;15189,8151040356;1860,33339970457;7913,98103377306;-3754,9895123137;-757,034259168782;14951,0812717363;16583,0683037351;11492,0983529908;209,168655599584;-2492,6007829312;-2454,96504114184;-22633,5885622759;-2368,55415040297;16543,3084811111;11561,2076536903;1835,92838185874;-41,9084402026142;33,5685230194119;-330,776455496402;123,670875831544;-79,1981092507564;-4452,08560969247;1400,7634400325;69,6762794857018;88,0783878128194;-3812,44286273599;-2177,08468161953;-408,665921975113;-1040,54801932575;-128,592299735812;2847,93042996837;293,130678803402;-45146,1829017872;-168157,13060428
"Czech Republic";1080,30710481262;25532,7482418159;17378,302815868;-4898,42372872117;-10714,1725891952;1425,52692547245;12969,7795891884;-111362,14380657;3301,14650542093;0;261879,309240512;3507,89917995395;7175,1467803461;-910,726528839398;5504,32176041245;45458,3318871749;6052,26714176573;-4191,72896617117;-6762,94095729466;-7177,61460271834;-6143,07244693959;-30752,0774185338;4594,50052895847;59991,8674268957;25759,7032814089;5042,98232766018;-2999,51306925969;188,595374370942;-2049,29827683802;-803,409964620829;60,8777168100881;24774,1140527367;26221,4425178817;-24237,8744466309;-1881,66852859876;-13015,3227126998;-24152,4558819293;-37404,6669955415;65,7171778521861;8844,72488446489;-8769,90747921551;13466,5854478333;-5579,33284488528;-383215,972549735
