"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41"
"Austrália";0;57722709,5279523;32833661,5451745;-3607114,13787516;-39949717,5490901;145928099,730667;-6213721233,19668;-631001,031971237;9462929,17197683;554544773,705851;63189303,6251801;51283369,5833871;-527853,697311027;2410365,78426087;211440870,346443;356361706,110914;5034981,15973696;14600770,7005898;-513703789,28494;-1140130851,20825;69198444,1577204;191482100,175793;-1836711385,11722;-1032240530,68556;1563031,7194253;1743086,30459236;40285,2010427669;-37905666,4036198;-23049,1157348447;100354602,043434;-7959160,27527394;6725183,78689412;-14235703,6777135;-30335220,7655116;6732236,70308563;1201509,34894427;93748328,2480575;-8553700,1962502;-483044512,042902;438345386,21697;-6856564149,55782
"Áustria";-57722709,5279523;0;9286346,77539504;-54491650,8183092;-66666286,6643532;-73947269,5023663;-938534813,738583;-3387904,57959232;-33326607,5209829;1039480168,86914;-9263070,22907259;-100417739,193364;-3382201,54202552;5019371,2515963;-35992461,5448684;-111641692,52121;-62554607,5577131;-233912371,460849;-55297899,4211082;-365101498,934948;18306895,9179105;-115942730,227438;9111865,42310333;-46261860,7920254;-3910634,58507227;2141127,72617913;-11462984,2895887;-46451116,942519;-2763273,65486252;62880723,2297703;-92264979,0265701;1492592,10929216;-187186870,307834;-79383902,2517425;54076653,4393449;-64945577,6325114;-37087774,2648107;-39690478,8672207;-12730860,0946399;-322638533,450903;-3350350855,44978
"Bélgica";-32833661,5451745;-9286346,77539504;0;11122913,1510246;-149019084,882446;100249806,376623;-1287315334,82411;-9090418,99402182;42608623,896732;382639350,571865;-92292777,5757542;-150854688,044713;-6285906,75704065;687505,504612297;-82372356,7852077;-424481942,359313;-131500038,34968;-50162734,9734468;-156464182,064905;-1825976698,61545;263240368,044863;-502186207,743291;222667680,454;10062313,9809485;-10062541,2888494;-178570947,211568;-9675243,07065631;-39526111,2853246;-2001087,16313781;1595538827,67638;-99810869,3061641;-66241790,9278819;-69813013,6991067;-101877555,652209;-23208661,5335151;-13347317,226819;27257657,3154715;-103483653,085864;-14551422,0074974;-192270911,658736;-7552255170,69991
"Bulgária";3607114,13787516;54491650,8183092;-11122913,1510246;0;-12444248,8233081;2120878,14450396;-120984041,673624;1036778,57123025;33582255,6932411;275879648,997451;11860592,9978008;42731811,0053926;185410,477534363;9541389,57682312;93744064,0095831;52027004,4696438;63539617,1428874;30502839,3260529;-5339032,46688023;-38526834,3393933;6062291,99493713;164935544,197289;25074734,0862963;9759627,13970605;1401984,40417995;1414792,12331637;353841,855787412;2071215,92746711;1785514,89708091;22524881,2812237;29780428,3668735;2280627,59643391;51072869,3764957;183301545,918822;12331007,9539542;7431830,03142676;18641165,0619701;104909886,67979;4093389,36690913;40865131,8959367;-509327440,96767
"Brasil";39949717,5490901;66666286,6643532;149019084,882446;12444248,8233081;0;396311681,675165;-1347540086,09992;6443279,33193619;25011185,9046676;1029926451,39332;37431673,1371985;292367974,838615;1987916,40135075;155924426,736726;388538350,82708;250111459,661162;42638186,4890105;10297048,0297817;-99725310,1531931;-577743277,870532;33697538,4745215;416968579,095492;370750860,209358;171021002,077799;3699274,13213204;1978821,26185767;826887,601788184;-115199629,506469;4744824,53781146;294998140,339557;31448556,8795456;60358390,4127572;13619014,5369253;222337329,920415;7610846,99327264;9301250,11804691;114624503,990409;44811408,5713412;46291762,0486446;548200665,254244;-5437534023,58051
"Canadá";-145928099,730667;73947269,5023663;-100249806,376623;-2120878,14450396;-396311681,675165;0;-6015707233,14833;-1062693,73426368;-5686477,09818238;544853538,701624;56911203,9025186;-26925218,7400864;-532461,991807635;-21188148,8219976;192287320,618008;-195481494,777303;-18072494,5880433;-1302782,23606537;-202625878,209953;-2046255718,79102;67772765,1500948;202913307,882134;93678028,2309849;-44944325,0611202;7727876,65251139;-2811921,82480479;-1534807,849827;-427961048,69891;402926,906096398;-29652912,0471371;-11976644,5205505;865356,555216633;-28282314,5845762;-54322398,7007049;7691258,14797179;-4413155,21635669;119436612,228975;-28640901,1160014;-34928658,9607465;-6836851501,21517;-10229972253,2275
"China";6213721233,19668;938534813,738583;1287315334,82411;120984041,673624;1347540086,09992;6015707233,14833;0;75398127,8470598;782882931,796184;12732548552,7022;720211709,306306;2892610413,36083;87861786,5893538;727050783,963797;5156000092,16566;5664308556,55809;487679275,812146;396882149,164887;1667330268,91141;607887670,325007;550662783,181421;4329259627,46426;21638370327,6015;9654424078,41837;59480447,3574527;63798290,0814901;35575120,4141508;2068598539,91208;32323762,6334288;2594965239,84639;1451727752,14512;191707600,879145;272797704,197644;6705747452,96427;288413192,224925;120845148,280503;921649085,872149;2999096684,09127;5084745555,62252;36430896486,6194;-1869041704,44197
"Chipre";631001,031971238;3387904,57959232;9090418,99402182;-1036778,57123025;-6443279,33193619;1062693,73426368;-75398127,8470598;0;764872,763591337;36527617,250989;1928818,63269385;18634296,8934701;-258054,723528709;3006374,88051346;23679273,9932052;44795202,0193317;29009610,9730729;1090193,44426606;-874175,215427801;-50011023,6655598;2245030,25481498;57147248,4521485;8284933,06108205;2619010,34766179;-615950,710116393;347877,668554238;-1585073,42139472;142373,318879926;224140,678060533;15343153,8968259;1227061,79360476;1604975,78160679;-2663702,75741699;1864529,56321435;-532160,204278635;464371,183162684;2265455,87463801;2576495,61945597;1199697,25117505;11747276,1922727;-285705125,705148
"Tchéquia";-9462929,17197683;33326607,520983;-42608623,896732;-33582255,6932411;-25011185,9046676;5686477,09818238;-782882931,796184;-764872,763591337;0;480346190,917337;16340970,6294143;7875629,92626825;-4545210,11017782;-995479,638463095;27112994,5913223;-117897774,815952;-17244771,7486636;-40283116,0570302;-26162594,3861403;-215240248,142155;40811931,9557651;56290312,7476392;161355780,671421;21200775,5048043;-10948516,8025783;6448045,09169407;-8653561,02488692;-14071290,433652;27296,4693535597;72757468,5680965;-24800521,5752543;-6740246,80467034;-79603970,019504;137437484,1993;-16099404,3043815;2709059,53859762;-26603126,1152482;-58310227,5712216;26857710,2709957;640850,198745877;-1955941187,72162
"Alemanha";-554544773,705851;-1039480168,86914;-382639350,571865;-275879648,997451;-1029926451,39332;-544853538,701624;-12732548552,7022;-36527617,250989;-480346190,917337;0;-230466079,940686;-2148856907,62871;-79569352,4547361;-8748191,73671961;-1597806406,42053;-1367299987,92226;-603741549,449304;-635049424,31084;-802549500,613859;-4259110779,83865;766386913,864667;-1987235550,30119;81835652,7865756;-394901403,367387;-124647032,423704;-65460867,6071661;-90894182,3034264;-779638854,866653;-13631020,3985389;855200283,371939;-1482412570,59914;-397506577,824879;-757816077,442537;-619660311,766435;-290874410,982457;-66072364,0049801;-527538311,397938;-770060783,472179;-325691392,974963;-3613557108,9521;-41022589578,536
