"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41";"V42";"V43";"V44"
"Australia";0;12061,276177434;9824,53911743731;-1091,87976693111;-34181,1087039714;-16551,550557764;38000,3175564175;-905234,14227272;-384,701504996631;-2335,62911445817;143583,747553945;15785,7478221825;4232,48283506092;-13,125901220096;7357,4054304591;41624,5348622675;97940,0632481917;-3651,89565714707;-337,181984563506;75,2221854735176;-280353,776712475;-338140,812102367;32031,1445985514;39921,8222217242;-293995,455153094;-207762,604379455;-73,8607896225471;239,822156928769;-86,4599465275205;1176,8927590586;-426,449267504178;2700,18329135476;6157,30499240784;-1039,26433664848;-1055,4216443494;-6589,81456170165;-8612,26600481774;-277,027876344985;269,431899188481;38640,0839971052;-14106,3037556529;-64648,2720958453;274011,509739603;-2864647,36893512
"Austria";-12061,276177434;0;9907,00662887066;-8991,69123399148;-18087,8543570484;-11251,5842159044;-45325,9858986646;-117885,310942663;-1556,2058062375;-45778,0238239124;442244,908222932;-5468,30045569735;-45105,820528115;-1194,30468464869;9533,67266684216;-3363,12042078417;-54172,7797967916;-10247,3076120487;-30246,1918708448;-94231,4599181071;-21984,4602143982;-72115,935343893;32803,6421780137;-7927,58285435854;12358,7907717234;-5100,3947734865;-2079,37013268386;-734,48343152145;-2465,47543433298;-6887,49780882929;-78,9520986541622;26611,3308390058;-10915,8931306762;-40149,0536142769;-8825,35310793464;-60754,1117777623;-81673,000728026;-30140,8338335888;-29350,3793319546;2385,46174499431;-37825,900747967;7593,2324231571;-95076,3399015393;-732254,975832407
"Belgium";-9824,53911743731;-9907,00662887066;0;-5060,78200253413;-125829,866268849;12180,993676416;18013,5644536999;-308670,127347132;-2937,69318765258;-15899,8929661045;-188366,202275125;-28477,3559436407;-116190,489077716;-1618,13192608761;5061,52228835926;-304129,533214127;-166460,515268758;-32780,0598599704;-5145,69393565431;-12271,5702149743;-190009,747521128;-372187,073936208;60418,5222845345;-175584,982650034;90014,553168364;-3924,28463427464;-4481,23791328839;-87457,008849557;-2181,03760612424;-16057,8504142668;-278,632436511794;413000,299407635;39659,8168722753;-47323,406166354;-19018,743343035;-26109,7315043077;-58529,701029016;-7071,02840418484;-3519,72009690734;49837,4649757056;-55071,8023639598;-1042,30230911477;-18471,8134290143;-3009299,04675966
"Bulgaria";1091,87976693111;8991,69123399148;5060,78200253413;0;-11706,4891391376;2544,87446808602;4741,94265322208;-12313,1954549178;355,962670736479;2031,88500583962;48329,894446476;3077,24831098506;5972,63764763703;93,358333074105;1834,99870926284;21691,7982459563;10509,6992248177;18528,3749464204;208,59531716235;1236,80854882923;-1938,52337919415;-10371,0574345228;988,261228752674;33892,7775329119;1435,87419010382;695,1998049252;181,700852461343;95,4974437801925;166,85957758003;1156,69052734397;335,387385939937;5515,28232930073;487,947060312014;3035,60211186266;686,693304398696;-7378,25603368399;-14561,9822113857;393,629195720711;1265,84125208424;3032,26713081633;3095,93138854161;619,741958746075;14093,9208355751;-47735,5541974976
"Brazil";34181,1087039714;18087,8543570484;125829,866268849;11706,4891391376;0;93723,7984600994;69029,0855344807;-9576,21382932513;3283,14095060863;7767,40982124659;562969,144127565;28557,3844591651;210025,876887248;130,186728853875;33727,401005333;310926,713784518;242092,916535238;18700,6432183748;10715,1570285612;8052,98304057788;-28895,9325983276;-101084,04006301;27989,9245959742;276573,820913277;324132,930713699;158492,046335563;1702,16600319923;1367,76737493819;74,3563702656217;26882,4990455557;1636,73800739225;397814,967151475;47075,3112143226;16934,7428096744;81877,1233791729;36583,5035475006;150855,029657735;567,941329157263;16974,190438356;67742,5104479024;4232,19664206286;56737,8920842109;1069530,81161947;-2910258,49510771
"Canada";16551,550557764;11251,5842159044;-12180,993676416;-2544,87446808602;-93723,7984600994;0;22680,2530248498;-1145311,12371126;-514,4540856658;-1382,09996414729;193187,59445056;4359,09727298626;-8290,19713001956;-718,102842610394;12391,1873777599;121350,530826619;232902,28392879;-6301,06075653423;-2807,82355604305;-1250,56943047498;-180539,959045016;-665873,019719896;29669,0099496877;80555,3310109831;55955,2730043483;22991,6265601852;-1379,04966165742;7,4436581463533;-822,766251667247;112512,033575277;-325,144111113022;-3911,11032585514;233521,68989731;-3943,30718217023;-1842,62122780918;-7254,3253527075;-19087,8906109279;-624,475183494492;-63,8708650184682;37478,4675148819;-15705,8071023339;56232,4174386784;-3207303,02699067;-3980459,80112434
"Switzerland";-38000,3175564175;45325,9858986646;-18013,5644536999;-4741,94265322208;-69029,0855344807;-22680,2530248498;0;-198886,680748812;-3239,38650160868;-13445,4870511579;427751,704607515;5687,64807334081;-42460,9809039056;-706,073928008261;20372,3930594052;82276,9276180422;54018,8774441868;-32861,8731450171;-6418,58844701671;-14148,4786609452;-30163,9329627025;-211617,753860614;98826,2193937033;60747,8669902823;-16557,3479042592;-22975,7379613988;-3554,30462631127;606,538327626;-1737,24231514817;-42788,4365918433;-1014,69790475684;103507,330979653;-2574,86248264158;-32779,5377697895;-20692,277286099;-18138,983273028;-69316,2694378632;-4585,67717472472;-7874,92832362433;-3628,83296386768;-61313,6451987408;-23532,7869050455;-152336,892854914;-1413226,44533327
"China, People's Republic of";905234,14227272;117885,310942663;308670,127347132;12313,1954549178;9576,21382932513;1145311,12371126;198886,680748812;0;14448,0111052637;59888,3510338168;2142421,15635731;144330,066969127;448217,466530403;8434,8766185643;155793,835970368;1027536,25046338;1538016,21176103;101569,945032614;18692,6780325581;84657,6391415274;87669,6129384371;-127736,751971821;92493,0899953245;903383,407451198;11696015,0418873;3197320,76117169;6218,04991092995;8414,96429179972;4988,53822205284;397129,206534261;6563,55999094583;592448,147653508;149395,323792389;180552,025218302;38462,0135023642;17436,4847103534;858358,5434278;13550,0998777577;11414,9193678246;217613,080563808;108259,430667476;1230774,13140285;10193654,6510192;3272287,19274884
"Cyprus";384,701504996631;1556,2058062375;2937,69318765258;-355,962670736479;-3283,14095060863;514,4540856658;3239,38650160869;-14448,0111052637;0;-1319,72028047613;12980,2073186602;1042,19420561093;5678,23052944567;-53,6712683898497;-97,6343976619728;10596,7705318193;16425,1103224019;9306,19420353231;-14,4274022233681;-1069,60875731904;-3583,04690213766;-21871,8209849223;1761,77507026851;12635,4687969089;14063,1415070216;9812,68458388984;-7,03998246488761;27,0687951010924;-97,1147526921256;166,738127672345;-122,018108096411;-11137,1944600588;1211,89565149274;-95,7944120545857;134,755294593657;-1427,5847567631;-4467,53525750087;-9,19599650219601;-733,966313662958;1458,00999264778;-921,018178670054;603,704893427305;-23375,6939805752;-149478,867047049
"Czech Republic";2335,62911445817;45778,0238239124;15899,8929661045;-2031,88500583962;-7767,40982124659;1382,09996414729;13445,4870511579;-59888,3510338168;1319,72028047613;0;309109,335632794;5047,36234482816;10492,7618403446;-391,330987062665;6185,66260062417;56906,018279584;29385,6949780344;-1579,39813492886;-2718,59603523366;-3388,90443724417;-5719,79140400184;-22953,3309687184;4871,34451054785;54424,1889378112;14423,6784471011;2494,42857044441;-1208,76616539005;580,089686508016;-952,230215576394;649,330909438673;53,2521352048327;24885,311839026;39174,3373162109;-8893,15791606274;-1453,57420694042;-7824,68544930984;-44129,686075177;-21606,7457135935;875,520993934711;12738,5175004589;-7031,99642144109;9138,81469636785;11566,0653994153;-308961,995665793
