"";"";"ExpoTTotalPais";"ExpoMTotalPais";"ImpoTTotalPais";"ImpoMTotalPais";"TransfTotalPais";"ProdutoTotalTPais";"ProdutoTotalMPais";"FatorDINN";"FatorDemanda";"PIBTPais";"PIBMPais";"TrabalhadoresPais";"RemuneracaoTPais";"RemuneracaoMPais";"RemuneracaoRealPais";"JornadaTotalPais";"AssalariadosPais";"SalarioTPais";"SalarioMPais";"SalarioRealPais";"LucroMPais";"CapitalMPais";"ConsumoIntermediarioPPais";"COXK";"COXT";"COIK";"COIT"
"Austrália";0;2579115419,2694;70782,5974479795;12065633915,3202;74548,8193077298;8955454168,78871;16124625689,9048;400212,51203;40290,1588661379;39788,3822912688;8078917200;178376,87063;4284300,7;4287909691,26889;107767,882088783;172827,192882359;6729319600;3605417,4;3699842903,83491;92988,0203912389;148571,882792362;61449,6005812167;345260,453116186;221835,6414;48244,4267942253;338243214,705674;190507,7068236;13449949347,1873
"Áustria";0;2490959066,59254;72211,9620388337;5743266140,26194;67731,591783492;3884071452,97121;7907162359,39058;196152,29421;40311,3427310985;33783,5028274184;3426702000;93532,30751;2021178;2206858261,64891;65323,547795578;64800,6456756303;2547071000;1615803;1849266056,83117;54738,7305063676;54432,4207803238;21543,013094422;212944,754410514;102619,9867;14327,4006641703;120666781,164116;120499,996137656;10085117108,772
"Bélgica";0;4493982737,25761;131792,35809021;12246331447,0723;121234,260294603;9241116316,12956;9334931958,31274;273457,01526;34136,7433906831;53872,2561848107;2682234091,96582;108237,08295;1891187;3944010815,11293;73210,4258188641;74515,3344824836;2380762138,53062;1669763;3591810961,91257;66672,7405956552;67689,2507339138;24232,9886411359;227436,918021691;165219,93231;22236,4590151112;101461303,289543;111183,816368025;14416289153,6971
"Bulgária";0;1346100246,3496;5706,92736461769;820771500,243495;7377,65552561964;-760913414,216743;5298444379,35472;19880,92142;266508,994599442;153065,455696442;3321964578,06737;8107,1569;2105999,30425281;623689912,444218;4074,66145516931;289,936071474762;2256929407,32325;1356021,14827788;481521428,060217;3145,85303306557;207,324766374776;3355,20428483069;16215,0291775402;11773,76452;1870,52372448003;216544069,995825;122645,524500915;11752121875,0642
"Brasil";0;17024398267,7253;65509,7951649082;9885799272,45124;51664,6397317036;-5186332657,87321;142163256348,563;523795,99144;271409,592039323;150193,520781548;88891223732,5434;237166,03377;42783167,4466427;15747872568,9174;104850,545396178;173590,812740581;73507455076,1761;35900113,4195015;15041047399,6126;100144,449117012;166398,523191436;103101,765733823;472973,143874777;286629,95767;49501,3513947341;4745458358,37719;195596,54684767;44146751256,6549
"Canadá";0;8313241932,71201;260655,089473904;21816251941,5532;216059,704385319;19791279543,4015;26834384221,4825;724102,4255;37058,8238300032;36935,9219181333;11695729319,0936;333758,88146;6363661,55103325;6837443158,70914;185116,352960243;258889,910186096;10342570056,6806;5670072,20596884;6507199040,51766;176175,351868584;246865,073000604;129879,648389757;734875,098260593;390343,54404;74546,596821271;402491304,044257;334293,962634732;12265968572,7356
"China";0;143256314536,503;307575,103612283;39017048521,6823;288542,906502529;-101555589553,158;1845317661742,17;2946070,3887;626365,774836917;704083,075040828;989092749439,088;1013558,69975;567424999,821964;364818668375,505;518147,192153924;3979876,27144628;0;0;364818668375,505;518147,192153924;3979876,27144628;483639,697006077;1704812,43937615;1932511,68895;210153,967224988;31295537097,1667;180286,526842827;22591949090,2601
"Chipre";0;156765078,577125;1483,77602910175;584981826,021228;3934,05726478868;82709497,8740398;642866711,606201;6938,01643;92658,5744055669;50220,5771520131;260331000;3445,60907;127900;117218237,392263;2334,06790681545;1908,64360267853;163664000;94200;84729374,2617893;1687,14457433098;1346,55180584869;1032,38031318455;6184,26339928305;3492,40736;619,760792989772;15990512,8719995;138466,643490521;22178422554,9385
"Tchéquia";0;3215310986,00906;38504,3882189466;3581533056,16265;38644,3119431785;346491820,252135;11349091135,1867;120070,91002;94519,9060563154;65534,7571350565;5659980000;40398,96465;2931567;1503164276,08843;22936,9016046042;504529,592786286;4686334000;2537790;1266322508,45757;19322,9144932648;426311,210239799;13706,7732653958;112348,658766193;79671,94537;9854,15704847957;264940290,676516;109434,870416202;10644182413,3395
"Alemanha";0;18759641139,3667;630066,241762282;57182429488,2747;474562,247094545;60349968262,9089;64262238959,7997;1899133,52835;33837,66228151;38625,2683115703;27607393826,0056;872098,57413;18765000;24607338148,2038;637078,762785774;656377,510605065;24045281767,9558;17101000;22128462557,3097;572901,199774477;588788,604305345;168449,485784226;1502311,24516949;1027034,95422;157953,425963532;1224712892,48462;106932,220107011;14708695006,9092
