"";"";"ExpoTTotalPais";"ExpoMTotalPais";"ImpoTTotalPais";"ImpoMTotalPais";"TransfTotalPais";"ProdutoTotalTPais";"ProdutoTotalMPais";"FatorDINN";"FatorDemanda";"PIBTPais";"PIBMPais";"TrabalhadoresPais";"RemuneracaoTPais";"RemuneracaoMPais";"RemuneracaoRealPais";"JornadaTotalPais";"AssalariadosPais";"SalarioTPais";"SalarioMPais";"SalarioRealPais";"LucroMPais";"CapitalMPais";"ConsumoIntermediarioPPais";"COXK";"COXT";"COIK";"COIT"
"Austrália";0;1177832,61559054;64005,426879116;5041409,00155981;58540,1336400067;4262432,44988783;7742081,43392755;387071,16919;20,0017000752831;19,3696171155017;3942225;174332,65417;3942225;2123597,45403726;109635,489507829;147856,354099558;6171915100;3237200;1786202,61728877;92216,7230584675;124365,098646165;53691,7543021706;362605,161350797;212738,51502;49395,8142965401;348716411,739718;187473,678527231;3439406510,9174
"Áustria";0;883926,872209878;53706,2014193661;2689283,02583146;59582,8530106703;1376479,2351874;4163824,91645372;218633,49772;19,0447710889493;16,6347151957804;2041737;110709,84364;2041737;1379907,39065052;82953,4725668493;60706,8443369941;2521973000;1628074;1158843,21361023;69664,1451309118;50981,475;21806,8591731507;272495,285609271;107923,65408;15850,8598585558;124437416,687774;126206,656588425;1521449494,66694
"Bélgica";0;2600941,66747644;145763,10224257;5562147,43765682;130054,499374154;4107616,62786701;5646014,63151645;313141,19845;18,0302517185964;18,9605791312134;1851127;129879,37985;1851127;1632950,07589368;86123,4282240606;62865,6545519718;2330006152,18812;1615947;1475759,52895835;77833,0407919302;56814,1;31723,6766859394;265768,574386755;183261,8186;23343,5780339483;107673817,212824;114228,920139025;1257639382,82039
"Bulgária";0;776774,025834768;4932,32191545704;434585,397439229;4863,71153026451;-337181,455498392;4106574,8774074;19987,98739;205,452144694764;127,222469233565;2439547,51160986;7657,1205;2439547,51160986;614907,309160821;4833,32317683542;324,536588043407;3042448628,30511;1771344,49450748;498820,75698716;3920,85423268578;263,268279310918;2178,98443316458;15503,9752189043;12330,86689;1805,78851951994;194576696,292531;90502,4286032086;1939902242,15446
"Brasil";0;4848998,86291956;49091,4539846473;5555875,11212458;53711,3411714705;369717,758623385;68901831,4577506;719065,17847;95,8213991176117;56,1985227642428;41307424,8549536;345066,97703;41307424,8549536;9576734,27248666;170409,003679008;156049,338460431;73253295580,2328;35553093,9662995;8870096,70999729;157835,051060115;144534,940891646;137417,438350992;604401,010896033;373998,20144;58546,2759040495;4878253331,85296;205953,660064384;2130987219,5494
"Canadá";0;3246818,69852664;193131,667202265;7687096,86116105;157749,679993509;7022448,8777782;12047999,2406956;578433,71342;20,8286601578971;17,8839819654948;5971479,08195596;277648,67422;5971479,08195596;2876253,90680545;160828,49515029;220663,650696914;9599029698,06474;5230666,43272487;2718062,69397376;151983,081800125;208527,361098367;101048,25619971;604261,830761069;300785,0392;53516,018621162;398997638,595708;318620,384576799;3970190617,61213
"China";0;80058382,6248241;154396,434398807;9173817,86239086;132825,07281226;-69310290,8855614;1017606902,24054;1526302,46145;666,713792280598;871,082210660592;548831731,62182;546499,51584;548831731,62182;275748359,911725;316558,364454038;2643493,63688281;0;0;275748359,911725;316558,364454038;2643493,63688281;224391,398955962;1198534,04493912;979802,94561;121839,943137898;43211964230,9446;208293,68806782;1905736539,87418
"Chipre";0;62677,9827420417;1284,3924086434;215336,669069673;3189,74177585751;13606,6509201777;262055,895499462;6638,59846;39,4745814313737;23,3498151637091;132121,521821865;3429,72426;132121,521821865;53440,5418137695;2288,69228467505;1768,42250516742;164021495,728518;93878,6456231866;38660,2894081479;1655,70001891213;1279,3232173417;1000,64626532495;6202,98252517339;3208,8742;719,976615419436;24139596,5691225;120542,697121402;2278721417,92366
"Tchéquia";0;1328737,30646411;20639,2985545087;1292349,72042704;23408,2143593386;-238462,536258099;5958092,63079219;87546,25455;68,0565109429024;46,1805436195467;3191767;30646,87655;3191767;602138,40772422;13038,7899433335;345948,276173102;5558464000;2873780;526641,80501923;11403,9758682338;302573;14839,2203866665;105122,858933662;56899,378;7278,49165850136;308293017,93042;98971,9582221242;2006842622,51833
"Alemanha";0;8548465,36120277;538467,703812694;31269133,3214645;448943,353031034;29254138,0990858;42651964,3079918;2368165,88918;18,0105475308406;19,4962433016203;19643000;1128682,46459;19643000;16758159,9946088;859558,415195608;629132,372646103;26891041972,6655;17994000;15165207,8956541;777852,82328692;569330;196464,951624392;2021280,5116114;1239483,42459;173359,365271094;1323272092,40848;103125,701791322;2071909461,7969
