"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41"
"Austrália";0;51387724,7990993;41247475,4752563;-2105461,82230918;-45801585,9585348;-114979195,780264;-6326310212,62917;-1062245,36588342;2009710,26431963;507668356,966512;56562699,9153971;58850010,4139037;158418,61747683;17039947,0238022;166675106,128173;201516584,445302;1230894,02540009;17059235,739295;-458285517,158036;-1607276556,51538;85379874,6668853;223966022,790548;-1302909936,77652;-852520583,182601;1317339,47452547;2573715,49690602;60814,0835704071;-23220405,6717408;103964,494081238;75267411,6328148;2139542,89255698;5290696,6816624;-2533900,36838792;-34331176,2429423;2743012,81167944;1539918,74701331;100518921,807308;2222937,31032685;-348932309,789881;484596582,818729;-6228334106,66864
"Áustria";-51387724,7990993;0;29968764,7870675;-36473470,6738761;-72274772,8901963;-31484005,9513568;-834761890,356331;-265799,728636896;-18017166,9520155;893523122,579868;1791636,96234097;-28833893,4453761;-1684476,67073965;4943564,97041132;-32025457,7314561;-120671520,211502;-51494360,14761;-181617335,238099;-44631509,2957952;-295885340,471664;18008724,3749633;-126396246,030731;-4506576,69141793;-41326562,0774792;-2642958,61466615;4156137,7109632;-1069768,46156823;-29981329,3509706;-888479,548912561;58538230,4984387;-75341550,4369113;-10314892,0177576;-150332408,255269;-94399857,7845995;45571913,7061662;-47134304,0260602;-29904651,1719982;-19941809,4288077;-10191745,328346;-215177386,189707;-2956809656,65042
"Bélgica";-41247475,4752563;-29968764,7870675;0;8481415,32005047;-148622653,437871;70997513,4663805;-1132536705,9726;-11910128,2001299;22404375,8195126;201933894,789291;-77415298,8340216;-110856141,402612;-3904636,09010813;990286,208651096;-142284305,710792;-632036176,261265;-142620484,191139;-75471093,0543619;-126634930,35903;-1734654070,65644;352174659,337007;-456504131,859774;198694154,713181;24660339,8319821;-14398693,2775902;-187391141,124983;-4808643,79855885;-41293096,9836148;-3021172,53001685;642576554,919291;-63830391,4418788;-62189754,9966039;-61219150,9262182;-64318135,5202657;-4453330,52769613;-11832310,0491685;-40991339,2116141;-67727759,7302516;-15765374,0079671;-199035878,249963;-6128936047,07912
"Bulgária";2105461,82230918;36473470,6738761;-8481415,32005046;0;-3773690,97002;1568635,9888152;-76195877,1863077;4452193,83573775;33066605,202475;195207980,068111;10614625,620191;72505854,5597092;42898,5292089953;7482831,28710294;78440525,8343007;31555222,44459;101032497,112732;22034079,5572848;-1499596,28825489;-36774061,61189;5090848,20571058;106885640,56897;14348395,0892219;6740276,52746336;1299460,36125282;753776,615056698;-146743,87469244;752227,423245048;2522762,66041933;28233922,6622407;21225103,0510939;8580748,79607561;41107038,5580516;116235216,237032;9752004,3230691;7985893,31344754;9733360,78088234;73337650,4137355;3173679,01538914;36417924,7012616;-515770372,790971
"Brasil";45801585,9585348;72274772,8901963;148622653,437871;3773690,97002;0;251191083,652914;-794133982,939012;488942,062592702;21156252,8849445;1049948652,17915;33455769,6893059;277681594,957817;1781101,06773227;100969697,622619;363554179,138543;262156201,168779;35680461,0967901;7175110,87211205;-51795459,100833;-479500604,924286;32612266,3879945;356459969,83449;337888700,917126;212113704,359214;1861216,73090659;1966530,77522819;384883,07808983;-39487415,9963542;1779452,53538889;222534396,68925;2005902,71305923;43761123,1672264;12597183,8984434;177870140,323873;5394424,37163594;5810320,1716982;86989048,0748242;39013789,3501448;119612423,997353;910585475,660913;-4872583121,28587
"Canadá";114979195,780264;31484005,9513568;-70997513,4663805;-1568635,9888152;-251191083,652914;0;-4837039771,20822;-1449256,9835783;-4576582,18906007;310911338,308846;31224112,7094173;23254709,5630774;-1880771,94980258;24939933,5655872;172188079,241601;-6900214,75037909;-10725355,51947;-4345044,60524238;-137941194,424302;-2013339357,83485;54549942,2211467;198067775,671949;55468148,909568;-24169640,252413;4301410,08113499;2553569,08053656;-708923,327394075;-399924858,643927;-6554126,50584719;28463869,8028055;19023060,9366645;6679387,72183932;-16994025,1755906;-56262364,0114118;9703901,36803094;972784,316443493;76894246,9688434;-17919257,3523963;-7597933,24469034;-3928397112,26922;-8448756988,98213
"China";6326310212,62917;834761890,356331;1132536705,9726;76195877,1863077;794133982,939012;4837039771,20822;0;28953854,7704383;587431696,367254;11472421008,1112;602325824,302511;2148055166,53396;50201876,7727019;689065288,137357;4377370376,13669;4316223980,68272;326363809,996672;279978807,156629;1715395586,38027;2704832178,14475;466388674,55258;3368632025,71222;19718737306,8088;8382072458,42928;37991731,0694851;55864804,5848728;21282795,244971;1527350059,98694;31140496,1915366;2055825149,05547;1109943920,177;164207585,603921;152341263,600628;5073645830,19465;229637622,95723;95498045,7062375;869459426,600765;2420808784,43708;4790617160,74356;29602559366,3798;-4571583945,35973
"Chipre";1062245,36588342;265799,728636896;11910128,2001299;-4452193,83573775;-488942,062592702;1449256,9835783;-28953854,7704383;0;8764528,10940349;32216118,4603973;6023030,86308674;20465225,8440185;-211674,21659309;5950882,84431421;23704313,5164821;40784601,1562446;17110051,0149676;4404968,36512494;-486299,710510227;-31819111,2027945;2313369,05259412;48203800,9006544;6317688,39295526;1031270,15504416;-179526,436054781;351564,830372869;-783308,230030637;1089145,5676917;54844,5163923731;11295552,4838121;81728,9534427365;1414456,37853979;-8035259,29540515;-4856460,92144667;-498633,908538095;330969,169030098;3007129,31509152;-585526,603533349;961786,16302648;17659305,8847268;-216113968,984543
"Tchéquia";-2009710,26431963;18017166,9520155;-22404375,8195126;-33066605,202475;-21156252,8849445;4576582,18906007;-587431696,367254;-8764528,10940349;0;212111712,505578;18846429,7071208;7660535,34695679;-3418917,13092382;-6310306,72251157;776315,364245534;-103582047,293546;-17113769,4474288;-34587006,8420973;-26078233,2142332;-200539863,046208;49158135,4241376;70161621,3907621;135264091,632115;28743468,2788596;-8924833,07072163;4323538,6987841;-4353143,0619339;-12971563,1932172;87149,4570641447;58840224,7472432;9516994,4749561;-1295662,19188016;-53222003,1909473;-93602955,6669017;-18106914,4298363;4326384,60945616;-6961663,95840299;-41963432,9601464;23512948,6348555;29419890,2889399;-1492817649,40007
"Alemanha";-507668356,966512;-893523122,579868;-201933894,789291;-195207980,068111;-1049948652,17915;-310911338,308846;-11472421008,1112;-32216118,4603973;-212111712,505578;0;-201649698,304566;-1029558940,54611;-40440448,1840632;-164815924,610452;-1712170959,60405;-1465289786,8674;-507150952,14216;-355855453,012062;-598863096,51322;-4170678365,79709;858370351,741024;-1482791351,76669;129224030,654553;-342740118,773961;-70436470,1986488;-31738838,77237;-48032251,9944308;-684353699,002134;-15123907,9307428;397510701,47504;-1007733592,75981;-306976549,854963;-594459103,366282;-1058650965,8399;-81288775,8173755;-36896297,5967237;-423082801,112181;-522539020,993655;-241150283,800281;-2418557960,28044;-35788208618,5565
