"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41"
"Austrália";0;37547400,6263287;28620745,1893142;-1299747,55596086;-88615995,7564602;71599375,0852731;-2689449857,30525;-770684,935059877;-3906510,95515164;285902251,789398;43792106,3373077;1192325,25471057;-156266,62892224;15975178,9807141;90899853,2742099;324586246,516741;-15801405,3807791;426382,004237124;-717711895,794855;-929376353,901125;56290567,3246998;71437134,9444548;-773312346,197442;-550072304,916128;-6829787,60637829;544230,11617729;-187489,258375284;-20506937,7037827;-350480,972763519;17291679,3879702;-5513648,86540056;-2909469,53970122;-14051635,9156811;-46399942,6836838;-848022,593350379;342652,61858821;84318185,9138011;-34871761,6615456;-310695501,006347;369616818,25835;-5051315236,94932
"Áustria";-37547400,6263287;0;-13238878,6897981;-29858786,5161578;-45717118,066347;-1361579,01724385;-296085609,576455;-2627725,56788181;-119901359,337645;716133969,433639;-2935051,18749689;-91521292,1959075;-2066090,43241561;27928856,2971365;45025273,206851;-35569367,8189696;-28850739,5709063;-182502046,822968;-67197268,1206594;-222846546,676452;43065149,7518225;-60336173,7033459;46053861,4352592;-11139676,3048161;-4076384,16108264;1504467,62659643;-3684898,05297282;-16112990,5795371;-569825,243825465;57339286,3114119;-142365036,780863;-9842907,1741287;-105624839,116373;-150250729,973916;-35282838,1509965;-37768751,2475241;24146941,6417905;-67144380,232126;-6652763,08056238;-123340484,105297;-1941340486,78919
"Bélgica";-28620745,1893142;13238878,6897981;0;-31981595,8533308;-183456277,402822;107263563,318867;-849106623,181391;-5708833,72509931;-51495981,8237023;-4692354,02534962;-44445951,8038569;-247420308,971983;-5785323,58669875;-762288,92525202;-15082342,5034556;-417058075,123665;-75874694,9661145;-59170263,3094977;-295481668,664399;-1335680363,8325;134871088,036519;-447260109,82258;108998146,367339;-27328878,3931922;-14746916,4691361;-176194704,535344;-5558535,25397188;-28995562,0263686;-1850322,47535711;537638434,725803;-104498026,894885;-22428023,1710988;-53499390,8314189;-156587825,782677;-15634431,4981514;-8978947,59909057;3603934,84445304;-165807909,825728;28049583,4718218;-130006058,543699;-3699855044,04819
"Bulgária";1299747,55596086;29858786,5161578;31981595,8533308;0;-9999973,54188128;13508043,0524581;-13639335,6015383;1239432,61930899;7667104,41438722;203137355,494513;8180580,26225925;22524582,8253924;890627,085005372;7477817,22481322;71025079,5428003;34157919,4935808;73313791,9367944;3583364,96473271;73021,5962633635;-24586035,0904944;5813803,39083697;119186558,689334;11075748,0849884;4852876,67472749;1090164,37151232;320539,475516711;1816866,98086179;5350968,43747037;1734208,21512463;20782469,452374;8235528,08412721;1638202,24308128;-14040952,3099422;-71501334,1803893;2683472,96738886;3387916,43414334;9375952,36398434;44115993,8051476;3310188,22456325;62944820,5941972;47310656,8918809
"Brasil";88615995,7564602;45717118,066347;183456277,402822;9999973,54188128;0;257088589,264773;-171505619,649033;3196083,74217437;17368297,2444978;1077828399,53605;61736064,1372931;333023615,177525;1110221,95920907;72082714,6496964;513723917,84839;356450996,708022;17246101,8764937;29645570,5059032;-76285055,1747213;-291963836,506461;45161771,4865234;386564429,349251;562265683,985696;148509163,106128;2671494,97462037;-836298,276747365;965076,510798052;5560418,45061362;1739982,60249208;562502361,869603;2489961,87478825;83318433,9706022;20611698,4555793;75286481,1799442;2377248,1222482;12508795,2615483;119965146,2894;18874108,569692;70369325,6421454;1611291659,77977;-3197114062,22985
"Canadá";-71599375,085273;1361579,01724384;-107263563,318867;-13508043,0524581;-257088589,264773;0;-3321335276,76245;-977820,531656905;-10209834,0280491;194788631,031621;20873941,4508208;-4484934,33426841;-8116872,60798734;41057127,4524057;162880995,094306;-46506627,4763138;-1575461,74105873;-8127606,23153428;-314202529,378136;-2338599238,56122;39759766,479649;57921928,5395704;143431813,942057;-37605803,2162524;-3367946,89401721;6454959,20422791;-996669,922522081;-99930829,1294928;1310877,7631988;16221152,4486383;-26520078,4797931;-4439353,39889353;-20506221,6617532;-83578075,2651186;-8095101,99029783;-3104767,44460715;96051633,5322337;-27070365,2453302;52529082,2181905;-7454505189,55407;-5384081895,91785
"China";2689449857,30525;296085609,576455;849106623,181391;13639335,6015383;171505619,649033;3321335276,76245;0;36835322,8291525;177213784,894648;5876917468,65524;369853238,481188;1273679286,58258;23491260,6613139;362674096,953601;2797950690,57817;4596002004,19807;218635300,824981;150428952,921968;144738620,31816;-686356892,988521;262323455,187419;2394992695,30331;22545709584,1524;6696289210,13089;20906480,5381776;18458685,3840368;7169321,62665274;825082932,903964;18027465,1799492;1462733524,15006;304813266,830482;100278805,616451;-10171537,7987701;-35917132,156322;47821662,3803522;30781573,3067249;616266090,175894;443853696,126031;3811698404,93219;31285359907,6911;5716112870,70027
"Chipre";770684,935059877;2627725,56788181;5708833,72509931;-1239432,61930899;-3196083,74217437;977820,531656905;-36835322,8291526;0;-163486,338153169;25470828,7111492;2838412,35532577;7568963,89104372;-17245,9135578206;1646088,16442255;19499934,8385468;35431370,089766;5977131,42866415;-160717,703540263;-6791681,61163702;-59663385,3815976;2920856,96088939;27825056,7483375;19055076,4794684;1397345,46478313;-27989,0250255546;65171,1412782648;-34493,6236315422;80985,243376618;-33196,2662573894;5432936,18826079;-52085,1012099859;461414,040640216;-1965934,33788279;-33491225,5838093;-15077,8456139674;187662,086204342;6250903,14942378;-150383,936088418;2635655,37345535;15073473,3573166;-135575066,459638
"Tchéquia";3906510,95515163;119901359,337645;51495981,8237023;-7667104,41438722;-17368297,2444978;10209834,0280491;-177213784,894648;163486,338153169;0;688752887,418517;15665231,4257049;32689749,9648404;-1154466,29225991;16974779,7417622;137204472,429012;107696160,230676;-2612653,72802952;-11724556,3827708;-17746777,1336029;-123897705,642053;23084550,2467528;119560085,168241;43954539,7600828;4405040,03531006;-2118570,93465414;4006761,19643036;-1272751,0929908;2058149,99810161;73334,7551599758;49043646,7335134;-33964486,774246;-719674,261415422;-12228276,5455082;-158485855,37553;-2720700,73197845;4040817,0938452;35857731,2898907;-5667261,6473133;9995344,07036278;76503303,1346829;-504694759,113989
"Alemanha";-285902251,789398;-716133969,433639;4692354,02534962;-203137355,494513;-1077828399,53605;-194788631,031621;-5876917468,65524;-25470828,7111492;-688752887,418517;0;-53311206,7297723;-1030230599,10359;-40528420,3856557;-14115457,5372421;-486374867,027454;-1291721444,19878;-358414905,366179;-471293651,873012;-1135561580,9035;-4844759532,89635;673750805,790597;-1214638848,18034;769497346,37564;-168475429,19406;-98709348,0746102;-51853827,002263;-53884572,0105125;-632589782,518858;-14349651,1523919;389327955,488884;-1056670739,96856;-234095483,394647;-606102819,863253;-1969027158,88163;-208935451,4199;-44803444,4339152;-265840725,269041;-868331484,604981;-150124287,787524;-2670001848,37509;-23605919289,2197
