"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19";"V20";"V21";"V22";"V23";"V24";"V25";"V26";"V27";"V28";"V29";"V30";"V31";"V32";"V33";"V34";"V35";"V36";"V37";"V38";"V39";"V40";"V41"
"Austrália";0;31852,9505400708;-7154,46703301327;-10867,9517778387;-34112,6665296394;34080,2042910053;-2882053,82175644;-2491,50108843328;3404,87469945544;261429,189001217;45644,24390464;10999,4083911661;-40,4144919519353;-20810,8550762581;91751,4361457778;135203,93589873;-1412,58177237874;6569,89283839429;-388490,466130793;-586703,770615154;28553,781224281;80432,8103088347;-645205,245180243;-408798,948587987;1312,35535622915;1120,49181754762;22,6029897108367;-5488,02812233921;183,077240335422;30291,0350788056;-14334,0284972567;4109,08455260774;-9771,0240361415;-13606,2583424209;2006,79863526004;793,90284078832;58272,8226566806;-23222,4807222798;-185232,553925197;268673,635864725;-3092708,82213643
"Áustria";-31852,9505400708;0;-392,190403890534;-57714,1345600189;-31473,1096995452;-25019,1786252117;-410979,005217781;-3044,72816090467;-14359,0632116472;563435,120514481;-9527,65723706976;-68032,8689300662;-3122,68914572251;4683,18034252341;-22104,2731264993;-74826,7220784157;-28936,7305417562;-106843,883463497;-24964,0513601972;-135688,548845435;1238,0411985741;-94180,8038878637;-2915,8132613684;-18470,3959290601;-3009,87369513628;1495,00031185285;-6718,98815368729;-20561,6058435826;-902,626039490908;32652,7311257523;-43344,2937637075;-19638,2435336098;-93349,0645640776;-58770,9556831354;29505,001529428;-69966,8526301239;6063,92379728476;-35235,3693649597;-15641,5423188956;-261347,260296306;-1556098,66747754
"Bélgica";7154,46703301327;392,190403890534;0;-5894,35766166685;-87979,0957508682;21670,4862047269;-686021,676558805;-4339,57514340781;-5528,25989283137;120597,581246659;-42942,8076829285;-136145,933193162;-4450,97070230081;14668,6795321539;-102956,882984694;-299810,779267057;-80233,3916643885;-20931,7865944857;-127532,943206324;-745217,561617193;133584,584859026;-291935,021570068;95875,7486037183;4977,61876904892;-7779,21095583077;-94015,7936000253;-6946,44603742514;-15200,7637736801;-682,740105428958;430586,112401486;-58620,808478111;-34348,0818373468;-35144,830274756;-56488,6223529374;-1482,88136911152;-14418,1509239437;4870,26980373912;-40654,3451064948;-4871,07736731995;-103776,762460421;-3602119,52988197
"Bulgária";10867,9517778387;57714,1345600189;5894,35766166685;0;1898,35863315812;5264,79310438828;-36727,4273377294;3127,43406262711;19399,8345751495;151724,151970831;16958,897469245;21784,7122078739;1395,28115968215;3929,2075025913;56071,9128063783;26591,2396964629;58002,5124860436;28267,816484064;1536,72193740603;-16393,9477440534;1863,35201581613;95827,3175188934;4725,9503276035;3390,76399943406;956,097029917686;846,305048562539;417,692039357997;9318,16757052711;306,119557245935;20444,8634186685;18669,2710755607;521,917097453599;18283,6564356823;18725,7442367477;6639,55728066301;4419,73987908604;10894,7302504957;48594,3679571105;1600,87903158441;37525,7921420047;-176264,379435841
"Brasil";34112,6665296394;31473,1096995452;87979,0957508682;-1898,35863315812;0;104066,349306433;-339520,359314434;280,6072644294;13019,1606164988;530031,239526992;33266,9090289419;246770,754306927;754,79400171691;60469,5212216968;199736,254473729;154404,029681988;18991,9108902578;3536,41558490702;-59550,8984278423;-174103,780219375;20130,1917669236;221742,193864229;200204,760364315;128809,118371938;2982,81072388009;897,16575157753;448,210840880298;-62150,0998490817;1707,79023673519;240206,869477768;7842,00537292253;52982,077608927;11162,0295566622;131664,175871619;3313,01571034576;4603,21724359564;57874,9218875163;9338,76119462031;31191,8745083411;419646,188187435;-2527572,79400266
"Canadá";-34080,2042910054;25019,1786252117;-21670,4862047269;-5264,79310438828;-104066,349306433;0;-3234893,40249203;-1414,68189802064;-3704,45629776244;189925,019626307;10087,6587696694;8236,1720279041;-811,740053893884;-11940,956612821;72661,7323211308;-197122,933220154;-3599,78980953073;-1256,9932231862;-133948,459010966;-911093,893982503;38230,1489011976;95887,1932071681;98056,3559502745;31144,1280211596;2074,02928087085;-3059,89858700183;-751,003622035743;-150920,283363195;266,69664524686;-12976,7043519581;-18349,8542785395;3737,05530933721;-8935,70033563013;-44712,2850883247;1077,45181398713;-5407,62877433532;37368,3714327097;-24539,6460306988;-11654,6514699541;-3972956,13400349;-4348181,17876644
"China";2882053,82175644;410979,005217781;686021,676558805;36727,4273377294;339520,359314434;3234893,40249203;0;20232,5861879943;331246,296440916;6290251,77719502;365159,534684419;1650390,40689847;50364,1397510994;329798,128029051;2628997,94779282;3279009,2727798;267776,232053061;150301,505900035;333738,00277372;164688,68456028;291317,990039023;2423063,20520832;13119573,9639374;6215185,0508623;26679,9089203671;28884,7419626773;18222,3795883408;978752,632917501;17752,0579880548;1183161,86127949;612039,65198262;92208,4646134626;114164,234604859;3189749,37491559;109971,470947324;24154,3519836693;491914,407559808;795945,066288125;3012776,17467415;21368371,4519044;2128756,56245298
"Chipre";2491,50108843328;3044,72816090467;4339,57514340782;-3127,43406262711;-280,6072644294;1414,68189802064;-20232,5861879943;0;609,109379873932;19114,03634701;3481,9352068604;8305,98607219672;152,289741288584;762,459743510772;16308,3104645623;22911,940159608;10507,0026629755;1116,77329701767;-257,149813483212;-13346,5850357759;1103,41965516444;23651,7313080792;5100,27143080321;1329,22820535933;-183,264282826873;107,428620928625;-808,324854969578;1819,24945671649;29,1792663149556;7423,94191786621;543,845324446447;672,405105968805;-2270,50903223761;-2939,65235429033;-124,235568253139;127,414447254893;1352,86907511161;-233,522992068912;685,76450829928;6696,25784421469;-109398,741145744
"Tchéquia";-3404,87469945544;14359,0632116472;5528,25989283137;-19399,8345751495;-13019,1606164988;3704,45629776244;-331246,296440916;-609,109379873932;0;245039,137034646;11379,696680633;-2934,90612336303;-2984,58169040085;4736,45800455296;15617,4111064293;-53954,4488817108;-8122,54307752062;-4551,59101199193;-20220,7877381269;-82678,87404497;15595,6284145336;21486,5151273801;75372,3087886006;11730,8929255058;-4011,09456845585;4194,83900484591;-6531,5485853387;-6469,8100598558;-134,256690079625;63321,7808709431;-31631,4877575382;-1283,61374501346;-37490,296155873;37155,337334628;-13370,4696660751;201,011976080321;-1186,63834981895;-20472,094109322;16611,567613711;1321,15876244553;-911869,044249798
"Alemanha";-261429,189001217;-563435,120514481;-120597,581246659;-151724,151970831;-530031,239526992;-189925,019626307;-6290251,77719502;-19114,03634701;-245039,137034646;0;-179238,257617011;-1256593,44373415;-45974,556627075;33322,9623643974;-512841,963202856;-1050279,85138198;-263889,943455982;-288661,19835261;-511573,450862251;-1925435,02486461;420972,14349793;-1079882,49477099;141329,124615908;-222665,673586051;-69452,5596727496;-38241,5584796094;-64561,3543462043;-326252,075895216;-5697,72778883344;249504,690868376;-713942,157074996;-212406,959351106;-382873,387532853;-279267,089777102;-64106,2389247869;-44957,2211957915;-266032,815842215;-448687,743830537;-113335,933964772;-1779690,12610115;-20494210,9977747
