data;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
wiodr13;645055938;659521882,2;678515850,2;696409786,6;715045475,9;729264436,2;744618975;766751635,3;780593323,7;802648285,5;823768308,4;845894595,2;872808686,4;889426622,1;906232461,8;911297469,4;925708225;;;
wiodr16;;;;;;722306179,4;738849915,8;752159923,9;769521897,1;789387078,3;813252088,7;836286748,1;858429279,8;876670644,3;891443235,3;910826332,9;907403674;888351012,2;874042152,4;869193056,4
was_w;43,2687695;43,26914568;43,52086459;43,40663487;43,20612296;43,25348961;43,34552427;43,44533696;43,53275131;43,85993086;44,10325219;44,51054004;44,89827132;45,21298239;45,32024047;45,49833234;45,58961329;45,95625084;46,30475244;46,60674123
