country;description;code;variable;versao;2009
MEX;Agriculture, Hunting, Forestry and Fishing;AtB;producao_bruta_pm;Ochoa 1;52523,02392
MEX;Mining and Quarrying;C;producao_bruta_pm;Ochoa 1;80249,24839
MEX;Food, Beverages and Tobacco;15t16;producao_bruta_pm;Ochoa 1;115635,5472
MEX;Textiles and Textile Products;17t18;producao_bruta_pm;Ochoa 1;14379,71242
MEX;Leather, Leather and Footwear;19;producao_bruta_pm;Ochoa 1;4510,47216
MEX;Wood and Products of Wood and Cork;20;producao_bruta_pm;Ochoa 1;3588,19973
MEX;Pulp, Paper, Paper , Printing and Publishing;21t22;producao_bruta_pm;Ochoa 1;17293,50055
MEX;Coke, Refined Petroleum and Nuclear Fuel;23;producao_bruta_pm;Ochoa 1;39495,1875
MEX;Chemicals and Chemical Products;24;producao_bruta_pm;Ochoa 1;45286,93625
MEX;Rubber and Plastics;25;producao_bruta_pm;Ochoa 1;12030,04202
MEX;Other Non-Metallic Mineral;26;producao_bruta_pm;Ochoa 1;16155,73147
MEX;Basic Metals and Fabricated Metal;27t28;producao_bruta_pm;Ochoa 1;46327,03667
MEX;Machinery, Nec;29;producao_bruta_pm;Ochoa 1;9671,96947
MEX;Electrical and Optical Equipment;30t33;producao_bruta_pm;Ochoa 1;70420,3355
MEX;Transport Equipment;34t35;producao_bruta_pm;Ochoa 1;61749,77144
MEX;"Manufacturing, Nec; Recycling";36t37;producao_bruta_pm;Ochoa 1;14305,49795
MEX;Electricity, Gas and Water Supply;E;producao_bruta_pm;Ochoa 1;29263,70612
MEX;Construction;F;producao_bruta_pm;Ochoa 1;122690,4452
MEX;"Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel";50;producao_bruta_pm;Ochoa 1;12669,55549
MEX;Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles;51;producao_bruta_pm;Ochoa 1;89085,9791
MEX;"Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods";52;producao_bruta_pm;Ochoa 1;78373,40427
MEX;Hotels and Restaurants;H;producao_bruta_pm;Ochoa 1;26593,5789
MEX;Inland Transport;60;producao_bruta_pm;Ochoa 1;71912,324
MEX;Water Transport;61;producao_bruta_pm;Ochoa 1;998,4043
MEX;Air Transport;62;producao_bruta_pm;Ochoa 1;6756,0782
MEX;"Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies";63;producao_bruta_pm;Ochoa 1;9186,12599
MEX;Post and Telecommunications;64;producao_bruta_pm;Ochoa 1;39017,83938
MEX;Financial Intermediation;J;producao_bruta_pm;Ochoa 1;58952,88135
MEX;Real Estate Activities;70;producao_bruta_pm;Ochoa 1;87577,46196
MEX;Renting of M&Eq and Other Business Activities;71t74;producao_bruta_pm;Ochoa 1;74352,12024
MEX;"Public Admin and Defence; Compulsory Social Security";L;producao_bruta_pm;Ochoa 1;52647,25283
MEX;Education;M;producao_bruta_pm;Ochoa 1;49265,10589
MEX;Health and Social Work;N;producao_bruta_pm;Ochoa 1;35257,22437
MEX;Other Community, Social and Personal Services;O;producao_bruta_pm;Ochoa 1;19412,93841
MEX;Private Households with Employed Persons;P;producao_bruta_pm;Ochoa 1;4127,26536
USA;Agriculture, Hunting, Forestry and Fishing;AtB;producao_bruta_pm;Ochoa 1;342488
USA;Mining and Quarrying;C;producao_bruta_pm;Ochoa 1;349301
USA;Food, Beverages and Tobacco;15t16;producao_bruta_pm;Ochoa 1;776070
USA;Textiles and Textile Products;17t18;producao_bruta_pm;Ochoa 1;59335,94141
USA;Leather, Leather and Footwear;19;producao_bruta_pm;Ochoa 1;2735,05664
USA;Wood and Products of Wood and Cork;20;producao_bruta_pm;Ochoa 1;78755
USA;Pulp, Paper, Paper , Printing and Publishing;21t22;producao_bruta_pm;Ochoa 1;425812,25
USA;Coke, Refined Petroleum and Nuclear Fuel;23;producao_bruta_pm;Ochoa 1;473610
USA;Chemicals and Chemical Products;24;producao_bruta_pm;Ochoa 1;600707
USA;Rubber and Plastics;25;producao_bruta_pm;Ochoa 1;167664
USA;Other Non-Metallic Mineral;26;producao_bruta_pm;Ochoa 1;91550
USA;Basic Metals and Fabricated Metal;27t28;producao_bruta_pm;Ochoa 1;479242
USA;Machinery, Nec;29;producao_bruta_pm;Ochoa 1;277200,7188
USA;Electrical and Optical Equipment;30t33;producao_bruta_pm;Ochoa 1;483731,7813
USA;Transport Equipment;34t35;producao_bruta_pm;Ochoa 1;590906
USA;"Manufacturing, Nec; Recycling";36t37;producao_bruta_pm;Ochoa 1;137914,2031
USA;Electricity, Gas and Water Supply;E;producao_bruta_pm;Ochoa 1;387527
USA;Construction;F;producao_bruta_pm;Ochoa 1;1155286
USA;"Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel";50;producao_bruta_pm;Ochoa 1;210375,7031
USA;Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles;51;producao_bruta_pm;Ochoa 1;1008868
USA;"Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods";52;producao_bruta_pm;Ochoa 1;1183829,75
USA;Hotels and Restaurants;H;producao_bruta_pm;Ochoa 1;761985
USA;Inland Transport;60;producao_bruta_pm;Ochoa 1;340795
USA;Water Transport;61;producao_bruta_pm;Ochoa 1;33753
USA;Air Transport;62;producao_bruta_pm;Ochoa 1;133026
USA;"Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies";63;producao_bruta_pm;Ochoa 1;196145
USA;Post and Telecommunications;64;producao_bruta_pm;Ochoa 1;618645,3125
