"country";"description";"code";"variable";"versao";"2009"
"AUT";"Public Admin and Defence; Compulsory Social Security";"L";"producao_bruta_pm";"July14_1020";31636,01063
"AUT";"Education";"M";"producao_bruta_pm";"July14_1020";23521,50858
"AUT";"Health and Social Work";"N";"producao_bruta_pm";"July14_1020";33103,12224
"AUT";"Other Community, Social and Personal Services";"O";"producao_bruta_pm";"July14_1020";24377,45808
"AUT";"Private Households with Employed Persons";"P";"producao_bruta_pm";"July14_1020";127,41756
"BEL";"Agriculture, Hunting, Forestry and Fishing";"AtB";"producao_bruta_pm";"July14_1020";9214,18807
"BEL";"Mining and Quarrying";"C";"producao_bruta_pm";"July14_1020";1167,587
"BEL";"Food, Beverages and Tobacco";"15t16";"producao_bruta_pm";"July14_1020";40348,91182
"BEL";"Textiles and Textile Products";"17t18";"producao_bruta_pm";"July14_1020";8633,95129
"BEL";"Leather, Leather and Footwear";"19";"producao_bruta_pm";"July14_1020";372,55107
"BEL";"Wood and Products of Wood and Cork";"20";"producao_bruta_pm";"July14_1020";3480,16549
"BEL";"Pulp, Paper, Paper , Printing and Publishing";"21t22";"producao_bruta_pm";"July14_1020";13473,62856
"BEL";"Coke, Refined Petroleum and Nuclear Fuel";"23";"producao_bruta_pm";"July14_1020";34431,47305
"BEL";"Chemicals and Chemical Products";"24";"producao_bruta_pm";"July14_1020";45460,0173
"BEL";"Rubber and Plastics";"25";"producao_bruta_pm";"July14_1020";7063,82472
"BEL";"Other Non-Metallic Mineral";"26";"producao_bruta_pm";"July14_1020";10700,06818
"BEL";"Basic Metals and Fabricated Metal";"27t28";"producao_bruta_pm";"July14_1020";40564,68901
"BEL";"Machinery, Nec";"29";"producao_bruta_pm";"July14_1020";11751,32849
"BEL";"Electrical and Optical Equipment";"30t33";"producao_bruta_pm";"July14_1020";11741,00779
"BEL";"Transport Equipment";"34t35";"producao_bruta_pm";"July14_1020";23861,81798
"BEL";"Manufacturing, Nec; Recycling";"36t37";"producao_bruta_pm";"July14_1020";6820,15358
"BEL";"Electricity, Gas and Water Supply";"E";"producao_bruta_pm";"July14_1020";18240,91448
"BEL";"Construction";"F";"producao_bruta_pm";"July14_1020";75427,43583
"BEL";"Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel";"50";"producao_bruta_pm";"July14_1020";15797,526
"BEL";"Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles";"51";"producao_bruta_pm";"July14_1020";58496,10638
"BEL";"Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods";"52";"producao_bruta_pm";"July14_1020";32085,38957
"BEL";"Hotels and Restaurants";"H";"producao_bruta_pm";"July14_1020";18792,55786
"BEL";"Inland Transport";"60";"producao_bruta_pm";"July14_1020";21231,20757
"BEL";"Water Transport";"61";"producao_bruta_pm";"July14_1020";6499,93802
"BEL";"Air Transport";"62";"producao_bruta_pm";"July14_1020";4114,604
"BEL";"Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies";"63";"producao_bruta_pm";"July14_1020";36256,35084
"BEL";"Post and Telecommunications";"64";"producao_bruta_pm";"July14_1020";18154,84007
"BEL";"Financial Intermediation";"J";"producao_bruta_pm";"July14_1020";54003,44485
"BEL";"Real Estate Activities";"70";"producao_bruta_pm";"July14_1020";57019,40007
"BEL";"Renting of M&Eq and Other Business Activities";"71t74";"producao_bruta_pm";"July14_1020";130105,9802
"BEL";"Public Admin and Defence; Compulsory Social Security";"L";"producao_bruta_pm";"July14_1020";44445,71986
"BEL";"Education";"M";"producao_bruta_pm";"July14_1020";33644,528
"BEL";"Health and Social Work";"N";"producao_bruta_pm";"July14_1020";53389,455
"BEL";"Other Community, Social and Personal Services";"O";"producao_bruta_pm";"July14_1020";25388,00971
"BEL";"Private Households with Employed Persons";"P";"producao_bruta_pm";"July14_1020";728,64353
"BGR";"Agriculture, Hunting, Forestry and Fishing";"AtB";"producao_bruta_pm";"July14_1020";5160,50521
"BGR";"Mining and Quarrying";"C";"producao_bruta_pm";"July14_1020";1963,31313
"BGR";"Food, Beverages and Tobacco";"15t16";"producao_bruta_pm";"July14_1020";5663,37353
"BGR";"Textiles and Textile Products";"17t18";"producao_bruta_pm";"July14_1020";2818,88044
"BGR";"Leather, Leather and Footwear";"19";"producao_bruta_pm";"July14_1020";260,95247
"BGR";"Wood and Products of Wood and Cork";"20";"producao_bruta_pm";"July14_1020";666,85788
"BGR";"Pulp, Paper, Paper , Printing and Publishing";"21t22";"producao_bruta_pm";"July14_1020";1118,88473
"BGR";"Coke, Refined Petroleum and Nuclear Fuel";"23";"producao_bruta_pm";"July14_1020";5708,75283
"BGR";"Chemicals and Chemical Products";"24";"producao_bruta_pm";"July14_1020";1904,24777
"BGR";"Rubber and Plastics";"25";"producao_bruta_pm";"July14_1020";935,23432
"BGR";"Other Non-Metallic Mineral";"26";"producao_bruta_pm";"July14_1020";2087,52686
"BGR";"Basic Metals and Fabricated Metal";"27t28";"producao_bruta_pm";"July14_1020";7267,60035
"BGR";"Machinery, Nec";"29";"producao_bruta_pm";"July14_1020";2234,05736
"BGR";"Electrical and Optical Equipment";"30t33";"producao_bruta_pm";"July14_1020";1559,31158
"BGR";"Transport Equipment";"34t35";"producao_bruta_pm";"July14_1020";581,01824
"BGR";"Manufacturing, Nec; Recycling";"36t37";"producao_bruta_pm";"July14_1020";1101,62402
"BGR";"Electricity, Gas and Water Supply";"E";"producao_bruta_pm";"July14_1020";4292,79191
"BGR";"Construction";"F";"producao_bruta_pm";"July14_1020";12725,25727
"BGR";"Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel";"50";"producao_bruta_pm";"July14_1020";1277,18486
"BGR";"Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles";"51";"producao_bruta_pm";"July14_1020";4789,46377
"BGR";"Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods";"52";"producao_bruta_pm";"July14_1020";2835,48134
"BGR";"Hotels and Restaurants";"H";"producao_bruta_pm";"July14_1020";1785,57452
"BGR";"Inland Transport";"60";"producao_bruta_pm";"July14_1020";4599,72932
"BGR";"Water Transport";"61";"producao_bruta_pm";"July14_1020";561,90319
"BGR";"Air Transport";"62";"producao_bruta_pm";"July14_1020";262,50459
"BGR";"Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies";"63";"producao_bruta_pm";"July14_1020";1361,60188
"BGR";"Post and Telecommunications";"64";"producao_bruta_pm";"July14_1020";5014,69786
"BGR";"Financial Intermediation";"J";"producao_bruta_pm";"July14_1020";3803,83029
"BGR";"Real Estate Activities";"70";"producao_bruta_pm";"July14_1020";8512,3692
"BGR";"Renting of M&Eq and Other Business Activities";"71t74";"producao_bruta_pm";"July14_1020";1922,93631
"BGR";"Public Admin and Defence; Compulsory Social Security";"L";"producao_bruta_pm";"July14_1020";4824,42609
"BGR";"Education";"M";"producao_bruta_pm";"July14_1020";2106,10022
"BGR";"Health and Social Work";"N";"producao_bruta_pm";"July14_1020";1936,58758
"BGR";"Other Community, Social and Personal Services";"O";"producao_bruta_pm";"July14_1020";2593,00256
"BGR";"Private Households with Employed Persons";"P";"producao_bruta_pm";"July14_1020";0
"BRA";"Agriculture, Hunting, Forestry and Fishing";"AtB";"producao_bruta_pm";"July14_1020";138263,02958
"BRA";"Mining and Quarrying";"C";"producao_bruta_pm";"July14_1020";65330,67813
"BRA";"Food, Beverages and Tobacco";"15t16";"producao_bruta_pm";"July14_1020";185216,45363
"BRA";"Textiles and Textile Products";"17t18";"producao_bruta_pm";"July14_1020";40968,21287
"BRA";"Leather, Leather and Footwear";"19";"producao_bruta_pm";"July14_1020";12122,96597
"BRA";"Wood and Products of Wood and Cork";"20";"producao_bruta_pm";"July14_1020";9645,25759
"BRA";"Pulp, Paper, Paper , Printing and Publishing";"21t22";"producao_bruta_pm";"July14_1020";41873,97182
"BRA";"Coke, Refined Petroleum and Nuclear Fuel";"23";"producao_bruta_pm";"July14_1020";86299,17305
"BRA";"Chemicals and Chemical Products";"24";"producao_bruta_pm";"July14_1020";98202,57625
"BRA";"Rubber and Plastics";"25";"producao_bruta_pm";"July14_1020";30106,60752
"BRA";"Other Non-Metallic Mineral";"26";"producao_bruta_pm";"July14_1020";26135,97231
"BRA";"Basic Metals and Fabricated Metal";"27t28";"producao_bruta_pm";"July14_1020";84819,24994
"BRA";"Machinery, Nec";"29";"producao_bruta_pm";"July14_1020";49760,72666
"BRA";"Electrical and Optical Equipment";"30t33";"producao_bruta_pm";"July14_1020";54748,15257
"BRA";"Transport Equipment";"34t35";"producao_bruta_pm";"July14_1020";105034,02937
"BRA";"Manufacturing, Nec; Recycling";"36t37";"producao_bruta_pm";"July14_1020";22202,84782
"BRA";"Electricity, Gas and Water Supply";"E";"producao_bruta_pm";"July14_1020";85358,90422
"BRA";"Construction";"F";"producao_bruta_pm";"July14_1020";142687,29449
"BRA";"Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel";"50";"producao_bruta_pm";"July14_1020";27065,39624
"BRA";"Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles";"51";"producao_bruta_pm";"July14_1020";88106,77578
"BRA";"Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods";"52";"producao_bruta_pm";"July14_1020";131506,84798
"BRA";"Hotels and Restaurants";"H";"producao_bruta_pm";"July14_1020";60774,37547
"BRA";"Inland Transport";"60";"producao_bruta_pm";"July14_1020";80266,19821
"BRA";"Water Transport";"61";"producao_bruta_pm";"July14_1020";4512,58068
"BRA";"Air Transport";"62";"producao_bruta_pm";"July14_1020";7206,20675
"BRA";"Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies";"63";"producao_bruta_pm";"July14_1020";38052,40658
"BRA";"Post and Telecommunications";"64";"producao_bruta_pm";"July14_1020";65022,62521
"BRA";"Financial Intermediation";"J";"producao_bruta_pm";"July14_1020";155511,46093
"BRA";"Real Estate Activities";"70";"producao_bruta_pm";"July14_1020";126895,27953
"BRA";"Renting of M&Eq and Other Business Activities";"71t74";"producao_bruta_pm";"July14_1020";165345,16303
"BRA";"Public Admin and Defence; Compulsory Social Security";"L";"producao_bruta_pm";"July14_1020";220706,60031
"BRA";"Education";"M";"producao_bruta_pm";"July14_1020";98583,18506
"BRA";"Health and Social Work";"N";"producao_bruta_pm";"July14_1020";98360,62143
"BRA";"Other Community, Social and Personal Services";"O";"producao_bruta_pm";"July14_1020";94462,37411
"BRA";"Private Households with Employed Persons";"P";"producao_bruta_pm";"July14_1020";0
"CAN";"Agriculture, Hunting, Forestry and Fishing";"AtB";"producao_bruta_pm";"July14_1020";58650,9151
"CAN";"Mining and Quarrying";"C";"producao_bruta_pm";"July14_1020";147384,80848
"CAN";"Food, Beverages and Tobacco";"15t16";"producao_bruta_pm";"July14_1020";78814,0013
"CAN";"Textiles and Textile Products";"17t18";"producao_bruta_pm";"July14_1020";9434,72531
"CAN";"Leather, Leather and Footwear";"19";"producao_bruta_pm";"July14_1020";431,74066
"CAN";"Wood and Products of Wood and Cork";"20";"producao_bruta_pm";"July14_1020";29176,83172
"CAN";"Pulp, Paper, Paper , Printing and Publishing";"21t22";"producao_bruta_pm";"July14_1020";51194,3661
"CAN";"Coke, Refined Petroleum and Nuclear Fuel";"23";"producao_bruta_pm";"July14_1020";54648,19674
"CAN";"Chemicals and Chemical Products";"24";"producao_bruta_pm";"July14_1020";48560,34638
"CAN";"Rubber and Plastics";"25";"producao_bruta_pm";"July14_1020";23981,91734
"CAN";"Other Non-Metallic Mineral";"26";"producao_bruta_pm";"July14_1020";12807,25753
"CAN";"Basic Metals and Fabricated Metal";"27t28";"producao_bruta_pm";"July14_1020";83896,07649
"CAN";"Machinery, Nec";"29";"producao_bruta_pm";"July14_1020";30111,18464
"CAN";"Electrical and Optical Equipment";"30t33";"producao_bruta_pm";"July14_1020";27110,48221
"CAN";"Transport Equipment";"34t35";"producao_bruta_pm";"July14_1020";108523,83577
"CAN";"Manufacturing, Nec; Recycling";"36t37";"producao_bruta_pm";"July14_1020";20846,52746
"CAN";"Electricity, Gas and Water Supply";"E";"producao_bruta_pm";"July14_1020";38445,01812
"CAN";"Construction";"F";"producao_bruta_pm";"July14_1020";189468,74262
"CAN";"Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel";"50";"producao_bruta_pm";"July14_1020";7631,03639
"CAN";"Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles";"51";"producao_bruta_pm";"July14_1020";121679,84492
"CAN";"Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods";"52";"producao_bruta_pm";"July14_1020";117748,79256
"CAN";"Hotels and Restaurants";"H";"producao_bruta_pm";"July14_1020";55270,35714
"CAN";"Inland Transport";"60";"producao_bruta_pm";"July14_1020";64123,12796
"CAN";"Water Transport";"61";"producao_bruta_pm";"July14_1020";3626,12342
"CAN";"Air Transport";"62";"producao_bruta_pm";"July14_1020";14740,54689
"CAN";"Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies";"63";"producao_bruta_pm";"July14_1020";18195,08132
"CAN";"Post and Telecommunications";"64";"producao_bruta_pm";"July14_1020";40477,8125
"CAN";"Financial Intermediation";"J";"producao_bruta_pm";"July14_1020";150428,03331
"CAN";"Real Estate Activities";"70";"producao_bruta_pm";"July14_1020";161849,98972
"CAN";"Renting of M&Eq and Other Business Activities";"71t74";"producao_bruta_pm";"July14_1020";134936,47828
"CAN";"Public Admin and Defence; Compulsory Social Security";"L";"producao_bruta_pm";"July14_1020";182751,64593
"CAN";"Education";"M";"producao_bruta_pm";"July14_1020";74462,7991
"CAN";"Health and Social Work";"N";"producao_bruta_pm";"July14_1020";99269,23758
"CAN";"Other Community, Social and Personal Services";"O";"producao_bruta_pm";"July14_1020";129177,99968
"CAN";"Private Households with Employed Persons";"P";"producao_bruta_pm";"July14_1020";2753,79398
"CHN";"Agriculture, Hunting, Forestry and Fishing";"AtB";"producao_bruta_pm";"July14_1020";880438,49985
"CHN";"Mining and Quarrying";"C";"producao_bruta_pm";"July14_1020";466033,0507
"CHN";"Food, Beverages and Tobacco";"15t16";"producao_bruta_pm";"July14_1020";779046,45963
"CHN";"Textiles and Textile Products";"17t18";"producao_bruta_pm";"July14_1020";651060,14105
"CHN";"Leather, Leather and Footwear";"19";"producao_bruta_pm";"July14_1020";136094,44563
"CHN";"Wood and Products of Wood and Cork";"20";"producao_bruta_pm";"July14_1020";177400,37125
"CHN";"Pulp, Paper, Paper , Printing and Publishing";"21t22";"producao_bruta_pm";"July14_1020";236615,42465
"CHN";"Coke, Refined Petroleum and Nuclear Fuel";"23";"producao_bruta_pm";"July14_1020";257052,30328
"CHN";"Chemicals and Chemical Products";"24";"producao_bruta_pm";"July14_1020";806028,65293
"CHN";"Rubber and Plastics";"25";"producao_bruta_pm";"July14_1020";349189,1501
"CHN";"Other Non-Metallic Mineral";"26";"producao_bruta_pm";"July14_1020";402188,79952
"CHN";"Basic Metals and Fabricated Metal";"27t28";"producao_bruta_pm";"July14_1020";1320739,76086
"CHN";"Machinery, Nec";"29";"producao_bruta_pm";"July14_1020";680182,30746
"CHN";"Electrical and Optical Equipment";"30t33";"producao_bruta_pm";"July14_1020";1445932,94536
"CHN";"Transport Equipment";"34t35";"producao_bruta_pm";"July14_1020";562802,4621
"CHN";"Manufacturing, Nec; Recycling";"36t37";"producao_bruta_pm";"July14_1020";84651,20433
"CHN";"Electricity, Gas and Water Supply";"E";"producao_bruta_pm";"July14_1020";481828,289
"CHN";"Construction";"F";"producao_bruta_pm";"July14_1020";1416978,53387
"CHN";"Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel";"50";"producao_bruta_pm";"July14_1020";0
"CHN";"Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles";"51";"producao_bruta_pm";"July14_1020";584812,68353
"CHN";"Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods";"52";"producao_bruta_pm";"July14_1020";120983,40148
"CHN";"Hotels and Restaurants";"H";"producao_bruta_pm";"July14_1020";277315,2789
"CHN";"Inland Transport";"60";"producao_bruta_pm";"July14_1020";269862,71897
"CHN";"Water Transport";"61";"producao_bruta_pm";"July14_1020";108660,22162
"CHN";"Air Transport";"62";"producao_bruta_pm";"July14_1020";43654,96568
"CHN";"Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies";"63";"producao_bruta_pm";"July14_1020";111004,9571
"CHN";"Post and Telecommunications";"64";"producao_bruta_pm";"July14_1020";210486,11362
"CHN";"Financial Intermediation";"J";"producao_bruta_pm";"July14_1020";376386,78258
"CHN";"Real Estate Activities";"70";"producao_bruta_pm";"July14_1020";327500,27595
"CHN";"Renting of M&Eq and Other Business Activities";"71t74";"producao_bruta_pm";"July14_1020";453522,61038
"CHN";"Public Admin and Defence; Compulsory Social Security";"L";"producao_bruta_pm";"July14_1020";342074,13107
"CHN";"Education";"M";"producao_bruta_pm";"July14_1020";282896,07597
"CHN";"Health and Social Work";"N";"producao_bruta_pm";"July14_1020";240819,19682
"CHN";"Other Community, Social and Personal Services";"O";"producao_bruta_pm";"July14_1020";265722,62341
"CHN";"Private Households with Employed Persons";"P";"producao_bruta_pm";"July14_1020";0
"CYP";"Agriculture, Hunting, Forestry and Fishing";"AtB";"producao_bruta_pm";"July14_1020";1004,95336
"CYP";"Mining and Quarrying";"C";"producao_bruta_pm";"July14_1020";125,11355
"CYP";"Food, Beverages and Tobacco";"15t16";"producao_bruta_pm";"July14_1020";1778,23049
"CYP";"Textiles and Textile Products";"17t18";"producao_bruta_pm";"July14_1020";92,7542
"CYP";"Leather, Leather and Footwear";"19";"producao_bruta_pm";"July14_1020";11,1584
"CYP";"Wood and Products of Wood and Cork";"20";"producao_bruta_pm";"July14_1020";300,71888
"CYP";"Pulp, Paper, Paper , Printing and Publishing";"21t22";"producao_bruta_pm";"July14_1020";365,43759
"CYP";"Coke, Refined Petroleum and Nuclear Fuel";"23";"producao_bruta_pm";"July14_1020";0
"CYP";"Chemicals and Chemical Products";"24";"producao_bruta_pm";"July14_1020";259,57228
"CYP";"Rubber and Plastics";"25";"producao_bruta_pm";"July14_1020";159,00719
"CYP";"Other Non-Metallic Mineral";"26";"producao_bruta_pm";"July14_1020";832,69557
"CYP";"Basic Metals and Fabricated Metal";"27t28";"producao_bruta_pm";"July14_1020";599,34555
"CYP";"Machinery, Nec";"29";"producao_bruta_pm";"July14_1020";120,92915
"CYP";"Electrical and Optical Equipment";"30t33";"producao_bruta_pm";"July14_1020";157,61239
"CYP";"Transport Equipment";"34t35";"producao_bruta_pm";"July14_1020";48,39956
"CYP";"Manufacturing, Nec; Recycling";"36t37";"producao_bruta_pm";"July14_1020";234,8843
"CYP";"Electricity, Gas and Water Supply";"E";"producao_bruta_pm";"July14_1020";1087,10711
"CYP";"Construction";"F";"producao_bruta_pm";"July14_1020";3894,28145
"CYP";"Sale, Maintenance and Repair of Motor Vehicles and Motorcycles; Retail Sale of Fuel";"50";"producao_bruta_pm";"July14_1020";623,47558
"CYP";"Wholesale Trade and Commission Trade, Except of Motor Vehicles and Motorcycles";"51";"producao_bruta_pm";"July14_1020";1786,18078
"CYP";"Retail Trade, Except of Motor Vehicles and Motorcycles; Repair of Household Goods";"52";"producao_bruta_pm";"July14_1020";1939,60877
"CYP";"Hotels and Restaurants";"H";"producao_bruta_pm";"July14_1020";2560,71326
"CYP";"Inland Transport";"60";"producao_bruta_pm";"July14_1020";370,04041
"CYP";"Water Transport";"61";"producao_bruta_pm";"July14_1020";364,87967
"CYP";"Air Transport";"62";"producao_bruta_pm";"July14_1020";591,53467
"CYP";"Other Supporting and Auxiliary Transport Activities; Activities of Travel Agencies";"63";"producao_bruta_pm";"July14_1020";1084,87538
"CYP";"Post and Telecommunications";"64";"producao_bruta_pm";"July14_1020";917,35994
"CYP";"Financial Intermediation";"J";"producao_bruta_pm";"July14_1020";2305,46487
"CYP";"Real Estate Activities";"70";"producao_bruta_pm";"July14_1020";4126,93415
"CYP";"Renting of M&Eq and Other Business Activities";"71t74";"producao_bruta_pm";"July14_1020";2087,45757
"CYP";"Public Admin and Defence; Compulsory Social Security";"L";"producao_bruta_pm";"July14_1020";3130,48887
"CYP";"Education";"M";"producao_bruta_pm";"July14_1020";1552,41234
"CYP";"Health and Social Work";"N";"producao_bruta_pm";"July14_1020";1352,398
"CYP";"Other Community, Social and Personal Services";"O";"producao_bruta_pm";"July14_1020";1365,50915
"CYP";"Private Households with Employed Persons";"P";"producao_bruta_pm";"July14_1020";231,67628
"CZE";"Agriculture, Hunting, Forestry and Fishing";"AtB";"producao_bruta_pm";"July14_1020";9248,89664
"CZE";"Mining and Quarrying";"C";"producao_bruta_pm";"July14_1020";4353,20796
"CZE";"Food, Beverages and Tobacco";"15t16";"producao_bruta_pm";"July14_1020";17683,98847
