0,151;0,207;0,207;0,207;0,207;0,207;0,207;0,207;0,188;0,207;0,207;0,207;0,207;0,188;0,207;0,207;0,207;0,195;0,188;0,188;0,188;0,188;0,188;0,188;0,188;0,188;0,2075;0,16;0,218;0,215;0,235;0,235;0,235;0,186;0,186
0,129;0,129;0,109;0,109;0,109;0,106;0,106;0,11;0,14;0,112;0,113;0,108;0,107;0,1255;0,109;0,113;0,094;0,139;0,121;0,143;0,137;0,14;0,118;0,118;0,118;0,118;0,1105;0,149;0,147;0,144;0,138;0,138;0,149;0,137333333;0,14
0,129;0,129;0,109;0,109;0,109;0,106;0,106;0,11;0,14;0,112;0,113;0,108;0,107;0,1255;0,109;0,113;0,094;0,139;0,121;0,143;0,137;0,14;0,118;0,118;0,118;0,118;0,1105;0,149;0,147;0,144;0,138;0,138;0,149;0,137333333;0,14
0,129;0,129;0,109;0,109;0,109;0,106;0,106;0,11;0,14;0,112;0,113;0,108;0,107;0,1255;0,109;0,113;0,094;0,139;0,121;0,143;0,137;0,14;0,118;0,118;0,118;0,118;0,1105;0,149;0,147;0,144;0,138;0,138;0,149;0,137333333;0,14
0,129;0,129;0,109;0,109;0,109;0,106;0,106;0,11;0,14;0,112;0,113;0,108;0,107;0,1255;0,109;0,113;0,094;0,139;0,121;0,143;0,137;0,14;0,118;0,118;0,118;0,118;0,1105;0,149;0,147;0,144;0,138;0,138;0,149;0,137333333;0,14
0,129;0,129;0,109;0,109;0,109;0,106;0,106;0,11;0,14;0,112;0,113;0,108;0,107;0,1255;0,109;0,113;0,094;0,139;0,121;0,143;0,137;0,14;0,118;0,118;0,118;0,118;0,1105;0,149;0,147;0,144;0,138;0,138;0,149;0,137333333;0,14
0,129;0,129;0,109;0,109;0,109;0,106;0,106;0,11;0,14;0,112;0,113;0,108;0,107;0,1255;0,109;0,113;0,094;0,139;0,121;0,143;0,137;0,14;0,118;0,118;0,118;0,118;0,1105;0,149;0,147;0,144;0,138;0,138;0,149;0,137333333;0,14
0,129;0,129;0,109;0,109;0,109;0,106;0,106;0,11;0,14;0,112;0,113;0,108;0,107;0,1255;0,109;0,113;0,094;0,139;0,121;0,143;0,137;0,14;0,118;0,118;0,118;0,118;0,1105;0,149;0,147;0,144;0,138;0,138;0,149;0,137333333;0,14
0,129;0,129;0,109;0,109;0,109;0,106;0,106;0,11;0,14;0,112;0,113;0,108;0,107;0,1255;0,109;0,113;0,094;0,139;0,121;0,143;0,137;0,14;0,118;0,118;0,118;0,118;0,1105;0,149;0,147;0,144;0,138;0,138;0,149;0,137333333;0,14
0,129;0,129;0,109;0,109;0,109;0,106;0,106;0,11;0,14;0,112;0,113;0,108;0,107;0,1255;0,109;0,113;0,094;0,139;0,121;0,143;0,137;0,14;0,118;0,118;0,118;0,118;0,1105;0,149;0,147;0,144;0,138;0,138;0,149;0,137333333;0,14
0,129;0,129;0,109;0,109;0,109;0,106;0,106;0,11;0,14;0,112;0,113;0,108;0,107;0,1255;0,109;0,113;0,094;0,139;0,121;0,143;0,137;0,14;0,118;0,118;0,118;0,118;0,1105;0,149;0,147;0,144;0,138;0,138;0,149;0,137333333;0,14
0,129;0,129;0,109;0,109;0,109;0,106;0,106;0,11;0,14;0,112;0,113;0,108;0,107;0,1255;0,109;0,113;0,094;0,139;0,121;0,143;0,137;0,14;0,118;0,118;0,118;0,118;0,1105;0,149;0,147;0,144;0,138;0,138;0,149;0,137333333;0,14
0,129;0,129;0,109;0,109;0,109;0,106;0,106;0,11;0,14;0,112;0,113;0,108;0,107;0,1255;0,109;0,113;0,094;0,139;0,121;0,143;0,137;0,14;0,118;0,118;0,118;0,118;0,1105;0,149;0,147;0,144;0,138;0,138;0,149;0,137333333;0,14
0,215;0,215;0,215;0,215;0,215;0,215;0,215;0,215;0,215;0,215;0,215;0,215;0,215;0,215;0,215;0,215;0,215;0,215;0,215;0,215;0,215;0,215;0,215;0,215;0,215;0,215;0,215;0,215;0,215;0,215;0,215;0,215;0,215;0,215;0,215
0,17;0,17;0,168;0,184;0,184;0,173;0,173;0,154;0,2095;0,191;0,193;0,166;0,17;0,1645;0,167;0,193;0,191;0,195;0,229;0,204;0,215;0,203;0,092;0,092;0,092;0,092;0,1825;0,187;0,227;0,155;0,173;0,173;0,225;0,214666667;0,198
0,129;0,129;0,109;0,109;0,109;0,106;0,106;0,11;0,14;0,112;0,113;0,108;0,107;0,1255;0,109;0,113;0,094;0,139;0,121;0,143;0,137;0,14;0,118;0,118;0,118;0,118;0,1105;0,149;0,147;0,144;0,138;0,138;0,149;0,137333333;0,14
0,129;0,129;0,109;0,109;0,109;0,106;0,106;0,11;0,14;0,112;0,113;0,108;0,107;0,1255;0,109;0,113;0,094;0,139;0,121;0,143;0,137;0,14;0,118;0,118;0,118;0,118;0,1105;0,149;0,147;0,144;0,138;0,138;0,149;0,137333333;0,14
0,0175;0,0175;0,022;0,022;0,022;0,022;0,022;0,0215;0,02;0,022;0,022;0,022;0,022;0,01925;0,022;0,022;0,017;0,0225;0,021;0,021;0,019;0,0195;0,0195;0,0195;0,0195;0,0195;0,021875;0,0275;0,019;0,0275;0,018;0,018;0,019;0,027833333;0,0215
0,129;0,129;0,109;0,109;0,109;0,106;0,106;0,11;0,14;0,112;0,113;0,108;0,107;0,1255;0,109;0,113;0,094;0,139;0,121;0,143;0,137;0,14;0,118;0,118;0,118;0,118;0,1105;0,149;0,147;0,144;0,138;0,138;0,149;0,137333333;0,14
